Date,ALB
2015-01-05,-0.03316215423967017
2015-01-06,-0.019550694484480435
2015-01-07,-0.004023048325982548
2015-01-08,0.03143668068732963
2015-01-09,0.0049378795337051695
2015-01-12,0.01152153725233851
2015-01-13,0.02160799908357469
2015-01-14,-0.02410232453290473
2015-01-15,-0.02419345331935241
2015-01-16,0.007576035032729855
2015-01-20,-0.012303850422672125
2015-01-21,0.014013780908085582
2015-01-22,0.01603861226251957
2015-01-23,-0.04550817665274698
2015-01-26,0.005277935596294636
2015-01-27,-0.013475876048519853
2015-01-28,-0.017739626484755577
2015-01-29,-0.13725855037309642
2015-01-30,0.010257333678904024
2015-02-02,-0.007045000456870065
2015-02-03,0.030467630852845762
2015-02-04,-0.010733266940260777
2015-02-05,0.018423978871818125
2015-02-06,0.026733308619611318
2015-02-09,0.0207521965982016
2015-02-10,0.0005749012915774454
2015-02-11,0.019359892188354433
2015-02-12,0.014667064818400855
2015-02-13,0.011675439760934436
2015-02-17,0.003663513206259461
2015-02-18,0.0012781774502588217
2015-02-19,-0.007838574024680911
2015-02-20,0.01910708450767995
2015-02-23,0.0016226874262419422
2015-02-24,0.009359157291390474
2015-02-25,0.004457898805792171
2015-02-26,-0.0005326115380088758
2015-02-27,0.004795821646010889
2015-03-02,0.001944545100007078
2015-03-03,0.0010584885019238044
2015-03-04,-0.023616511334083046
2015-03-05,-0.0021662099622091757
2015-03-06,-0.00814011897764344
2015-03-09,0.0012765156831788804
2015-03-10,-0.010200238589584187
2015-03-11,-0.014722286919107153
2015-03-12,0.0075117779768421045
2015-03-13,-0.013233923041681583
2015-03-16,-0.0028332551740903877
2015-03-17,-0.005683196297802562
2015-03-18,0.004953330967191638
2015-03-19,-0.020473586921018527
2015-03-20,0.01122486285410318
2015-03-23,-0.006507106642280047
2015-03-24,0.0017336835414927254
2015-03-25,-0.015769040444269855
2015-03-26,-0.0035172545859064597
2015-03-27,0.01078421065120616
2015-03-30,0.017071243376707734
2015-03-31,0.007819811829854695
2015-04-01,-0.005110011866856112
2015-04-02,0.006087407799359346
2015-04-06,0.03989413183949697
2015-04-07,0.00454498658997271
2015-04-08,0.011403189919370726
2015-04-09,0.05601285312583193
2015-04-10,-0.00440603745464907
2015-04-13,-0.006297858673922296
2015-04-14,0.010106074402786769
2015-04-15,0.005765730867298258
2015-04-16,-0.009610637233444796
2015-04-17,0.005277456919478674
2015-04-20,0.002370903808906588
2015-04-21,-0.007433541997434179
2015-04-22,0.003234031471551324
2015-04-23,0.00016973053385616055
2015-04-24,0.0008477594164417734
2015-04-27,-0.00813496546182435
2015-04-28,0.015891657955078298
2015-04-29,0.013456832690807108
2015-04-30,-0.00912876077189817
2015-05-01,0.012395357642818627
2015-05-04,-0.0052945349995641156
2015-05-05,-0.0019959818825469045
2015-05-06,0.0
2015-05-07,0.047166741824870684
2015-05-08,0.005252146104899547
2015-05-11,0.0014250912421327477
2015-05-12,-0.009011895940062464
2015-05-13,-0.0022337375975595153
2015-05-14,0.017429107737058525
2015-05-15,0.011786580731699026
2015-05-18,-0.0173964592113105
2015-05-19,-0.008852820472003309
2015-05-20,-0.002551566876348055
2015-05-21,0.0027181955966628646
2015-05-22,-0.01339496064655854
2015-05-26,-0.011475603518401711
2015-05-27,0.002616103021856775
2015-05-28,-0.011904744755300123
2015-05-29,-0.0072618539085860245
2015-06-01,-0.004987722709462905
2015-06-02,0.013534046988225024
2015-06-03,0.01302348677853904
2015-06-04,-0.002929351707355754
2015-06-05,-0.0022849262771207357
2015-06-08,-0.007197921639232829
2015-06-09,-0.0014830178518147052
2015-06-10,0.009405983241745464
2015-06-11,0.004741083428035475
2015-06-12,-0.02272379223957277
2015-06-15,-0.031114052823759786
2015-06-16,0.0010359814968392556
2015-06-17,0.008106259184820441
2015-06-18,0.02035922442324778
2015-06-19,-0.01743781042272219
2015-06-22,0.006996532714986792
2015-06-23,-0.000847296580844703
2015-06-24,-0.02238829950903254
2015-06-25,0.010930267001438398
2015-06-26,0.014243786783693535
2015-06-29,-0.04839232381976566
2015-06-30,-0.01724765393075056
2015-07-01,-0.01465552031093742
2015-07-02,0.010466700885710445
2015-07-06,-0.014174161517813255
2015-07-07,0.0
2015-07-08,-0.021751077137396102
2015-07-09,0.00697189581079094
2015-07-10,0.010479006697660553
2015-07-13,0.025555810716765492
2015-07-14,-0.000903151704164995
2015-07-15,-0.019157482322449626
2015-07-16,0.002763495357899659
2015-07-17,-0.025909645408609627
2015-07-20,-0.00490440303309736
2015-07-21,-0.012511523091433552
2015-07-22,-0.007295638819674655
2015-07-23,-0.007542060510415838
2015-07-24,-0.02942324270170782
2015-07-27,0.0
2015-07-28,0.0194743451819388
2015-07-29,0.022252532403528757
2015-07-30,0.02870351489169698
2015-07-31,0.014981461480710667
2015-08-03,-0.016789662659260185
2015-08-04,0.006380200911367817
2015-08-05,-0.00689885019709835
2015-08-06,-0.02797610862740163
2015-08-07,-0.010237852389477609
2015-08-10,0.028298225322344717
2015-08-11,-0.013095762807242672
2015-08-12,-0.016922532117347955
2015-08-13,-0.013693588427364345
2015-08-14,0.013685184436034392
2015-08-17,0.012913505778316958
2015-08-18,-0.012748873131466665
2015-08-19,-0.024065727097066447
2015-08-20,-0.011227171810962888
2015-08-21,-0.05089200610862721
2015-08-24,-0.0527664922111043
2015-08-25,-0.034731878806385064
2015-08-26,0.006308530073053209
2015-08-27,0.04782938717746088
2015-08-28,0.003766759552340959
2015-08-31,-0.0019865007998501882
2015-09-01,-0.052200944637138424
2015-09-02,-0.0028005526215928445
