Date,CCL
2015-01-05,-0.004823667406617882
2015-01-06,0.009693898909268972
2015-01-07,0.0037092783466938783
2015-01-08,0.014782670561126476
2015-01-09,-0.008140773304983306
2015-01-12,-0.00021581893920785689
2015-01-13,-0.007129067688861568
2015-01-14,-0.010443920615230362
2015-01-15,-0.006816125917596949
2015-01-16,0.006420072458539483
2015-01-20,-0.0017595362715651097
2015-01-21,0.005509092544538019
2015-01-22,0.013587336997370247
2015-01-23,0.0028109992343920975
2015-01-26,0.00819294840781093
2015-01-27,-0.013686763603938501
2015-01-28,-0.020815278231780754
2015-01-29,-0.006200226692199662
2015-01-30,-0.02049910278570266
2015-02-02,-0.01023654472196689
2015-02-03,0.004137027780694913
2015-02-04,-0.005264462895334887
2015-02-05,0.005522452025485514
2015-02-06,-0.008466842446219536
2015-02-09,-0.015693477427786484
2015-02-10,0.021101815386553868
2015-02-11,0.011940277668843313
2015-02-12,0.006807566510299123
2015-02-13,-0.020058698801911246
2015-02-17,-0.004369698542624922
2015-02-18,0.01928437020405549
2015-02-19,-0.0038752165282047724
2015-02-20,-0.009839654371650575
2015-02-23,0.005777549994591347
2015-02-24,0.0016085765144764341
2015-02-25,0.006882449030953586
2015-02-26,-0.0027341821380337805
2015-02-27,0.005026054932279145
2015-03-02,0.027279068435030585
2015-03-03,-0.011064450609230891
2015-03-04,-0.0022375490085497773
2015-03-05,0.019735206445545384
2015-03-06,-0.0235320328314661
2015-03-09,0.013288427545918191
2015-03-10,-0.020448953988247975
2015-03-11,-0.005219288592789195
2015-03-12,0.0330749438892175
2015-03-13,0.0008833195699058383
2015-03-16,0.021398555262399643
2015-03-17,-0.013606972388879979
2015-03-18,0.022991094500992126
2015-03-19,-0.0008560927008154362
2015-03-20,0.004284512013754904
2015-03-23,-0.01749151854541864
2015-03-24,-0.014546424868016161
2015-03-25,-0.021810862322199975
2015-03-26,0.00045031263590478154
2015-03-27,0.06078345548744868
2015-03-30,0.012733797272400427
2015-03-31,0.002514457853209695
2015-04-01,-0.007524825298636184
2015-04-02,0.01031978304966441
2015-04-06,-0.004377508975834665
2015-04-07,0.019890989940632986
