Date,VTRS
2015-01-05,-0.011179836629163109
2015-01-06,-0.027638599863450852
2015-01-07,0.03562219286390933
2015-01-08,0.009624030028430486
2015-01-09,-0.014298516980882914
2015-01-12,-0.010207665073503347
2015-01-13,0.0037994593258046105
2015-01-14,-0.016041587925636258
2015-01-15,-0.03388902300042007
2015-01-16,0.06181249929186605
2015-01-20,-0.01553585799510615
2015-01-21,-0.009794696852481799
2015-01-22,-0.0027478241135207027
2015-01-23,-0.004225051417011461
2015-01-26,0.0477771548291992
2015-01-27,-0.008802743239094357
2015-01-28,-0.018827828464314633
2015-01-29,-0.006335927439349409
2015-01-30,-0.03169956062351709
2015-02-02,0.0007524054747174436
2015-02-03,0.02632099588284742
2015-02-04,-0.025096320071499423
2015-02-05,0.020293029059747836
2015-02-06,-0.00755060957292597
2015-02-09,-0.01651522588643195
2015-02-10,0.0183020593291634
2015-02-11,-0.003891063080557644
2015-02-12,0.01395073177726558
2015-02-13,0.02458253728062232
2015-02-17,0.012175804175688532
2015-02-18,0.0003536687626968238
2015-02-19,0.01184811090448079
2015-02-20,0.011359414933730383
2015-02-23,-0.003801535700928116
2015-02-24,-0.00745864654991113
2015-02-25,-0.012583086074702154
2015-02-26,0.013274101583393039
2015-02-27,0.0013975212562264971
2015-03-02,0.009768041632888025
2015-03-03,-0.04232178122292152
2015-03-04,0.0030664001643574412
2015-03-05,0.019421044256294984
2015-03-06,-0.02204983944756478
2015-03-09,0.005411391204749094
2015-03-10,-0.007714389831355972
2015-03-11,0.06671481316264827
2015-03-12,0.05593236600911222
2015-03-13,-0.04077069844647385
2015-03-16,0.02526796506082918
2015-03-17,0.02366563600070637
2015-03-18,0.035714111687944694
2015-03-19,-0.01570180377990682
2015-03-20,-0.013762794874866091
2015-03-23,0.003488586575582042
2015-03-24,-0.0030024354240669737
2015-03-25,-0.029481705196540586
2015-03-26,0.010615777525116332
2015-03-27,-0.0040401535594492
2015-03-30,-0.026448201922387282
2015-03-31,-0.010833553614044367
2015-04-01,-0.02375735617934438
2015-04-02,0.0027615995170546803
2015-04-06,0.006540402289776814
2015-04-07,0.018638981507893337
2015-04-08,0.14755743428700385
2015-04-09,0.025453585797537315
2015-04-10,0.001997023270559284
2015-04-13,-0.023917881168522004
2015-04-14,0.0008752342440869754
2015-04-15,-0.026960297650460707
2015-04-16,0.0008986980457912352
2015-04-17,0.04474043643582748
2015-04-20,-0.025350882230405714
2015-04-21,0.08846438264120637
2015-04-22,-0.022546330235454604
2015-04-23,0.01781787358140985
2015-04-24,0.03216144349489447
2015-04-27,-0.05706011130310129
2015-04-28,0.013803644986545516
2015-04-29,0.024618357677037128
2015-04-30,-0.030067092101294657
2015-05-01,0.022557470284830794
2015-05-04,-0.0113683491302351
2015-05-05,-0.002190252352963329
2015-05-06,-0.025243566498286518
2015-05-07,-0.009289016910932424
2015-05-08,0.01306980225448684
2015-05-11,0.004487711230811264
2015-05-12,-0.01814899588258334
2015-05-13,0.00739374926953662
2015-05-14,0.009597810188102907
2015-05-15,-0.012023312505432426
2015-05-18,0.010046972060037795
2015-05-19,-0.0004202324276416647
2015-05-20,-0.012613935116734809
2015-05-21,-0.007238969786270255
2015-05-22,-0.0040035745595813355
2015-05-26,0.012776552685501485
2015-05-27,0.02111960745165309
2015-05-28,0.008883964117411436
2015-05-29,-0.00068811077755071
2015-06-01,0.009500256774729765
2015-06-02,-0.01418446246481464
2015-06-03,0.0015218556200458089
2015-06-04,0.026246916962688216
2015-06-05,-0.002019226057901724
2015-06-08,-0.0066090169090423645
2015-06-09,0.0020365249088760695
2015-06-10,0.0035231442410519342
2015-06-11,0.0006750424904140573
2015-06-12,-0.005532476045540746
2015-06-15,-0.0014924099260702484
2015-06-16,-0.020926579200266637
2015-06-17,-0.011381058041825987
2015-06-18,0.018671969056584414
2015-06-19,-0.012954720932831898
2015-06-22,-0.002792543019753846
2015-06-23,-0.005600790176822135
2015-06-24,-0.002252921437353228
2015-06-25,-0.007056172122860804
2015-06-26,-0.018476394389295048
2015-06-29,-0.020706709929903644
2015-06-30,0.003400898048059986
2015-07-01,0.027114834701358115
2015-07-02,0.006025778617965605
2015-07-06,0.008984431564965867
2015-07-07,0.010459261156198219
2015-07-08,-0.03538928713532841
2015-07-09,0.020156431220785587
2015-07-10,0.012366853538665623
2015-07-13,-0.002246594721664885
2015-07-14,0.005066268010353703
2015-07-15,-0.019042290618630164
2015-07-16,-0.02312302702533775
2015-07-17,0.00043828440979165606
2015-07-20,-0.02176138727128396
2015-07-21,0.0034336968929606915
2015-07-22,0.010266519581314304
2015-07-23,-0.01973494871409709
2015-07-24,-0.009314885354150149
2015-07-27,-0.14513217281404767
2015-07-28,-0.0003545109024037929
2015-07-29,0.01579424114157213
2015-07-30,-0.015548661827243904
2015-07-31,-0.006388559022591944
2015-08-03,-0.014109823326586834
2015-08-04,-0.009601634590840402
2015-08-05,-0.0012801639090397332
2015-08-06,0.014651907239202178
2015-08-07,0.017148142701714386
2015-08-10,0.02094047916823505
2015-08-11,-0.006952962446295952
2015-08-12,-0.030981790390440023
2015-08-13,-0.020592504153807645
2015-08-14,0.0025819971926217544
2015-08-17,0.020787304025282394
2015-08-18,0.004685509265839327
2015-08-19,-0.011838616286498294
2015-08-20,-0.03739349509793655
2015-08-21,-0.028851290035395882
2015-08-24,-0.0328155259832944
2015-08-25,-0.014053539736294085
2015-08-26,0.04113213116620895
2015-08-27,0.007041142127226951
2015-08-28,-0.021751952774103245
2015-08-31,-0.01548543279166592
2015-09-01,-0.02621503601753905
