Date,CPRT
2015-01-05,-0.009841459604464475
2015-01-06,-0.01131970827151041
2015-01-07,0.003071678062998906
2015-01-08,0.010300745140402467
2015-01-09,-0.004684540626997857
2015-01-12,-0.013565832731434191
2015-01-13,-0.0030873030326681317
2015-01-14,-0.005349060367690894
2015-01-15,-0.009057557116801673
2015-01-16,0.0
2015-01-20,-0.000285584747573453
2015-01-21,0.018857138497488934
2015-01-22,0.024677539873267706
2015-01-23,0.00985223320557127
2015-01-26,0.008672078091915392
2015-01-27,-0.010746950907041142
2015-01-28,-0.003802264823704382
2015-01-29,0.006543016951274794
2015-01-30,-0.008667381113073303
2015-02-02,0.014207663372755253
2015-02-03,0.018318974265693955
2015-02-04,-0.016137582610147083
2015-02-05,0.008066766949067716
2015-02-06,0.004801186514267419
2015-02-09,0.00026551995531320927
2015-02-10,0.0045116286509678805
2015-02-11,-0.0005283129160514877
2015-02-12,0.002907660331224138
2015-02-13,0.006062191633144032
2015-02-17,-0.0052396373548926345
2015-02-18,0.0018435526092648313
2015-02-19,-0.00289170893018198
2015-02-20,0.0018454968167944674
2015-02-23,-0.012631566900956015
2015-02-24,0.002132143267095099
2015-02-25,0.02021282359236154
2015-02-26,-0.011470345005352156
2015-02-27,-0.013185654645138545
2015-03-02,0.017904917595602976
2015-03-03,-0.005775826196424361
2015-03-04,-0.015843635887085372
2015-03-05,0.0
2015-03-06,-0.001341541090594034
2015-03-09,0.0
2015-03-10,-0.014508352977349648
2015-03-11,0.003544194848245086
2015-03-12,0.013854884610334572
2015-03-13,-0.0010718359017802825
2015-03-16,0.012070836311007582
2015-03-17,-0.008481306618252082
2015-03-18,-0.0016038859539093675
2015-03-19,0.0005354875122023373
2015-03-20,0.011506564556224674
2015-03-23,-0.007142869397175899
2015-03-24,-0.0018651664561959436
2015-03-25,-0.022690830082625957
2015-03-26,0.003824075042731634
2015-03-27,0.011972751747183263
2015-03-30,0.008335611313208924
2015-03-31,0.0018666585286457593
2015-04-01,-0.0005323518212970724
2015-04-02,0.0034620791146895424
2015-04-06,0.01167724583719143
2015-04-07,-0.00786986478138696
2015-04-08,0.006874726026665057
2015-04-09,-0.005514781750841746
2015-04-10,-0.0002640169478532739
2015-04-13,-0.0047543661456403985
2015-04-14,-0.0021231908282043355
2015-04-15,0.005585183715218989
2015-04-16,-0.006083034485124372
2015-04-17,-0.01543378932396422
2015-04-20,0.011081076957083935
2015-04-21,-0.0016038859539093675
2015-04-22,-0.004283797963819724
2015-04-23,0.004033383474533858
2015-04-24,-0.004552811541185697
2015-04-27,-0.013989687077812452
2015-04-28,-0.0010914301190164677
2015-04-29,-0.009287084045875527
2015-04-30,-0.019299717510469883
2015-05-01,0.005622737268917044
2015-05-04,0.005591298864410454
2015-05-05,-0.022518803052606118
2015-05-06,-0.003128572549173647
2015-05-07,0.0017118794464214826
2015-05-08,0.0005696513077750875
2015-05-11,-0.0002847177889654384
2015-05-12,0.003132135925314472
2015-05-13,-0.005677001576445573
2015-05-14,0.011133297266311404
2015-05-15,-0.003105499755523322
2015-05-18,0.010195320919092365
2015-05-19,-0.0005606011800644017
2015-05-20,-0.001963525717478709
2015-05-21,-0.0025295151196236265
2015-05-22,0.002817651997513604
2015-05-26,-0.008148381969204865
2015-05-27,0.007648738345586326
2015-05-28,-0.032049463014595325
2015-05-29,0.004937501232602504
2015-06-01,-0.011560628000628848
2015-06-02,0.0040935493136053935
2015-06-03,0.006115290726253164
