Date,LRCX
2015-01-05,-0.012208638911274328
2015-01-06,-0.016692218625985578
2015-01-07,0.005183291702980375
2015-01-08,0.025912136857578982
2015-01-09,0.0018849226683912423
2015-01-12,-0.03035281722827521
2015-01-13,-0.009700914659308224
2015-01-14,-0.006661581265160588
2015-01-15,0.008283983435389164
2015-01-16,0.011737260070147526
2015-01-20,0.011858625350054552
2015-01-21,0.019618146909578194
2015-01-22,0.010244898086503085
2015-01-23,-0.00544174557431043
2015-01-26,0.009450356033781304
2015-01-27,-0.012687750244811391
2015-01-28,-0.005364796097252711
2015-01-29,0.0018814034477712127
2015-01-30,-0.042944832581041315
2015-02-02,0.0028781303105742673
2015-02-03,0.012653325613374733
2015-02-04,-0.0024476424851043177
2015-02-05,0.0076188687096563346
2015-02-06,0.0014096349347709758
2015-02-09,-0.005886855418478776
2015-02-10,0.03733275736793229
2015-02-11,0.00024828672861998413
2015-02-12,0.006327330705286238
2015-02-13,0.013561752110516023
2015-02-17,-0.003648906701382848
2015-02-18,0.0001220598610820467
2015-02-19,0.014038083176149074
2015-02-20,0.009269303100126747
2015-02-23,-0.007872355603884995
2015-02-24,0.012623276214092316
2015-02-25,-0.008310368822471936
2015-02-26,-0.0017957211289921782
2015-02-27,-0.011033990901637036
2015-03-02,0.02449695630786386
2015-03-03,-0.031842069660315
2015-03-04,-0.01124815471408902
2015-03-05,-0.0012367758563130993
2015-03-06,-0.007428676428918535
2015-03-09,0.009876377457415764
2015-03-10,-0.03490968549252549
2015-03-11,0.003976375364040052
2015-03-12,-0.007026913290791192
2015-03-13,0.012737995146860692
2015-03-16,0.014991762790883545
2015-03-17,-0.011390377773945137
2015-03-18,-0.01886566839459447
2015-03-19,0.01884122804172539
2015-03-20,0.0035465453577068207
2015-03-23,-0.010097366287818876
2015-03-24,0.00420770182926411
2015-03-25,-0.07630773850227335
2015-03-26,-0.021993065018061864
2015-03-27,0.012508761742914043
2015-03-30,0.0020819880980731398
2015-03-31,-0.027011758722765955
2015-04-01,0.00028467020224121065
2015-04-02,0.0069739321188602155
2015-04-06,0.02261501356911766
2015-04-07,-0.016309776569504497
2015-04-08,0.023324483240282134
2015-04-09,0.004531161282525398
2015-04-10,-0.0008203033283612493
2015-04-13,-0.005472017346154101
2015-04-14,-0.009628756945235462
2015-04-15,0.00583379182937005
2015-04-16,-0.008699399059850066
2015-04-17,-0.015740308277969794
2015-04-20,0.018822671315593897
2015-04-21,0.08126107501930879
2015-04-22,0.006680415561887143
