Date,EIX
2015-01-05,-0.0024426028343443873
2015-01-06,0.0038256366489644034
2015-01-07,0.01676812361733937
2015-01-08,0.0055476911349992
2015-01-09,0.004621704498636081
2015-01-12,-0.007420245230410294
2015-01-13,-0.005682023723433072
2015-01-14,0.015338324892553823
2015-01-15,0.004887373954066021
2015-01-16,0.00221080613853597
2015-01-20,0.0025002225836836534
2015-01-21,0.0042539912116406065
2015-01-22,-0.004090234218709354
2015-01-23,0.003080232464316879
2015-01-26,-0.0007313692465422683
2015-01-27,0.0004392438734077686
2015-01-28,-0.010969619455411639
2015-01-29,0.0211476954971741
2015-01-30,-0.013034474174485555
2015-02-02,0.0020546742147853347
2015-02-03,-0.005418099900344919
2015-02-04,-0.006183791361011659
2015-02-05,0.0034073941827750254
2015-02-06,-0.0496086855237331
2015-02-09,-0.004039323467684541
2015-02-10,0.02948075878187395
2015-02-11,-0.02015150438696256
2015-02-12,0.002010248096575351
2015-02-13,-0.02916701447403125
2015-02-17,0.007948032321754006
2015-02-18,0.030279325224010556
2015-02-19,-0.014388616079517913
2015-02-20,-0.004659117880003394
2015-02-23,0.021532227649852853
2015-02-24,0.002596576207809065
2015-02-25,-0.011426026923362476
2015-02-26,-0.012174442131607344
2015-02-27,0.002340323178842141
2015-03-02,-0.008249290697637912
2015-03-03,0.0003141511013460274
2015-03-04,-0.0045500098463348015
2015-03-05,0.005831487691204895
2015-03-06,-0.03917278196054719
2015-03-09,0.007664873167260389
2015-03-10,0.004531200575172756
2015-03-11,-0.001127319127089188
2015-03-12,0.016935374925183266
2015-03-13,-0.003489459216505675
2015-03-16,0.021168590314379898
2015-03-17,-0.009975271017278464
2015-03-18,0.0310137837325819
2015-03-19,-0.01038366064807239
2015-03-20,-0.009874610393436956
2015-03-23,0.0007791968096737545
2015-03-24,-0.016972995839027782
2015-03-25,-0.008712001449019513
2015-03-26,-0.005593143157383684
2015-03-27,0.005937388831903201
2015-03-30,0.013830631677187455
2015-03-31,-0.009041477903551254
2015-04-01,0.007363440160553569
2015-04-02,0.0017476631222714811
2015-04-06,0.019035545434940015
2015-04-07,-0.007938767924666301
2015-04-08,-0.0003139722217633256
2015-04-09,-0.0053366894096339434
2015-04-10,0.006628075279390355
