Date,AOS
2015-01-05,-0.017496663732552986
2015-01-06,-0.008177139260313049
2015-01-07,0.0073288795276118535
2015-01-08,0.02600892708996949
2015-01-09,-0.015954832229649107
2015-01-12,0.003963459046840034
2015-01-13,-0.0043066379228743346
2015-01-14,-0.002523051113907826
2015-01-15,-0.020234731512870807
2015-01-16,0.007929268255604915
2015-01-20,-0.0027441641388614713
2015-01-21,0.002018001685772708
2015-01-22,0.020871529044438564
2015-01-23,-0.003766169175130063
2015-01-26,0.005580511733566551
2015-01-27,0.06928052887470981
2015-01-28,-0.006194969191458344
2015-01-29,0.0
2015-01-30,0.0008424728981530905
2015-02-02,0.006564634882610276
2015-02-03,0.018227471473387213
2015-02-04,0.0067545767090251285
2015-02-05,0.002945336338905591
2015-02-06,0.0026105511019334227
2015-02-09,-0.0011389778840970033
2015-02-10,0.011893045051499351
2015-02-11,0.0020932320493420864
2015-02-12,0.006747774065772871
2015-02-13,0.0015958137589449084
2015-02-17,-0.004461173656828632
2015-02-18,0.008002342036690813
2015-02-19,-0.0006351250009715148
2015-02-20,0.005719971824682757
2015-02-23,0.003791484661166411
2015-02-24,-0.0033051771779650796
2015-02-25,-0.006316077750393112
2015-02-26,0.008898885089923425
2015-02-27,-0.007245300432648372
2015-03-02,0.02252865609458876
2015-03-03,-0.019394565246172113
2015-03-04,0.0028480774748700366
2015-03-05,0.0009467102262490368
2015-03-06,-0.0063054792841000795
2015-03-09,0.009676741440882486
2015-03-10,-0.011311978390774802
2015-03-11,0.003654637994090937
2015-03-12,-0.001583180882433144
2015-03-13,-0.016175105443914872
2015-03-16,0.011927731748296866
2015-03-17,0.00541601168856487
2015-03-18,0.030418305326118666
2015-03-19,-0.01214647273168179
2015-03-20,0.004046954146099235
2015-03-23,-0.00821603891983047
2015-03-24,0.0025005813632319462
2015-03-25,-0.010445787768814996
2015-03-26,0.00693250932101197
2015-03-27,0.01455151042435232
2015-03-30,0.01418890353523694
2015-03-31,-0.0015204486826033703
2015-04-01,-0.006396716673567782
2015-04-02,0.00183923227901861
2015-04-06,0.003672054976592065
2015-04-07,-0.012042784560366226
2015-04-08,0.0026232191306450048
2015-04-09,-0.003693528436153559
2015-04-10,0.0037072211629380902
2015-04-13,-0.007694603258941224
2015-04-14,0.01845525283210936
2015-04-15,0.0006091770317828704
2015-04-16,-0.006544119481284527
2015-04-17,-0.013786513936759892
2015-04-20,0.010096012356234585
2015-04-21,0.005997447738830486
2015-04-22,0.006267239335886909
2015-04-23,-0.002734565480717266
2015-04-24,0.01431838217070891
2015-04-27,-0.007809081078091862
2015-04-28,-0.013357464988108747
2015-04-29,-0.011230502556670796
2015-04-30,-0.005757169114317007
2015-05-01,0.025978019482953973
2015-05-04,0.00716909823590739
2015-05-05,-0.004695103764695729
2015-05-06,0.0045650339846263766
2015-05-07,0.01605558848944666
2015-05-08,0.01610034357021295
2015-05-11,0.0002934715489943951
2015-05-12,0.0005866395406084468
2015-05-13,0.011140338371064429
2015-05-14,0.007393753260035885
2015-05-15,0.0038854249747604097
2015-05-18,0.001290043371184879
2015-05-19,0.004008746145417907
2015-05-20,-0.0019965936142463114
2015-05-21,-0.004000472171775793
2015-05-22,0.008463531880577468
2015-05-26,-0.00014185496740493075
2015-05-27,0.015364556556559661
2015-05-28,0.0033630771883341737
2015-05-29,-0.003212232258480885
2015-06-01,0.006164370413280551
2015-06-02,-0.008911451989253916
2015-06-03,0.015734683119890125
2015-06-04,-0.011618281007734432
2015-06-05,0.00014042958292970198
