Date,EBAY
2015-01-05,-0.008361663452315149
2015-01-06,-0.012916967769154741
2015-01-07,-0.001636037206216634
2015-01-08,0.026943400542420726
2015-01-09,-0.01382742579188534
2015-01-12,-0.00772940780337017
2015-01-13,-0.0012683648759791444
2015-01-14,-0.01995268397856098
2015-01-15,-0.018693351865623042
2015-01-16,0.012071161502493544
2015-01-20,0.00037254782554430044
2015-01-21,-0.005588397873875772
2015-01-22,0.0706251737709902
2015-01-23,-0.006824059585233355
2015-01-26,-0.012332378178552816
2015-01-27,-0.024438282772037967
2015-01-28,-0.015541843189181503
2015-01-29,0.00222865925584137
2015-01-30,-0.017791408167359468
2015-02-02,0.013396257694902713
2015-02-03,0.010054235705265313
2015-02-04,-0.009954154291769268
2015-02-05,0.010799014834647735
2015-02-06,0.003868223248547187
2015-02-09,-0.003119241974172904
2015-02-10,0.01730163954421049
2015-02-11,-0.0023523946275381125
2015-02-12,-0.007253997712054594
2015-02-13,0.031603736142102656
2015-02-17,-0.0008852928166679375
2015-02-18,0.008507614768432425
2015-02-19,0.013180814658178885
2015-02-20,0.006418286659311878
2015-02-23,0.000861729322659377
2015-02-24,0.005682569003774729
2015-02-25,-0.0008558625589190072
2015-02-26,0.0032562946259175884
2015-02-27,-0.010762170023587259
2015-03-02,0.008116377309957068
2015-03-03,-0.0020556914319214137
2015-03-04,0.0008583531497201591
2015-03-05,0.013205272011027835
2015-03-06,0.013371878326070341
2015-03-09,0.01570056594935587
2015-03-10,-0.026311492353501165
2015-03-11,0.007937746701020654
2015-03-12,-0.0045240243279355274
2015-03-13,-0.005722983096531076
2015-03-16,0.008464372700606182
2015-03-17,-0.00134260307733014
2015-03-18,-0.0178181900428942
2015-03-19,-0.009413026423481075
2015-03-20,0.0008638135533081126
2015-03-23,0.01191110713709409
2015-03-24,0.015182365805772813
2015-03-25,-0.02436563911925671
2015-03-26,-0.00930085622173038
2015-03-27,0.0019123016443243213
2015-03-30,0.005205804794037983
2015-03-31,-0.0043156020763929215
2015-04-01,-0.009535423268695387
2015-04-02,-0.0038508006231618985
2015-04-06,-0.0015813485665201465
2015-04-07,0.0045759122023107945
2015-04-08,0.0005253394301538705
2015-04-09,-0.0017508319928475347
2015-04-10,0.005788580138193389
2015-04-13,-0.00697629304241798
2015-04-14,0.00017589910427373567
2015-04-15,0.001229123093773321
2015-04-16,0.00035059483577004613
2015-04-17,-0.021914163989130042
2015-04-20,0.005018535487075315
2015-04-21,0.006242160198273838
2015-04-22,0.005849024378107526
2015-04-23,0.03770951376396936
2015-04-24,0.005263807993711067
2015-04-27,-0.0018578626948638766
2015-04-28,0.006599928604998251
2015-04-29,-0.010087436526174498
2015-04-30,-0.010530007243143902
2015-05-01,0.017850984475320963
2015-05-04,-0.003204043060305084
2015-05-05,-0.019793520825916677
2015-05-06,-0.007766534103290423
2015-05-07,0.008175141891662907
2015-05-08,0.014837978767329396
2015-05-11,-0.008160482114379364
2015-05-12,-0.0006856714182447154
2015-05-13,0.008747961985934749
2015-05-14,0.02193497478439954
2015-05-15,-0.011480870336259441
2015-05-18,0.0008416527249752725
2015-05-19,-0.0035318836809380416
2015-05-20,-0.001687851176774613
2015-05-21,0.009974645413785677
2015-05-22,-0.0003345474189848652
2015-05-26,-0.016577709330669377
2015-05-27,0.011067914855382499
2015-05-28,0.019871760523780146
2015-05-29,0.01321039183634598
2015-06-01,0.01955656958647012
2015-06-02,-0.008951384729231626
2015-06-03,0.00016113549038965225
2015-06-04,0.007740762285458169
2015-06-05,0.01184186060893988
2015-06-08,-0.037640471865306724
2015-06-09,-0.007230772555950282
2015-06-10,0.0009933482593755816
2015-06-11,-0.00033092691910630023
2015-06-12,-0.00711335112082534
2015-06-15,-0.0003331552796894677
2015-06-16,0.008666778795225039
2015-06-17,0.000495645963348057
2015-06-18,0.002311840780142793
2015-06-19,0.00790937462805652
2015-06-22,0.00948184947873032
2015-06-23,0.0029148846792552696
2015-06-24,-0.005167065032732787
2015-06-25,-0.00016240181279181254
2015-06-26,-0.009091051676553774
2015-06-29,-0.027358955815045993
2015-06-30,0.01465385788220197
2015-07-01,0.00315396196318507
2015-07-02,0.023498393782691362
2015-07-06,-0.0014553722906930355
2015-07-07,0.0035624433373300235
2015-07-08,-0.015973068059805362
2015-07-09,0.012789065228553831
2015-07-10,0.009713465302945812
2015-07-13,0.017636462877669068
2015-07-14,0.0018909944923899413
2015-07-15,-0.0023590629708968303
2015-07-16,0.03389037476327483
2015-07-17,0.010672448964718306
2015-07-20,0.02402033444856877
2015-07-21,0.001050326394795409
2015-07-22,-0.005245005241655498
2015-07-23,-0.0007029714950820276
2015-07-24,-0.007034735000968628
2015-07-27,-0.008147473992713983
2015-07-28,0.01178582293376107
2015-07-29,0.01482530616238531
2015-07-30,-0.01321738115612725
2015-07-31,-0.008812221318538094
2015-08-03,0.007468048992642418
2015-08-04,0.002823721121110845
2015-08-05,0.0052798594535390375
2015-08-06,-0.014005726898090765
2015-08-07,0.013849492574121713
2015-08-10,0.0038530994553938047
2015-08-11,-0.01814392812195953
2015-08-12,-0.0046195007861450366
2015-08-13,-0.0007141661111154107
2015-08-14,0.009646307386808495
2015-08-17,0.0010615465733878615
2015-08-18,-0.01838092973272365
2015-08-19,-0.012243450411043577
2015-08-20,-0.03317543931817102
2015-08-21,-0.02828045108460231
2015-08-24,-0.03259602873323442
2015-08-25,0.012033585618587583
2015-08-26,0.03725721586001973
2015-08-27,0.035537029463812875
2015-08-28,0.0055349266401270025
2015-08-31,-0.0051375739953549715
