Date,PH
2015-01-05,-0.04289224319451468
2015-01-06,-0.014641689476086572
2015-01-07,0.007798922844793221
2015-01-08,0.031606873675663394
2015-01-09,-0.006238580193141385
2015-01-12,-0.0004770465623524789
2015-01-13,-0.012878359429036479
2015-01-14,-0.014495923650171494
2015-01-15,-0.019939891174102442
2015-01-16,0.0005836849785729736
2015-01-20,0.009333663778713808
2015-01-21,0.008173575320642668
2015-01-22,0.007206721425196072
2015-01-23,-0.008293555696697208
2015-01-26,0.006476922902125537
2015-01-27,-0.011485759011986896
2015-01-28,-0.03526981148462505
2015-01-29,0.013068951346203894
2015-01-30,-0.018043695660914016
2015-02-02,0.027305516090960325
2015-02-03,0.013456988161599792
2015-02-04,-0.012618409912219852
2015-02-05,0.00509506808375626
2015-02-06,0.00735189435614525
2015-02-09,0.0021561814911070787
2015-02-10,0.0038893179414782875
2015-02-11,-0.007748649029127419
2015-02-12,0.012129272315239747
2015-02-13,0.01830398192880156
2015-02-17,-0.006931883087370583
2015-02-18,-0.002840811634386098
2015-02-19,0.0032558279630603426
2015-02-20,0.0035697734262334357
2015-02-23,-0.004446490988160412
2015-02-24,0.0031671450060717365
2015-02-25,-0.0007286060087235979
2015-02-26,-0.0018631793470474944
2015-02-27,-0.004220460621731759
2015-03-02,0.00880268949137819
2015-03-03,-0.0032317742084282397
2015-03-04,-0.015319760383253889
2015-03-05,0.006091755897347673
2015-03-06,-0.03231923617024879
2015-03-09,0.0011839986871724495
2015-03-10,-0.013174867177874972
2015-03-11,0.006761107433849611
2015-03-12,0.006545400102720755
2015-03-13,-0.005827361300306921
2015-03-16,0.01970775921225365
2015-03-17,-0.0050815528103576035
2015-03-18,0.018504517612537796
2015-03-19,-0.017017423622903927
2015-03-20,0.005101830293564147
2015-03-23,-0.009485887950321015
2015-03-24,0.004116275095598532
2015-03-25,-0.02124976488083341
2015-03-26,0.0031623887760587888
2015-03-27,0.00673141621482598
2015-03-30,0.009818132271974589
2015-03-31,-0.004442035938713063
2015-04-01,-0.00311511375342044
2015-04-02,-0.0034625472819191927
2015-04-06,0.029322128682751636
2015-04-07,-0.012514138729949997
2015-04-08,-0.0019181532978558291
2015-04-09,0.0005014647710959164
2015-04-10,0.006345396859340102
2015-04-13,-0.0002492146577948162
2015-04-14,0.0056434998821355276
2015-04-15,0.01914474945698119
2015-04-16,-0.0014573460263802573
2015-04-17,-0.015001499554252118
2015-04-20,0.011195968041854742
2015-04-21,-0.005617076135917665
2015-04-22,0.010888991541047943
2015-04-23,-0.000323933245952146
2015-04-24,-0.007615559300976793
2015-04-27,0.019593047818791565
2015-04-28,-0.03691228550225867
2015-04-29,-0.004988319042196876
2015-04-30,-0.0026738350868787952
2015-05-01,0.011226721773990977
2015-05-04,0.007704853178364557
2015-05-05,0.004851005161048416
2015-05-06,-0.004359127260336271
2015-05-07,-0.0008262437554723556
2015-05-08,0.00438160913161334
2015-05-11,0.006584996676198385
2015-05-12,-0.005478737493239794
2015-05-13,0.012744397697436849
2015-05-14,0.011529023089545287
2015-05-15,-0.018139512484443565
2015-05-18,0.003106407798612487
2015-05-19,-0.0048896999541404584
2015-05-20,0.004913726602885138
2015-05-21,0.019884015120048337
2015-05-22,-0.0032758383025797144
2015-05-26,-0.016915403093334613
2015-05-27,0.005871454574309709
2015-05-28,-0.008755443579297473
2015-05-29,-0.015048716171067955
2015-06-01,0.0002490349707582329
2015-06-02,0.0015773531072598157
2015-06-03,0.004972963465343039
2015-06-04,-0.014185389872190202
2015-06-05,0.002007884342842381
2015-06-08,-0.007096906634022293
2015-06-09,0.0020181836832429134
2015-06-10,0.008811694125315128
2015-06-11,0.0
2015-06-12,-0.008651938108893531
2015-06-15,-0.008139237580379155
2015-06-16,-0.0011845467864302073
2015-06-17,0.0025411065055307436
2015-06-18,0.004055465040252448
2015-06-19,-0.002692748423257507
2015-06-22,0.005146608886805293
2015-06-23,-0.0024340628225721916
2015-06-24,0.005890458353354777
2015-06-25,-0.010875404920836385
2015-06-26,-0.0005919968707647216
2015-06-29,-0.021071400784345107
2015-06-30,0.005619110670031624
2015-07-01,0.007049113282279196
2015-07-02,-0.0071705197691065425
2015-07-06,-0.008597696947938549
2015-07-07,0.002948577244773931
2015-07-08,-0.02507586162776687
2015-07-09,0.0023061172605169933
2015-07-10,0.0020353453735912908
2015-07-13,0.005739866652218595
2015-07-14,0.006409732830883197
2015-07-15,-0.013784689316489906
2015-07-16,0.009288842246684137
2015-07-17,-0.007801043381545081
2015-07-20,0.003533817878299983
2015-07-21,-0.013468604206015033
2015-07-22,-0.0050857570383230355
2015-07-23,-0.00520189972432783
2015-07-24,-0.008023990546555893
2015-07-27,-0.007907015952450802
2015-07-28,0.005405159226713696
2015-07-29,0.018041185201870924
2015-07-30,0.007607432115145585
2015-07-31,0.001509838917923334
2015-08-03,-0.003015205505552898
2015-08-04,-0.040121040401648655
2015-08-05,0.026876869544392168
2015-08-06,0.0019853079071687763
2015-08-07,0.0016212647783253598
2015-08-10,0.032284450372995765
2015-08-11,-0.01916559814708363
2015-08-12,0.005684452692521935
2015-08-13,0.00044153040926153686
2015-08-14,0.003442592488311247
2015-08-17,-0.009324912617143855
2015-08-18,0.0012428673539561785
2015-08-19,-0.012860016729713153
2015-08-20,-0.028212350147450937
2015-08-21,-0.01987777545964342
2015-08-24,-0.03169493524817857
2015-08-25,-0.02172458153905865
2015-08-26,0.03296950727369086
2015-08-27,0.04006589014319917
2015-08-28,-0.0021453771734143423
2015-08-31,0.006356352853767122
2015-09-01,-0.018391463954234744
