Date,AIZ
2015-01-05,-0.022428565849558324
2015-01-06,-0.013887001219229256
2015-01-07,0.0039798759319038535
2015-01-08,0.014941102492189273
2015-01-09,-0.0034551158932784043
2015-01-12,-0.004823451166958148
2015-01-13,0.0
2015-01-14,-0.007573617091758189
2015-01-15,-0.01312517043552286
2015-01-16,0.008041789688583822
2015-01-20,-0.01119994497385357
2015-01-21,0.007913236012128788
2015-01-22,0.015394038673113508
2015-01-23,-0.01030898834890337
2015-01-26,0.001378523769778095
2015-01-27,-0.00382435349400001
2015-01-28,-0.019809511935714563
2015-01-29,0.009556568718907865
2015-01-30,-0.014432284351774571
2015-02-02,0.016847825160074326
2015-02-03,0.016723419423093633
2015-02-04,-0.0015229565582989268
2015-02-05,0.010982385873587353
2015-02-06,0.0010562534917433197
2015-02-09,-0.007686701082301739
2015-02-10,0.003189650979483316
2015-02-11,0.003785266110125418
2015-02-12,0.0018093516053245828
2015-02-13,-0.07497711464345891
2015-02-17,-0.00927756980405503
2015-02-18,-0.004928327613365258
2015-02-19,0.00878945284318755
2015-02-20,-0.0026304011606474997
2015-02-23,-0.007417142413801758
2015-02-24,0.008801207344810713
2015-02-25,0.008559501469543651
2015-02-26,-0.003427432128549235
2015-02-27,0.0034392198210611014
2015-03-02,0.006854940775943952
2015-03-03,-0.0051872356081096305
2015-03-04,-0.01336156759592011
2015-03-05,0.018001637307886842
2015-03-06,-0.0008111749098466126
2015-03-09,0.009904215832449825
2015-03-10,-0.02138276188467636
2015-03-11,-0.0093639887868745
2015-03-12,0.02603628735680452
2015-03-13,-0.0105059214635711
2015-03-16,0.008984293931464382
2015-03-17,0.001295148120422418
2015-03-18,0.0027483266680012886
2015-03-19,-0.011447806306434383
2015-03-20,0.01435329205184388
2015-03-23,0.00016072479948969765
2015-03-24,-0.0014470444881383715
2015-03-25,-0.018193450949452572
2015-03-26,0.0054116994007757935
2015-03-27,-0.006198035070021479
2015-03-30,0.011160607798182731
2015-03-31,-0.0032467352108837
2015-04-01,-0.004070607896226597
2015-04-02,0.004087245469910128
2015-04-06,-0.0013023593859924354
2015-04-07,-0.002935066348782045
2015-04-08,0.008994423940171803
2015-04-09,0.0016207718977452323
2015-04-10,-0.00016196664989087672
2015-04-13,0.006635334890134237
2015-04-14,-0.009967858698268994
2015-04-15,-0.0012990683221775212
2015-04-16,0.0040649548111773015
2015-04-17,-0.01344113737863728
2015-04-20,0.005416874711021036
2015-04-21,-0.014530467542700598
2015-04-22,0.004141494646155097
2015-04-23,-0.0018149120750401426
2015-04-24,-0.006776584424146859
2015-04-27,-0.0038277323814299713
2015-04-28,0.013865758014926177
2015-04-29,0.02438623820149388
2015-04-30,-0.011420259830518087
2015-05-01,0.007484588690510829
2015-05-04,0.008882422105134014
2015-05-05,0.006883341035858859
2015-05-06,0.02607273571832347
2015-05-07,0.001859778835815673
2015-05-08,0.0
2015-05-11,0.0035568352251036384
2015-05-12,-0.008784095728501473
2015-05-13,-0.0040421361809565015
2015-05-14,0.013424839517275355
2015-05-15,0.005083406693478398
2015-05-18,0.013639635164135022
2015-05-19,0.00393111942697999
2015-05-20,0.0015056955183581078
2015-05-21,0.0039278874438946065
2015-05-22,-0.002407174923414246
2015-05-26,-0.00935170095337412
2015-05-27,0.003044880039542841
2015-05-28,-0.00030384706227570835
2015-05-29,-0.00015172167965327166
2015-06-01,-0.003492537931214401
2015-06-02,0.0018285986426549439
2015-06-03,0.010039503304673625
2015-06-04,-0.01265046140913062
2015-06-05,0.00549095894658902
2015-06-08,-0.005612768928952794
2015-06-09,0.004118990267460543
2015-06-10,0.026283720436185876
2015-06-11,-0.007550019787926465
2015-06-12,-0.0032817010237328192
2015-06-15,-0.003292366350684639
2015-06-16,0.016666665498708877
2015-06-17,-0.0020674462819982864
2015-06-18,0.015391263247302334
2015-06-19,-0.0007286782367238454
2015-06-22,-0.001020770900888368
2015-06-23,0.005548119191137735
2015-06-24,-0.00682440673987339
2015-06-25,-0.005409400558066602
2015-06-26,0.004997694891440307
2015-06-29,-0.02574214453680923
2015-06-30,0.005855143477115021
2015-07-01,0.023134265353138117
2015-07-02,0.0008749474646847499
2015-07-06,-0.00320653796888426
2015-07-07,0.01681535518047217
2015-07-08,-0.020132075110798064
2015-07-09,0.012620848513242189
2015-07-10,0.01739105378576644
2015-07-13,0.015242069067993969
2015-07-14,0.009401706883031213
2015-07-15,0.016263362608272658
2015-07-16,0.005881283100131807
2015-07-17,-0.011150093660507454
2015-07-20,-0.004537963883052276
2015-07-21,0.00428225764336565
2015-07-22,0.006189666384839532
2015-07-23,-0.006151590094418902
2015-07-24,0.00495155335486519
2015-07-27,-0.005885374145748745
2015-07-28,0.0035796973768678075
2015-07-29,0.016600590729570763
2015-07-30,0.014170021488453033
2015-07-31,-0.0073187749873849794
2015-08-03,0.02319033580331964
2015-08-04,-0.0035373920555211713
2015-08-05,0.00802007700751517
2015-08-06,0.00026096400358599503
2015-08-07,0.004824535779316186
2015-08-10,0.012328179391386973
2015-08-11,0.014357090430991537
2015-08-12,-0.003538499957710717
2015-08-13,0.009004271648630935
2015-08-14,0.0005029691251809965
2015-08-17,-0.0015077970273954522
2015-08-18,-0.001258042599868614
2015-08-19,-0.005543089024203973
2015-08-20,-0.023182018984590713
2015-08-21,-0.029308801101863513
2015-08-24,-0.04355385227983699
2015-08-25,0.006146386080795541
2015-08-26,0.03206978382887726
2015-08-27,0.01431670132192231
2015-08-28,-0.004127971639158123
2015-08-31,-0.005882967877273826
2015-09-01,-0.02905180508449723
