Date,D
2015-01-05,-0.01213053915438056
2015-01-06,-0.005094560338594456
2015-01-07,0.004070108057191435
2015-01-08,0.011769475934557239
2015-01-09,-0.011244611714639419
2015-01-12,0.0
2015-01-13,-0.0007845003967673625
2015-01-14,0.00013109953853285283
2015-01-15,0.009417744965798613
2015-01-16,0.007645335373407169
2015-01-20,0.007844999260238295
2015-01-21,0.011483981010025346
2015-01-22,-0.006938546993084604
2015-01-23,0.004700048362816567
2015-01-26,-0.00202294133289338
2015-01-27,0.0006336110030016329
2015-01-28,-0.014307342864923522
2015-01-29,0.016570329499438596
2015-01-30,-0.02843095819462982
2015-02-02,0.010794799168166946
2015-02-03,0.011065570565895078
2015-02-04,-0.012089800588878652
2015-02-05,0.013654364497055926
2015-02-06,-0.037869810030473405
2015-02-09,-0.006340073829288584
2015-02-10,0.01900845158854647
2015-02-11,-0.03313337800618865
2015-02-12,-0.005396465156567443
2015-02-13,-0.010987830684751843
2015-02-17,0.0037033831941746254
2015-02-18,0.02036070175975646
2015-02-19,-0.011785014838985308
2015-02-20,0.0027101778619824657
2015-02-23,-0.0012163078498117486
2015-02-24,0.002165092691443604
2015-02-25,-0.00956278361231555
2015-02-26,-0.010452247069859477
2015-02-27,0.0019455094822451446
2015-03-02,-0.02455223305304033
2015-03-03,0.009243189406773045
2015-03-04,-0.005072319708758988
2015-03-05,0.00807232633098276
2015-03-06,-0.02247823820792716
2015-03-09,-0.00014344369783936273
2015-03-10,-0.004456306044447134
2015-03-11,-0.00736324318323156
2015-03-12,0.015563406481988062
2015-03-13,-0.012317268502885725
2015-03-16,0.014790976792479649
2015-03-17,0.00014287697516035536
2015-03-18,0.027575535935724815
2015-03-19,-0.0044495549993360806
2015-03-20,0.008240580134993847
2015-03-23,0.00013842113353645935
2015-03-24,-0.010249271610523802
2015-03-25,-0.01063549058306723
2015-03-26,-0.00480893004668681
2015-03-27,0.00042631588622210614
2015-03-30,0.010654865682561576
2015-03-31,-0.0037950241964546105
2015-04-01,0.009030372267336384
2015-04-02,0.0009787400903702448
2015-04-06,0.01578644048918032
2015-04-07,-0.010452247069859477
2015-04-08,-0.002779709670754804
2015-04-09,-0.005296375967132283
2015-04-10,0.0074264881359231705
2015-04-13,-0.011265958917448748
2015-04-14,0.007595885657471824
2015-04-15,0.011029175330660834
2015-04-16,-0.00856137935871204
2015-04-17,-0.0045960008639915895
2015-04-20,0.01790970652762236
2015-04-21,-0.009072454047758027
2015-04-22,0.0059647917537266615
2015-04-23,0.009376731298555319
2015-04-24,0.004645175552539849
2015-04-27,-0.013190166681992022
2015-04-28,0.002342628025647109
2015-04-29,-0.006049025327005353
2015-04-30,-0.008575589124528493
2015-05-01,0.0002789768684015037
2015-05-04,0.000837109027540972
2015-05-05,-0.013099596436633276
2015-05-06,-0.00155308897421913
2015-05-07,0.0031113437092675778
2015-05-08,0.012124929664034223
2015-05-11,-0.010865315156825428
2015-05-12,0.001126602660066478
2015-05-13,-0.002672275673643254
2015-05-14,0.009872605390075062
2015-05-15,0.008240580134993847
2015-05-18,0.0009698478357422768
2015-05-19,-0.0009689081422773471
2015-05-20,-0.00415590637331964
2015-05-21,0.001808298803386288
2015-05-22,-0.00069406751856671
2015-05-26,-0.006391677878013202
2015-05-27,-0.00045183419411143344
2015-05-28,0.001976707667955102
2015-05-29,-0.006340544230802325
2015-06-01,-0.0002841497077258337
2015-06-02,-0.012907334059294229
2015-06-03,-0.016668891024384402
2015-06-04,-0.008037382122529135
2015-06-05,-0.010901654142183692
2015-06-08,-0.003127757969428435
2015-06-09,-0.001494069191483538
2015-06-10,0.0002987880780753738
2015-06-11,0.006283093129690442
2015-06-12,-0.006986642827166212
2015-06-15,0.004491017832920496
2015-06-16,0.0040238623339501345
2015-06-17,0.00935106491748372
2015-06-18,0.012500060244157618
2015-06-19,-0.01161957790926993
2015-06-22,0.0030862766854315993
2015-06-23,-0.010255136098706652
2015-06-24,0.0013325306214375665
2015-06-25,-0.009017453311248369
2015-06-26,0.003430974798227293
2015-06-29,0.00029770376613535987
2015-06-30,-0.006242004092860798
2015-07-01,0.0029908196871095694
2015-07-02,0.012374969165757754
2015-07-06,-0.0007361473970324273
2015-07-07,0.02181251889487057
2015-07-08,0.0014426870597277208
2015-07-09,-0.011234488969957601
2015-07-10,0.004515768019851318
2015-07-13,0.0018851905863694896
2015-07-14,0.0015916971196303642
2015-07-15,0.00462432477712027
2015-07-16,0.009493725497425665
2015-07-17,-0.007551606144354572
2015-07-20,-0.005168834940100786
2015-07-21,-0.007504848894560157
2015-07-22,-0.0005813144053982144
2015-07-23,-0.007275212074122184
2015-07-24,0.005276581816609838
2015-07-27,0.008018462480424926
2015-07-28,0.014318556175714203
2015-07-29,0.007415126765137892
2015-07-30,0.005661768360365027
2015-07-31,0.009148102845423
2015-08-03,0.0002791469172263028
2015-08-04,-0.020496395236144993
2015-08-05,0.01295401166742427
2015-08-06,0.0023887795948251966
2015-08-07,0.01415953686429372
2015-08-10,0.00013825770216335798
2015-08-11,0.00456114545999875
2015-08-12,0.02490379313365776
2015-08-13,0.005906812459804289
2015-08-14,0.005872048804010266
2015-08-17,0.011277672681937911
2015-08-18,-0.0017057020201916018
2015-08-19,0.0006570654961164379
2015-08-20,-0.005516094912865532
2015-08-21,-0.004225829451193208
2015-08-24,-0.040318541454498535
2015-08-25,-0.0294363062442784
2015-08-26,0.014917800021982508
2015-08-27,0.008354811453293198
2015-08-28,-0.002528009057090941
2015-08-31,-0.01802050079513251
2015-09-01,-0.02795699371664684
