Date,CVX
2015-01-05,-0.03997143121331259
2015-01-06,-0.00046264806066431685
2015-01-07,-0.0008330190544386662
2015-01-08,0.02288305928644485
2015-01-09,-0.019925410029180135
2015-01-12,-0.02153256228788991
2015-01-13,-0.01586690984514605
2015-01-14,-0.002879366100806635
2015-01-15,-0.011838051721213216
2015-01-16,0.023862894207008267
2015-01-20,0.012842097283414233
2015-01-21,0.015873388695679447
2015-01-22,0.00702662799626208
2015-01-23,-0.0190048586244429
2015-01-26,0.018998459908172283
2015-01-27,-0.005694069536574142
2015-01-28,-0.042028424719344315
2015-01-29,-0.006846215020300361
2015-01-30,-0.0045631949822860784
2015-02-02,0.03442922125041803
2015-02-03,0.03271696500572441
2015-02-04,-0.010773363152102644
2015-02-05,0.008860621244000999
2015-02-06,0.002744324034930301
2015-02-09,0.007481125255904164
2015-02-10,-0.0022643383717697585
2015-02-11,-0.0018146695672420776
2015-02-12,0.01790486900073085
2015-02-13,0.01731876523596454
2015-02-17,-0.0033693384319223307
2015-02-18,-0.017437584327162692
2015-02-19,-0.01892464346040812
2015-02-20,0.002307335717839143
2015-02-23,-0.006813768982780077
2015-02-24,0.0009267314228853518
2015-02-25,0.005742917359434552
2015-02-26,-0.01399856804925248
2015-02-27,-0.0035493551838736703
2015-03-02,-0.007311925507037742
2015-03-03,-0.006987379751614009
2015-03-04,0.0
2015-03-05,-0.004089309722085099
2015-03-06,-0.011266802197900438
2015-03-09,0.0038628187843894324
2015-03-10,-0.010004933333880417
2015-03-11,0.006122024377334334
2015-03-12,-0.010817005917579614
2015-03-13,-0.007810758334801604
2015-03-16,0.01485903297586888
2015-03-17,0.0003876482001818893
2015-03-18,0.03421558991457818
2015-03-19,-0.018275831970951395
2015-03-20,0.021766221702492095
2015-03-23,-0.01037085386981007
2015-03-24,-0.01623875518612783
2015-03-25,0.014107233624476523
2015-03-26,-0.003974600056289801
2015-03-27,-0.009216020743279874
2015-03-30,0.025125042311393342
2015-03-31,-0.017960878045990558
2015-04-01,-0.0018095012359056195
2015-04-02,0.00467544291705857
2015-04-06,0.01557767244176489
2015-04-07,0.015151777090101737
2015-04-08,-0.017320950111960776
2015-04-09,0.0027190461875696847
2015-04-10,-0.0003740238652929495
2015-04-13,-0.0038351790677513264
2015-04-14,0.021971851482313065
2015-04-15,0.014424861161446145
2015-04-16,-0.0022643928728073304
2015-04-17,-0.009531281411102488
2015-04-20,0.01081429702996961
2015-04-21,-0.0050774378840832135
2015-04-22,-0.0020959357635101927
2015-04-23,0.004292328951226887
2015-04-24,-0.0009092733926177043
2015-04-27,-0.0015473549052811286
2015-04-28,0.012943806874949448
2015-04-29,0.005490138873738282
2015-04-30,-0.005996771434213288
2015-05-01,-0.018188467823681775
2015-05-04,-0.006603063978164347
2015-05-05,-0.002954019572334987
2015-05-06,-0.0004630942109822289
2015-05-07,-0.003520312428825667
2015-05-08,0.010040003379419238
2015-05-11,-0.011872669685399573
2015-05-12,0.0018627570327134357
2015-05-13,0.0013016597594022183
2015-05-14,0.006963892342523925
2015-05-15,0.006053259373816955
2015-05-18,-0.012773997495047595
2015-05-19,-0.015283700605487005
2015-05-20,0.002189776863279258
2015-05-21,0.002279962800958879
2015-05-22,-0.005687497059773117
2015-05-26,-0.015254046384139297
2015-05-27,-0.001742590469431704
2015-05-28,0.0012609241406555949
2015-05-29,-0.0023248060142678773
2015-06-01,-0.0035922662737476463
2015-06-02,-0.0004869752413099171
2015-06-03,-0.003997201158605024
2015-06-04,-0.007634347755592463
2015-06-05,0.0019727654459527066
2015-06-08,-0.01151707218376874
2015-06-09,0.0
2015-06-10,0.014040885317757379
2015-06-11,-0.006972026407406906
2015-06-12,-0.012361513653691314
2015-06-15,-0.005807726758784715
2015-06-16,0.0075536565071356865
2015-06-17,-0.0027989540189096163
2015-06-18,0.004911653160257545
2015-06-19,-0.007780445480942588
2015-06-22,0.008243765898986233
2015-06-23,-0.0019942859636216115
2015-06-24,-0.008192466044453561
2015-06-25,-0.009368571604832399
2015-06-26,0.0026440521055903776
2015-06-29,-0.01937140343485466
2015-06-30,-0.0022752343804458564
2015-07-01,-0.003939039382732212
2015-07-02,-0.0022892579349037545
2015-07-06,-0.011473960608085698
2015-07-07,0.005275804135361328
2015-07-08,-0.017948944976887593
2015-07-09,0.002351350720985579
2015-07-10,0.006717933548628263
2015-07-13,0.002012307465569352
2015-07-14,0.010042633258853018
2015-07-15,-0.01371058473176845
2015-07-16,0.0025470149556132693
2015-07-17,-0.014076957769312948
2015-07-20,-0.0022545818510127935
2015-07-21,0.010329489762628041
2015-07-22,-0.004153422891241099
2015-07-23,-0.0060957777268400015
2015-07-24,-0.02517713327578419
2015-07-27,-0.016114967745461062
2015-07-28,0.03657157778300868
2015-07-29,0.009199135057964991
2015-07-30,-0.0023597335549305765
2015-07-31,-0.04890846308873875
2015-08-03,-0.03254989923127505
2015-08-04,-0.004556082299628783
2015-08-05,-0.01384804286024266
2015-08-06,0.01380459726946115
2015-08-07,-0.016903206899439027
2015-08-10,0.025552054715459738
2015-08-11,-0.0012808342018382213
2015-08-12,0.011774455856851773
2015-08-13,-0.0108306291793685
2015-08-14,0.0016306572583926204
2015-08-17,-0.019900855907074022
2015-08-18,0.0025231532072047536
2015-08-19,-0.030321327507841667
2015-08-20,-0.020640294468582954
2015-08-21,-0.043917367123402884
2015-08-24,-0.048046360532711496
2015-08-25,-0.02911818582345238
2015-08-26,0.04384463371301961
2015-08-27,0.06225198043140079
2015-08-28,0.03593519000881784
2015-08-31,0.006962549323879852
