Date,AFL
2015-01-05,-0.02619517562046303
2015-01-06,-0.00891032611266962
2015-01-07,0.006276450235678244
2015-01-08,0.009777466096013931
2015-01-09,-0.02120207197666113
2015-01-12,-0.005799089605287744
2015-01-13,-0.0049752446816870854
2015-01-14,-0.00775872776711195
2015-01-15,-0.003301311237962845
2015-01-16,0.0142956434664967
2015-01-20,-0.002922014039564158
2015-01-21,0.001551680572481784
2015-01-22,0.018072254142684985
2015-01-23,-0.007100512010328686
2015-01-26,0.0049376366293771845
2015-01-27,-0.00864136259699444
2015-01-28,-0.019654514435493597
2015-01-29,0.005055995899026389
2015-01-30,-0.009887599547718895
2015-02-02,0.01909614315646735
2015-02-03,0.015815460797762082
2015-02-04,0.02690840571907782
2015-02-05,0.004943982368199595
2015-02-06,0.004919820173750811
2015-02-09,-0.0022847025082850525
2015-02-10,0.005070082860929803
2015-02-11,0.006184056561426843
2015-02-12,0.005859271418600098
2015-02-13,0.005340072657850525
2015-02-17,0.0035404079288856583
2015-02-18,-0.009622877067942404
2015-02-19,0.0004859330264579409
2015-02-20,0.005665494250236991
2015-02-23,-0.01126668484749238
2015-02-24,0.01025529338408937
2015-02-25,-0.0017722011192411458
2015-02-26,0.003712646659473684
2015-02-27,0.0011254809593101989
2015-03-02,0.005140767193214657
2015-03-03,-0.004634832541404066
2015-03-04,0.0011235177694315368
2015-03-05,0.007217528298610887
2015-03-06,-0.010191024993403963
2015-03-09,0.0022523126927929127
2015-03-10,-0.020064218551344215
2015-03-11,0.007207195437561875
2015-03-12,0.018865033998583636
2015-03-13,-0.008300001389504819
2015-03-16,0.013358993137103647
2015-03-17,-0.0012705825646935898
2015-03-18,0.011768285453333638
2015-03-19,-0.008330772511913498
2015-03-20,0.012680571650178551
2015-03-23,-0.00046965649841312906
2015-03-24,-0.004071710416141405
2015-03-25,-0.003930759598933298
2015-03-26,0.002368069938938566
2015-03-27,0.0007872365210348509
2015-03-30,0.01022816721926545
2015-03-31,-0.002959624046691589
2015-04-01,-0.006873991361905807
2015-04-02,0.00015751879515191192
2015-04-06,0.006133928021653023
2015-04-07,-0.002813883569095732
2015-04-08,0.007054597751537051
2015-04-09,0.004514268700204882
2015-04-10,-0.0001549492921658624
2015-04-13,-0.002324674953668171
2015-04-14,0.0029513537363363707
2015-04-15,0.00247848892777891
2015-04-16,-0.0037082412390931907
2015-04-17,-0.0077543012345895335
2015-04-20,0.007345904449805429
2015-04-21,-0.00915426156169219
2015-04-22,0.003288378703643069
2015-04-23,0.001560769472557455
2015-04-24,0.0003117129258096707
2015-04-27,-0.0026484690519985588
2015-04-28,0.006248182067001062
2015-04-29,-0.008692957397721912
2015-04-30,-0.012840669522433457
2015-05-01,0.0011102814515648873
2015-05-04,0.006496635437001741
2015-05-05,0.0033061338958961795
2015-05-06,-0.0029814506760689197
2015-05-07,0.0033050168274120217
2015-05-08,0.007372637691507755
2015-05-11,-0.0051383880517805736
2015-05-12,-0.00813921562493125
2015-05-13,0.003629300676406322
2015-05-14,0.0026729624071648583
2015-05-15,-0.0015678835463437402
2015-05-18,0.010271828140832717
2015-05-19,0.005005481041433502
2015-05-20,0.007159565554222036
2015-05-21,-0.028125671316346246
2015-05-22,-0.0028621202762237896
2015-05-26,-0.015467902072229589
2015-05-27,0.011661724499430814
2015-05-28,0.001600944594455589
2015-05-29,-0.005434727601875244
2015-06-01,-0.0019285749853741319
2015-06-02,0.002576453987662264
2015-06-03,0.0040155289270011885
2015-06-04,-0.006399274027259705
2015-06-05,-0.004829977252063911
2015-06-08,-0.0030739233643825026
2015-06-09,0.0008114627327602264
2015-06-10,0.013783132877621007
2015-06-11,0.007517403071067408
2015-06-12,-0.006667652955159253
2015-06-15,-0.008310616294360584
2015-06-16,0.006446324987164687
2015-06-17,0.0003201163564132692
2015-06-18,0.009924996351872384
2015-06-19,-0.008400858886577822
2015-06-22,0.004316058514451715
2015-06-23,0.00031825716009370453
2015-06-24,-0.005886922454170218
2015-06-25,0.013764348322606201
2015-06-26,0.00552576242121372
2015-06-29,-0.0353275684746458
2015-06-30,0.012369897686648645
2015-07-01,0.0036978438957522286
2015-07-02,-0.0075286273031796025
2015-07-06,-0.006132729538553372
2015-07-07,0.0030852467483131196
2015-07-08,-0.021207677820078596
2015-07-09,0.0033078865557278903
2015-07-10,0.017309366844600715
2015-07-13,-0.004699150949307618
2015-07-14,-0.00016274231823598662
2015-07-15,0.006187812063734643
2015-07-16,0.006959066953259541
2015-07-17,-0.010125445933442001
2015-07-20,-0.0004868794082735217
2015-07-21,0.0038985029331028986
2015-07-22,0.001294402401785133
2015-07-23,-0.00032290888571984144
2015-07-24,0.0009697427903947453
2015-07-27,-0.006298353323211492
2015-07-28,0.013001607860006592
2015-07-29,0.035456315913629854
2015-07-30,-0.007746897631190741
2015-07-31,0.0001563106401882841
2015-08-03,-0.0003124969578522929
2015-08-04,-0.001561614434701153
2015-08-05,0.002659206694196836
2015-08-06,-0.006552491529537741
2015-08-07,0.005653378850615676
2015-08-10,0.013741146862714881
2015-08-11,-0.01047440020406043
2015-08-12,-0.0020235304067157678
2015-08-13,0.0009359351838873486
2015-08-14,0.00919422968385497
2015-08-17,0.0024858531549385443
2015-08-18,0.0007751168650047546
2015-08-19,-0.023691903263325043
2015-08-20,-0.028548930164730035
2015-08-21,-0.03346932513220058
2015-08-24,-0.04915536408768817
2015-08-25,-0.01883118523616778
2015-08-26,0.030599136274504835
2015-08-27,0.030042684799709063
2015-08-28,0.0006820188511877934
2015-08-31,-0.0011931903885078476
