Date,PKG
2015-01-05,-0.009196838550379782
2015-01-06,-0.00915266248686264
2015-01-07,-0.0010410117053182288
2015-01-08,0.02526688549330003
2015-01-09,-0.002032430686390696
2015-01-12,0.00381845186695684
2015-01-13,-0.0006333348472812306
2015-01-14,-0.00012737180994082387
2015-01-15,0.0029190931805935794
2015-01-16,0.016955048412658602
2015-01-20,0.010700708155219507
2015-01-21,0.00800209223901538
2015-01-22,0.007938247332349713
2015-01-23,-0.029928565305797017
2015-01-26,0.018736448705714448
2015-01-27,-0.0641244886069835
2015-01-28,0.0034061619899599105
2015-01-29,-0.0020893629275365866
2015-01-30,-0.007588291184077112
2015-02-02,-0.006724403958536795
2015-02-03,0.007035292393958059
2015-02-04,0.007380787920851173
2015-02-05,0.014784760221837612
2015-02-06,0.002707723384985039
2015-02-09,-0.003600436337359847
2015-02-10,0.018582965195145462
2015-02-11,0.0035473901429246
2015-02-12,0.02297676059308218
2015-02-13,0.022954406353576484
2015-02-17,-0.008082781244424964
2015-02-18,0.0171494308010971
2015-02-19,-0.006935612845435202
2015-02-20,0.007465825480047927
2015-02-23,0.00681207248920801
2015-02-24,-0.016025905008462793
2015-02-25,-0.009530577445662436
2015-02-26,0.007430393990934592
2015-02-27,0.001813271238559011
2015-03-02,0.0024136349615526687
2015-03-03,-0.018660709805117137
2015-03-04,-0.014968090485657615
2015-03-05,-0.015070188565838749
2015-03-06,-0.015806800445583913
2015-03-09,0.00513931425708769
2015-03-10,-0.005113036754398781
2015-03-11,0.003623362212358927
2015-03-12,0.02604429996617319
2015-03-13,-0.01394813724729227
2015-03-16,-0.00254894218799806
2015-03-17,-0.0037053413007349656
2015-03-18,0.02154449007677406
2015-03-19,-0.007783360595448707
2015-03-20,0.023026597958869077
2015-03-23,-0.02374514148286122
2015-03-24,-0.0024067130300325923
2015-03-25,-0.026285962234367855
2015-03-26,0.0086072791819507
2015-03-27,0.005818563671927235
2015-03-30,0.01362650642271368
2015-03-31,-0.008370135730255468
2015-04-01,-0.017905425556667298
2015-04-02,-0.0071623554813100565
2015-04-06,0.0131166072880331
2015-04-07,-0.00919217196237776
2015-04-08,0.0236509631755375
2015-04-09,-0.0007660379319524013
2015-04-10,0.006004145833605978
2015-04-13,-0.0031747670819601836
2015-04-14,-0.020382095320755744
2015-04-15,-0.0036407262358723047
2015-04-16,0.007047275122835872
2015-04-17,-0.005183560717066493
2015-04-20,0.003386582638251978
2015-04-21,-0.10386898708366432
2015-04-22,0.024051161091704465
2015-04-23,-0.009054583276353112
2015-04-24,-0.0005712354765514682
2015-04-27,-0.009428952766995069
2015-04-28,-0.0147100770506422
2015-04-29,0.0030741276171637466
2015-04-30,0.009630600994720684
2015-05-01,0.009827976593628884
2015-05-04,0.004293761447395017
2015-05-05,-0.030640122805604464
2015-05-06,0.014701633231128941
2015-05-07,0.002608135118604915
2015-05-08,0.010404575287200846
2015-05-11,-0.004147618205557202
2015-05-12,-0.010484215060071245
2015-05-13,0.010595298447621637
2015-05-14,0.01522333355386385
2015-05-15,-0.0021219034214359223
2015-05-18,0.002410266763460678
2015-05-19,-0.0046672480046012765
2015-05-20,0.007672321384377678
2015-05-21,0.0007054229443834714
2015-05-22,-0.004931402717106792
2015-05-26,-0.0076473489057935495
2015-05-27,0.007706281529415104
2015-05-28,-0.0016996317427744323
2015-05-29,-0.018723354481720245
2015-06-01,-0.01358772239288819
2015-06-02,-0.00043978469750405313
2015-06-03,0.004251674234413638
2015-06-04,-0.004817448472284824
2015-06-05,0.005281081181264025
2015-06-08,-0.010652422668781525
2015-06-09,-0.010029617378985
2015-06-10,0.00908794221296394
2015-06-11,0.013099440057280143
2015-06-12,-0.005877253355667467
2015-06-15,-0.01271038389315271
2015-06-16,0.005089774569007499
2015-06-17,0.012957916114898715
2015-06-18,0.007351834955885428
2015-06-19,0.010071355833094042
2015-06-22,-0.03294771280797726
2015-06-23,-0.0017931426396881056
2015-06-24,-0.013622811318574124
2015-06-25,-0.0109271961954166
2015-06-26,-0.02086870465069035
2015-06-29,-0.019432628446844458
2015-06-30,-0.0012783723871564456
2015-07-01,0.022083410187499375
2015-07-02,-0.0006264184850135468
2015-07-06,-0.006109913812257561
2015-07-07,0.011034107581370245
2015-07-08,-0.02323043590897711
2015-07-09,-0.0035114052140379215
2015-07-10,0.00880948787535818
2015-07-13,0.014449341039561192
2015-07-14,0.00892144864811284
2015-07-15,-0.0079120928355213
2015-07-16,0.032681567016534574
2015-07-17,-0.008479196255284593
2015-07-20,0.009773897979180601
2015-07-21,-0.009679293551497659
2015-07-22,0.08262061881506466
2015-07-23,-0.017068940469025518
2015-07-24,-0.003156844931362923
2015-07-27,-0.004319372835617452
2015-07-28,0.00983233518109694
2015-07-29,0.013888923759047822
2015-07-30,-0.0011299751864295438
2015-07-31,0.0008486406183068063
2015-08-03,-0.010594678299238991
2015-08-04,0.003997618452603824
2015-08-05,0.005546234215142443
2015-08-06,-0.001414703213178492
2015-08-07,0.009063947647923953
2015-08-10,0.01670171614827365
2015-08-11,0.00027636872286329606
2015-08-12,-0.00883231672642093
2015-08-13,0.004037630553034521
2015-08-14,0.01511578858836482
2015-08-17,0.0023225597728364633
2015-08-18,-0.006269721598438083
2015-08-19,-0.006583441732289641
2015-08-20,-0.017672520719119067
2015-08-21,-0.01728737110506473
2015-08-24,-0.0503429314405599
2015-08-25,-0.039006243906924865
2015-08-26,0.010656623553631395
2015-08-27,0.02806657320471939
2015-08-28,0.017797613403546686
2015-08-31,-0.005483127794058462
2015-09-01,-0.031142770196435188
