Date,MSCI
2015-01-05,-0.009435733767631516
2015-01-06,0.02900083574877077
2015-01-07,0.022834790243275283
2015-01-08,0.030169112090709937
2015-01-09,0.014642837681937415
2015-01-12,-0.0005774024451387083
2015-01-13,0.040623743928929645
2015-01-14,-0.006475438918843612
2015-01-15,-0.014897823928764264
2015-01-16,0.021928447140674878
2015-01-20,-0.006659293582288783
2015-01-21,-0.0024210189499676016
2015-01-22,0.014933819559262762
2015-01-23,-0.002758787059588097
2015-01-26,0.006086042894969168
2015-01-27,-0.004949274837461437
2015-01-28,-0.007185211665641789
2015-01-29,0.011319315017013443
2015-01-30,-0.012476749781900942
2015-02-02,0.010033284677849474
2015-02-03,0.008646025820508108
2015-02-04,0.005471518444543966
2015-02-05,0.006711352072588328
2015-02-06,0.009549633210723218
2015-02-09,0.01570575588414802
2015-02-10,0.0012303495345025173
2015-02-11,-0.007020383889868698
2015-02-12,0.010958043897089542
2015-02-13,0.0
2015-02-17,0.002622369445238748
2015-02-18,0.002623870451126775
2015-02-19,0.00837414406526471
2015-02-20,0.003979173752602705
2015-02-23,-0.0072377065798088225
2015-02-24,0.0006940485742152891
2015-02-25,-0.007285194390529104
2015-02-26,-0.007688061032055882
2015-02-27,-0.011974149134797885
2015-03-02,0.02602057345892983
2015-03-03,-0.004342632978542094
2015-03-04,-0.009420930684948092
2015-03-05,-0.024304016461758948
2015-03-06,0.0009022075006386299
2015-03-09,0.003787117965596387
2015-03-10,-0.01688830281691489
2015-03-11,0.02028535373503826
2015-03-12,0.02418047465766837
2015-03-13,-0.007695156200185571
2015-03-16,0.02044430104955275
2015-03-17,0.008808077264508052
2015-03-18,0.004965163928288163
2015-03-19,-0.0013629758220636834
2015-03-20,0.01825316271220423
2015-03-23,0.0082092215516123
2015-03-24,-0.006646926792617469
2015-03-25,-0.007694829145055038
2015-03-26,0.008428684070269865
2015-03-27,-0.004011730305691352
2015-03-30,0.022490659033077343
2015-03-31,0.006401927127513973
2015-04-01,-0.004403877762167774
2015-04-02,0.007699647070962934
2015-04-06,0.009917214902011473
2015-04-07,-0.013522349933686506
2015-04-08,0.008975364490352078
2015-04-09,-0.01746701835311304
2015-04-10,-0.002469455797436626
2015-04-13,-0.004620391025280335
2015-04-14,0.012433532896175992
2015-04-15,-0.001145806336928179
2015-04-16,0.0032785071005290156
2015-04-17,-0.005065616997379729
2015-04-20,0.0008212830250351466
2015-04-21,-0.0011484605684701776
2015-04-22,0.011992536693480327
2015-04-23,0.010551817939108865
2015-04-24,0.007871485866690398
2015-04-27,0.0035067097672252245
2015-04-28,-0.0004765413360467985
2015-04-29,-0.005244047038630684
2015-04-30,-0.022523864060625565
2015-05-01,0.01895743355685897
2015-05-04,0.001122488926363685
2015-05-05,-0.00608743108357368
2015-05-06,-0.009349088869134659
2015-05-07,0.002277973601223504
2015-05-08,0.008117060124323894
2015-05-11,-0.004347922886590916
2015-05-12,-0.007601476442607558
2015-05-13,0.010624383792207759
2015-05-14,0.011806591388470178
2015-05-15,-0.0012786641880037086
2015-05-18,0.016965200470553832
2015-05-19,0.0009443579450749695
2015-05-20,-0.0073899895631934776
2015-05-21,-0.00190098218760959
2015-05-22,0.006507089051018822
2015-05-26,-0.0034688619890588246
2015-05-27,-0.008069719989441282
2015-05-28,-0.0006379045619032686
2015-05-29,-0.009577256841867943
2015-06-01,0.0016117931751056247
2015-06-02,0.0004826366171404306
2015-06-03,0.004824859026900441
2015-06-04,-0.007682692847888917
2015-06-05,-0.0032257055068465323
2015-06-08,-0.006796212957231429
2015-06-09,0.0008148320364644857
2015-06-10,0.004720792800075868
2015-06-11,0.004536405123326537
2015-06-12,-0.0017740865602169364
2015-06-15,-0.010825748166835014
2015-06-16,0.007840676987696193
2015-06-17,0.0012966936243414828
2015-06-18,0.0029134380262889614
2015-06-19,-0.0014527619575781525
2015-06-22,0.0021013035151240533
2015-06-23,0.01983886089533593
2015-06-24,-0.0020560391971037317
2015-06-25,0.003486588454650663
2015-06-26,0.006790975370594143
2015-06-29,-0.03074513011672453
2015-06-30,-0.0038843456415535993
2015-07-01,0.010723310914010131
2015-07-02,-0.0030542287872262763
2015-07-06,0.0014510132944951515
2015-07-07,0.012880174705047542
2015-07-08,-0.01939261798618197
2015-07-09,0.0087536873720917
2015-07-10,0.02506791298932831
2015-07-13,0.0054867988202000895
2015-07-14,0.005768898455884575
2015-07-15,0.004650196172112819
2015-07-16,0.022064478543729615
2015-07-17,-0.00332105579822084
2015-07-20,0.005149889097902038
2015-07-21,-0.0009043551319573018
2015-07-22,0.002865880783774477
2015-07-23,0.0009025870236589739
2015-07-24,0.005108683636964262
2015-07-27,-0.017341553002503507
2015-07-28,0.004107340677994342
2015-07-29,0.013788044005548006
2015-07-30,0.01584234584001787
2015-07-31,0.0027949026344284977
2015-08-03,-0.009096054427136235
2015-08-04,-0.00858751804670832
2015-08-05,0.009558090420324517
2015-08-06,-0.016124366589271633
2015-08-07,-0.0043600298694926876
2015-08-10,0.008607447760184295
2015-08-11,-0.01856570839299132
2015-08-12,-0.024408863060613073
2015-08-13,-0.005178000546761541
2015-08-14,0.010725570025384323
2015-08-17,0.005774020625869403
2015-08-18,-0.00046565397344022763
2015-08-19,-0.0021730330644603724
2015-08-20,-0.023957794292691292
2015-08-21,-0.022154806899908452
2015-08-24,-0.051670905264927236
2015-08-25,-0.0068749614652630076
2015-08-26,0.040844490796688726
2015-08-27,0.025107937721496443
2015-08-28,0.008272555180400376
2015-08-31,-0.026383479723288694
2015-09-01,-0.03238586946697963
