Date,PSA
2015-01-05,0.004699997056343719
2015-01-06,0.017064300699603185
2015-01-07,0.020489523761725525
2015-01-08,0.01362428139586136
2015-01-09,0.003031711556980232
2015-01-12,-0.0017630087266103933
2015-01-13,0.00388614009672672
2015-01-14,-0.0005032125884251171
2015-01-15,0.0031186533669285144
2015-01-16,0.014089528832688991
2015-01-20,0.00163140214584101
2015-01-21,-0.007749830739705699
2015-01-22,0.02094436857309545
2015-01-23,-0.012036105748889026
2015-01-26,0.008088633053453087
2015-01-27,0.0013701215069048533
2015-01-28,-0.009332294421191878
2015-01-29,0.007052948482383581
2015-01-30,-0.016406492699596154
2015-02-02,0.004531374746733929
2015-02-03,0.006344136342364415
2015-02-04,-0.0018219841771137668
2015-02-05,0.020230724956266988
2015-02-06,-0.01107584186317978
2015-02-09,-0.00914551215932824
2015-02-10,0.005330733872884297
2015-02-11,-0.004173071883835311
2015-02-12,0.004732654400194658
2015-02-13,-0.005790232138931373
2015-02-17,0.002566720248869947
2015-02-18,0.00014756422569339733
2015-02-19,-0.021510178229704913
2015-02-20,0.006992291936229078
2015-02-23,0.004146438659095253
2015-02-24,-0.012487135787597636
2015-02-25,-0.0011083022575770762
2015-02-26,-0.007666056770820551
2015-02-27,0.002337884324749462
2015-03-02,0.0016734756434462206
2015-03-03,-0.0031891632483388443
2015-03-04,-0.00883573058894438
2015-03-05,0.0021515726264074164
2015-03-06,-0.038088181727968795
2015-03-09,-0.001009469255218054
2015-03-10,-0.006969730553658682
2015-03-11,-0.004232270117325743
2015-03-12,0.0204375764958038
2015-03-13,0.0031878595751664296
2015-03-16,0.010273991989611764
2015-03-17,-0.0030405584035849698
2015-03-18,0.018612780149875663
2015-03-19,0.0026329228648811487
2015-03-20,0.025123364569805684
2015-03-23,0.012254167638027669
2015-03-24,-0.010816183777744182
2015-03-25,-0.01278927733482027
2015-03-26,-0.0012702483749822413
2015-03-27,0.00457827059822602
2015-03-30,0.008659197255813211
2015-03-31,-0.010291988663592044
2015-04-01,-0.006036221250046103
2015-04-02,0.006940614953086399
2015-04-06,0.01044054187766763
2015-04-07,-0.01163669500339437
2015-04-08,-0.0002534659682117413
2015-04-09,-0.014568752122132267
2015-04-10,-0.002266299837888841
2015-04-13,-0.011565313219404794
2015-04-14,0.003238547326021468
2015-04-15,-0.005830958336629166
2015-04-16,0.003456300512572952
2015-04-17,-0.008037200137690381
2015-04-20,0.00799737800301048
2015-04-21,0.00026068923812849754
2015-04-22,0.006105255637329998
2015-04-23,0.0011929277890010415
2015-04-24,0.0029005929255412344
2015-04-27,-0.0021688885380196643
2015-04-28,-0.0034682045536638118
2015-04-29,-0.020467024106261222
2015-04-30,-0.0034996834834442048
2015-05-01,0.01181393967903377
2015-05-04,0.005364892797543153
2015-05-05,-0.018833002656322928
2015-05-06,-0.0010134372907936173
2015-05-07,0.023751078332278075
2015-05-08,0.024607357282758535
2015-05-11,-0.012058761581387412
2015-05-12,0.01045518120330513
2015-05-13,-0.015087512581042128
2015-05-14,0.021476759219240193
2015-05-15,0.01362890572021791
2015-05-18,-0.0029489568211606976
2015-05-19,-0.01168032896695359
2015-05-20,-0.005072399566050212
2015-05-21,-0.006627308951493549
2015-05-22,0.0012312132878589122
2015-05-26,-0.006407073592045065
2015-05-27,0.01207169189190016
2015-05-28,-0.0033642748306124126
2015-05-29,-0.010127126796666719
2015-06-01,0.014364675943689287
2015-06-02,-0.005909085853783358
2015-06-03,-0.010965079422794122
2015-06-04,-0.006890666651584221
2015-06-05,-0.018206339703125907
2015-06-08,-0.00669529102376365
2015-06-09,-0.0053492549123904665
2015-06-10,0.006937702081053709
2015-06-11,0.007222319402535371
2015-06-12,-0.0008023807298371821
2015-06-15,-0.005998185619611185
2015-06-16,0.010991013909451786
2015-06-17,0.0065553924869869995
2015-06-18,0.019007688191363004
2015-06-19,-0.007482074708329733
2015-06-22,-0.014030142114247357
2015-06-23,-0.008813660204045837
2015-06-24,-0.009213467370159378
2015-06-25,-0.007245123878525606
2015-06-26,0.009966405725626348
2015-06-29,-0.013318899072445212
2015-06-30,0.007596463839339318
2015-07-01,0.014644495569148264
2015-07-02,0.0009086252170362741
2015-07-06,0.006088473342662493
2015-07-07,0.022826253798942098
2015-07-08,0.0031139129283415112
2015-07-09,0.0023280100242606405
2015-07-10,0.012388728238466484
2015-07-13,0.0029060775055123056
2015-07-14,0.004982388342826827
2015-07-15,0.005412469657893881
2015-07-16,0.007245171369343328
2015-07-17,-0.008941194430365673
2015-07-20,0.008770019628149939
2015-07-21,0.0034477139878184015
2015-07-22,0.0032865020445531634
2015-07-23,-0.001935286143163295
2015-07-24,0.004126985407786554
2015-07-27,0.004902451538276065
2015-07-28,0.0024148885883714666
2015-07-29,-0.002359876841884434
2015-07-30,0.0004434610978110154
2015-07-31,0.010639458757693676
2015-08-03,0.001657182381340494
2015-08-04,-0.0006812080235163442
2015-08-05,0.0012173975258320535
2015-08-06,0.009044960223481446
2015-08-07,0.006362025446798425
2015-08-10,-0.006513169781482642
2015-08-11,0.007953846332684034
2015-08-12,0.00683869332229059
2015-08-13,0.009594716675493054
2015-08-14,0.005551574013370031
2015-08-17,0.0075798955983608085
2015-08-18,0.006965274306013125
2015-08-19,4.6145144771969626e-05
2015-08-20,-0.007147386819185253
2015-08-21,-0.013004261063293776
2015-08-24,-0.048468658370211526
2015-08-25,-0.025962902178668035
2015-08-26,0.0316813284389561
2015-08-27,0.023671184780380772
2015-08-28,-0.00889347559340492
2015-08-31,-0.023719506942449398
2015-09-01,-0.011278629078402824
