Date,IT
2015-01-05,-0.01794258405954796
2015-01-06,-0.009135201144204741
2015-01-07,0.015365704037445749
2015-01-08,0.010048448503479523
2015-01-09,-0.0038355470892209587
2015-01-12,-0.004211267856464196
2015-01-13,0.006283187888401098
2015-01-14,-0.009125866322891918
2015-01-15,-0.007270946419403512
2015-01-16,0.02441406304569682
2015-01-20,0.0029790277103760587
2015-01-21,0.002019700280901704
2015-01-22,0.01873371946478075
2015-01-23,-0.003724391313358777
2015-01-26,0.00046730042336906585
2015-01-27,-0.014128901133772187
2015-01-28,0.0015397045238432217
2015-01-29,0.016201546666705147
2015-01-30,-0.01989990781333284
2015-02-02,-0.013417298342839779
2015-02-03,0.018413846144240242
2015-02-04,0.008508550791056058
2015-02-05,-0.07370510377371653
2015-02-06,-0.004807145707049432
2015-02-09,-0.009533494565353351
2015-02-10,0.0020534351369265735
2015-02-11,0.004738666861049401
2015-02-12,0.018355672369959386
2015-02-13,0.020528218828111955
2015-02-17,-0.008463172473166525
2015-02-18,0.02238997117742203
2015-02-19,0.008106450775267504
2015-02-20,0.01116178958931946
2015-02-23,-0.0030860787683141266
2015-02-24,0.009286805561800504
2015-02-25,-0.00483657011856653
2015-02-26,-0.009009034266616811
2015-02-27,-0.005861218573122495
2015-03-02,-0.006497424035153743
2015-03-03,-0.004723257733921016
2015-03-04,-0.012168410760361348
2015-03-05,0.005666409001520156
2015-03-06,-0.007961802189348388
2015-03-09,0.0025929014694614505
2015-03-10,-0.01637923955228604
2015-03-11,0.0006259599429576657
2015-03-12,0.006506560114799775
2015-03-13,-0.0011188956309482467
2015-03-16,0.013690087056758005
2015-03-17,0.0024555504620069613
2015-03-18,-0.0006124072360483845
2015-03-19,0.0015931971230824793
2015-03-20,0.015905975394200134
2015-03-23,0.009032879814843575
2015-03-24,-0.007758433222125216
2015-03-25,-0.019968676621682335
2015-03-26,0.0013501977255845343
2015-03-27,0.010296596212760356
2015-03-30,0.021596685499170043
2015-03-31,-0.004156751624780242
2015-04-01,-0.005247403935821349
2015-04-02,-0.0011989701369723438
2015-04-06,0.004201249715191313
2015-04-07,0.000478045474326505
2015-04-08,0.007407440492087858
2015-04-09,0.0015417131628139291
2015-04-10,0.0024867580989480498
2015-04-13,-0.008032131771335216
2015-04-14,-0.00011910140307991313
2015-04-15,0.0020245107356673397
2015-04-16,0.0030901133600726993
2015-04-17,-0.015165862039758338
2015-04-20,0.008902765150593739
2015-04-21,-0.0035774272546424957
2015-04-22,-0.008137868897123313
2015-04-23,0.016529956466975193
2015-04-24,-0.009258145748330837
2015-04-27,-0.004193104935935721
2015-04-28,0.0019248800219924256
2015-04-29,-0.0016810685843002826
2015-04-30,-0.0019244170542388472
2015-05-01,0.013376632152959367
