Date,WFC
2015-01-05,-0.027422253326632284
2015-01-06,-0.02086478082794596
2015-01-07,0.005951435591105891
2015-01-08,0.02213718217975713
2015-01-09,-0.01642993088365352
2015-01-12,-0.011959278348504299
2015-01-13,-0.003842367090043486
2015-01-14,-0.011571959876763405
2015-01-15,-0.010341250954380765
2015-01-16,0.018138403688366056
2015-01-20,0.006971890836697581
2015-01-21,0.0019228819493373184
2015-01-22,0.032053724345150636
2015-01-23,-0.009485039558347896
2015-01-26,0.006008928201016728
2015-01-27,-0.011385807415841165
2015-01-28,-0.015291114976325293
2015-01-29,0.011502986648792346
2015-01-30,-0.01592113917098692
2015-02-02,0.017141991867685835
2015-02-03,0.012118602673454326
2015-02-04,-0.0013181262207521138
2015-02-05,0.012068913734230247
2015-02-06,0.014532959847054494
2015-02-09,-0.004407696246032988
2015-02-10,0.006641097568405696
2015-02-11,-0.012278185677576658
2015-02-12,0.017810977041371245
2015-02-13,0.00856721995485099
2015-02-17,0.0007228707351203401
2015-02-18,-0.015351036512576743
2015-02-19,0.0007335166157338424
2015-02-20,0.004948403295991444
2015-02-23,0.004924502689748866
2015-02-24,0.004900185506824251
2015-02-25,-0.0007223485704781485
2015-02-26,-0.0032534257476130035
2015-02-27,-0.0065274422116013975
2015-03-02,0.0138707477079687
2015-03-03,-0.0017996987820328991
2015-03-04,-0.011361748045085052
2015-03-05,0.0003649375727674542
2015-03-06,-0.004558891947698318
2015-03-09,0.0014657136255167291
2015-03-10,-0.02524268073375635
2015-03-11,0.007693953869229775
2015-03-12,0.03519574836036643
2015-03-13,-0.004497384354318457
2015-03-16,0.007047154202759032
2015-03-17,0.003229983391169311
2015-03-18,0.004650053970172152
2015-03-19,-0.011750047145054565
2015-03-20,0.009007552520299278
2015-03-23,-0.004106112924120775
2015-03-24,-0.007709244046014252
2015-03-25,-0.014633976731136755
2015-03-26,-0.0007334350245924437
2015-03-27,-0.006972372122987958
2015-03-30,0.012010244773031253
2015-03-31,-0.0067554115806203185
2015-04-01,-0.008455833121960965
2015-04-02,0.00797193832283516
2015-04-06,-0.005334216407337222
2015-04-07,-0.0011093217099978903
2015-04-08,-0.00037015305739152016
2015-04-09,0.0035183706251502578
2015-04-10,0.0023991536831833304
2015-04-13,0.00497036052852029
2015-04-14,-0.007327352466160897
2015-04-15,0.011441479886316275
2015-04-16,0.0
2015-04-17,-0.013866150513566988
2015-04-20,0.005735367827709004
2015-04-21,-0.0014718210548072541
2015-04-22,0.007185245235605153
2015-04-23,0.003475344791572299
2015-04-24,-0.002916720171662668
2015-04-27,0.004936019146427384
2015-04-28,0.008004583121831166
2015-04-29,0.0009023989439860269
2015-04-30,-0.006491322505595476
2015-05-01,0.0016336422272567042
2015-05-04,0.009784016843108478
2015-05-05,-0.00017980991993837847
2015-05-06,-0.007678613915503063
2015-05-07,-0.002002897526319103
2015-05-08,0.022623657051954016
2015-05-11,-0.009634466351014948
2015-05-12,-0.0007203361885538273
2015-05-13,0.002343557183051237
2015-05-14,0.007913788603407523
2015-05-15,-0.00927924188098006
2015-05-18,0.004142693275760667
2015-05-19,0.011659298621255143
2015-05-20,-0.005673819437670535
2015-05-21,-0.0012485438627771739
2015-05-22,-0.00017797854932999346
2015-05-26,-0.006071633816112865
2015-05-27,0.0073659600781690315
2015-05-28,0.0024967196021743465
2015-05-29,-0.0044472532634103334
2015-06-01,0.0014296305196124237
2015-06-02,0.0024982365495509473
2015-06-03,0.012993728139849337
2015-06-04,-0.013529939792984114
2015-06-05,0.008371720238534941
2015-06-08,-0.008655923373581675
2015-06-09,0.010335410227477082
2015-06-10,0.00899443328649463
2015-06-11,0.0008737970777119575
2015-06-12,-0.002968617434880416
2015-06-15,-0.0019265894118404292
2015-06-16,0.004211848757869063
2015-06-17,-0.0008739100714457715
2015-06-18,0.00927046722267888
2015-06-19,-0.01126509359706429
2015-06-22,0.01507458859509292
2015-06-23,-0.0003454164895440037
2015-06-24,-0.006045957580986361
2015-06-25,-0.006430283054590258
2015-06-26,0.004722727664582038
2015-06-29,-0.024025138456331585
2015-06-30,0.0032109768538504113
2015-07-01,0.01191320885156899
2015-07-02,-0.002987230232252558
2015-07-06,-0.005287282756135769
2015-07-07,-0.003366249872766125
2015-07-08,-0.017777710071139152
2015-07-09,0.0045246169557775495
2015-07-10,0.010450684990828352
2015-07-13,0.011768717127284
2015-07-14,0.008988541539789008
2015-07-15,0.009257688827332577
2015-07-16,0.006749414981082724
2015-07-17,-0.003953794671847866
2015-07-20,0.0018986758538681592
2015-07-21,-0.0017226549920003054
2015-07-22,0.009835780130782679
2015-07-23,-0.005297238256670833
2015-07-24,-0.00738683084556313
2015-07-27,-0.00328826878453492
2015-07-28,-0.0032994693467192082
2015-07-29,0.009756270354824625
2015-07-30,0.003278056929589823
2015-07-31,-0.004815087255962691
2015-08-03,0.0006911352009579819
2015-08-04,-0.0015540677497888344
2015-08-05,0.0035683699185302675
2015-08-06,-0.002081626279487603
2015-08-07,-0.0010425464191911038
2015-08-10,0.008178058448964354
2015-08-11,-0.012599306560375667
2015-08-12,-0.008564803094589513
2015-08-13,0.0029968928873906897
2015-08-14,0.007734477185169508
2015-08-17,0.0003487569919449207
2015-08-18,0.0033129586435316494
2015-08-19,-0.008342072238542442
2015-08-20,-0.01647391173761248
2015-08-21,-0.03831055057166277
2015-08-24,-0.05039831770077807
2015-08-25,-0.024000210743722827
2015-08-26,0.04558203737453326
2015-08-27,0.0330779632721363
2015-08-28,-0.009068430464675203
2015-08-31,-0.003922251981967051
