Date,ADI
2015-01-05,-0.018185190854017597
2015-01-06,-0.023472959532830906
2015-01-07,0.010516340063646101
2015-01-08,0.017654473448727837
2015-01-09,-0.0007300458815481248
2015-01-12,-0.010051616220280057
2015-01-13,-0.011445347413631013
2015-01-14,-0.0007468073432720379
2015-01-15,-0.014576683685512126
2015-01-16,0.018205604401088094
2015-01-20,0.013038275124745313
2015-01-21,0.003492875605946688
2015-01-22,0.003115012318023469
2015-01-23,-0.004383758608634825
2015-01-26,0.00275170628055621
2015-01-27,-0.02360041103778887
2015-01-28,-0.00824445283247488
2015-01-29,0.005668142395517828
2015-01-30,-0.021040852910248597
2015-02-02,0.0036461574141006814
2015-02-03,0.03193091023214545
2015-02-04,-0.00352041067768305
2015-02-05,0.02175530361341549
2015-02-06,0.001092059013119373
2015-02-09,-0.008180172011835185
2015-02-10,0.017961677745260696
2015-02-11,0.0014405252577642802
2015-02-12,0.019777089631271894
2015-02-13,0.005818095980361315
2015-02-17,0.03084999478100503
2015-02-18,-0.007311725840915773
2015-02-19,0.004625090419132949
2015-02-20,0.00818418746625027
2015-02-23,-0.0025371878468357645
2015-02-24,0.010681718923871486
2015-02-25,-0.0037154455766839067
2015-02-26,-0.0018648104621622474
2015-02-27,-0.005774364830666179
2015-03-02,0.021181754680426712
2015-03-03,-0.017397022235940085
2015-03-04,-0.005787967835145014
2015-03-05,0.0008561459497813395
2015-03-06,-0.008896720310291872
2015-03-09,0.009149005805813681
2015-03-10,-0.021552868247328494
2015-03-11,0.0015731784437009733
2015-03-12,0.003839963752399367
2015-03-13,0.0003477745906401708
2015-03-16,0.02207555880807255
2015-03-17,-0.0006801294168066185
2015-03-18,0.015486600658616512
2015-03-19,0.005530677752488167
2015-03-20,0.017833433641982532
2015-03-23,-0.01097141045194261
2015-03-24,-0.0006621907262110982
2015-03-25,-0.04638827904902487
2015-03-26,-0.002432388716170797
2015-03-27,0.02473012197421376
2015-03-30,0.10146135618226881
2015-03-31,-0.027927313429462974
2015-04-01,-0.006825682422477386
2015-04-02,-0.005274341473136657
2015-04-06,0.008676393377551994
2015-04-07,0.007327137194826694
2015-04-08,0.006799259107511002
2015-04-09,0.0056542268498445125
2015-04-10,0.0032799077462970505
2015-04-13,-0.007627658764956968
2015-04-14,-0.018509835845774925
2015-04-15,0.021735763146640608
2015-04-16,0.0028155779500069755
2015-04-17,-0.010763063773147175
2015-04-20,0.004730565814462961
2015-04-21,0.010200882533316635
2015-04-22,0.0018642704039282254
2015-04-23,-0.013955645131845107
2015-04-24,-0.01666941914346376
2015-04-27,0.002239058381432679
2015-04-28,0.008776166279908626
2015-04-29,-0.006327199314264731
2015-04-30,-0.015600303579958563
2015-05-01,0.023124142893087285
2015-05-04,-0.0003157416176629013
2015-05-05,-0.023399212287821602
2015-05-06,-0.0021048259432148164
2015-05-07,0.006489383842023244
2015-05-08,0.010960800767884527
2015-05-11,-0.001275693032065539
2015-05-12,-0.008939829088384976
2015-05-13,0.0025770063759495976
2015-05-14,0.01863786450102123
2015-05-15,-0.003470269029600015
2015-05-18,0.002849225614392825
2015-05-19,0.0014205281329160435
2015-05-20,0.043025880219216495
2015-05-21,-0.010426200540498143
2015-05-22,0.024583928471141103
2015-05-26,-0.0037254221866749315
2015-05-27,0.027689639841870894
2015-05-28,0.0002929745471336176
2015-05-29,-0.005124045301952207
2015-06-01,0.01162483376440182
2015-06-02,-0.015127225792605281
2015-06-03,-0.0062027464812053346
2015-06-04,-0.005201785361482858
2015-06-05,0.006424098172393533
2015-06-08,-0.02107808837967806
2015-06-09,-0.003942245045380877
2015-06-10,0.03090263943699645
2015-06-11,-0.007383317577426274
2015-06-12,-0.014281614524404795
2015-06-15,0.0066407901125857816
2015-06-16,-0.0010493633813025705
2015-06-17,0.00900469428616768
2015-06-18,0.015915560223166203
2015-06-19,-0.005710042621076217
2015-06-22,0.00161982507626246
2015-06-23,-0.007203890322375117
2015-06-24,-0.010217563578508226
2015-06-25,-0.003740576946700269
2015-06-26,-0.011863436665913052
2015-06-29,-0.02750765720071391
2015-06-30,0.00312552145365963
2015-07-01,0.005919951250120015
2015-07-02,-0.0029425920865884247
2015-07-06,-0.012270748733806514
2015-07-07,-0.0033024220951994865
2015-07-08,-0.022720190708443666
2015-07-09,-0.016951746448875094
2015-07-10,0.010182286499371695
2015-07-13,0.005852615579511555
2015-07-14,0.012122262204883993
2015-07-15,0.004790664733605787
2015-07-16,-0.0014302355089891305
2015-07-17,-0.005889172777752583
2015-07-20,-0.007524615197249451
2015-07-21,0.0014516923762362133
2015-07-22,-0.05525129170855103
2015-07-23,0.02387059178753126
2015-07-24,-0.025978545292202337
2015-07-27,-0.010257873019585029
2015-07-28,0.019001387848566198
2015-07-29,-0.003390361514238771
2015-07-30,0.0005102365003508691
2015-07-31,-0.00833040860974954
2015-08-03,0.005828925311557542
2015-08-04,-0.003238506091956417
2015-08-05,0.0379617341672418
2015-08-06,-0.03014829602321356
2015-08-07,0.01257024109150362
2015-08-10,0.02482791224005232
2015-08-11,-0.027991569487552548
2015-08-12,0.006062711161182843
2015-08-13,-0.012386865701956129
2015-08-14,-0.002711971719516648
2015-08-17,0.011216697731122549
2015-08-18,-0.026890490130523803
2015-08-19,0.008289998350683447
2015-08-20,-0.07810887672709588
2015-08-21,-0.0007434867930199429
2015-08-24,-0.03923383379915624
2015-08-25,-0.02051497718720985
2015-08-26,0.07986453244686542
2015-08-27,0.04168217001676067
2015-08-28,-0.0005311008951093266
2015-08-31,-0.010451439530757223
2015-09-01,-0.04135347472413198
