Date,SLB
2015-01-05,-0.027080490562298665
2015-01-06,-0.01955606791440634
2015-01-07,-0.00012252364415354933
2015-01-08,0.012116056751044546
2015-01-09,-0.017895739665818478
2015-01-12,-0.039029857112860666
2015-01-13,-0.0034595628579633386
2015-01-14,0.007842745100823834
2015-01-15,-0.022452024694774364
2015-01-16,0.06133409710807736
2015-01-20,-0.010451496026930074
2015-01-21,0.02149611179289601
2015-01-22,-0.0008516204799454696
2015-01-23,-0.0017041946634315241
2015-01-26,0.0204878036612246
2015-01-27,0.010396804570849127
2015-01-28,-0.044943917402715305
2015-01-29,0.014241554140380641
2015-01-30,0.005982908117551533
2015-02-02,0.0273090009434811
2015-02-03,0.02882832557064119
2015-02-04,-0.029053909862363447
2015-02-05,0.016203090769411732
2015-02-06,0.0027936112970026183
2015-02-09,0.0018676650021016705
2015-02-10,-0.00699127990154691
2015-02-11,-0.0057499272623642295
2015-02-12,0.014516632958150533
2015-02-13,0.028152367095757302
2015-02-17,0.005770759819202276
2015-02-18,-0.012937535932515898
2015-02-19,-0.008661393506371184
2015-02-20,-0.012647058617233364
2015-02-23,-0.003958652417175523
2015-02-24,-0.002689054933058266
2015-02-25,-0.0011719906045281059
2015-02-26,-0.01549133990901852
2015-02-27,0.003219077115068858
2015-03-02,0.005465086615412895
2015-03-03,0.003427544494723378
2015-03-04,0.0027084675791611
2015-03-05,-0.0037586821556975236
2015-03-06,-0.020160018068025587
2015-03-09,-0.009024134543777707
2015-03-10,-0.012749205944732278
2015-03-11,-0.0004918334144093928
2015-03-12,-0.0040604668498426255
2015-03-13,-0.006424568758940596
2015-03-16,0.010445207168164439
2015-03-17,-0.009721593444393606
2015-03-18,0.01963450350404261
2015-03-19,-0.012675060486298295
2015-03-20,0.016787707009675135
2015-03-23,-0.004491869319043773
2015-03-24,-0.0018291342358351947
2015-03-25,0.017593034291875975
2015-03-26,-0.0015609780037183496
2015-03-27,0.0018037421658660957
2015-03-30,0.01404396724178869
2015-03-31,-0.012310355423463926
2015-04-01,0.010066545683377726
2015-04-02,0.0013051505429260146
2015-04-06,0.018011891535374858
2015-04-07,0.0041904332662998645
2015-04-08,-0.0017386001528449935
2015-04-09,0.02705527411309605
2015-04-10,0.007461710279911937
2015-04-13,-0.012232137090673167
2015-04-14,0.008861876234546484
2015-04-15,0.03603591430984543
2015-04-16,-0.00119540996173495
2015-04-17,0.010555789528662096
2015-04-20,-0.004199607556293339
2015-04-21,-0.012761146787825695
2015-04-22,0.009530396970856447
2015-04-23,0.009656783999435037
2015-04-24,-0.015475446624193534
2015-04-27,0.00785918377834638
2015-04-28,0.0035742938495517684
2015-04-29,0.017483441790061116
2015-04-30,0.0035003653403866686
2015-05-01,-0.01701754749865958
2015-05-04,-0.00021473189836884732
2015-05-05,-0.010109986248301506
2015-05-06,0.002498598080663106
2015-05-07,-0.02210856297977193
2015-05-08,0.024382036741809054
2015-05-11,-0.007140851850645835
2015-05-12,0.007628205980508174
2015-05-13,0.00043225509274247287
2015-05-14,-0.0036751637540065607
2015-05-15,-0.0003253293200926599
2015-05-18,0.006620272195805743
2015-05-19,-0.023611599719920773
2015-05-20,0.0020977226858440723
2015-05-21,0.014104861306566852
2015-05-22,-0.00010882902838105224
2015-05-26,-0.013909753125694424
2015-05-27,0.0028652983681021205
2015-05-28,-0.0038463184431656305
2015-05-29,0.0013238103933810308
2015-06-01,0.004209376165008161
2015-06-02,0.009376820015454257
2015-06-03,-0.001530179435254797
2015-06-04,-0.014119900836391364
2015-06-05,0.0011105627405076923
2015-06-08,-0.008872403188125988
2015-06-09,0.005482932057263801
2015-06-10,0.01969733627564718
2015-06-11,-0.01047688846035888
2015-06-12,-0.005735327132571744
2015-06-15,-0.007986331515707046
2015-06-16,0.0029074250885468
2015-06-17,-0.00022323389015155293
2015-06-18,-0.011597898471532586
2015-06-19,-0.022678682159708252
2015-06-22,0.0040408493044787885
2015-06-23,0.011843195298951725
2015-06-24,-0.0055685186338536585
2015-06-25,-0.009598529425699054
2015-06-26,0.0
2015-06-29,-0.011653642855742774
2015-06-30,0.006186810780437257
2015-07-01,-0.021928037961896796
2015-07-02,-0.0034398355058942176
2015-07-06,-0.0061898811181724245
2015-07-07,0.00850397790150259
2015-07-08,-0.015201816997894246
2015-07-09,0.007597448866913048
2015-07-10,0.004907278387290992
2015-07-13,0.003930161350755634
2015-07-14,0.011864414303039306
2015-07-15,-0.01946346290282197
2015-07-16,0.0031088233887601735
2015-07-17,-0.0021453602726841936
2015-07-20,-0.0022696841099583143
2015-07-21,0.00933899335131727
2015-07-22,0.011387928914104561
2015-07-23,0.008913687876466403
2015-07-24,-0.03627013020233616
2015-07-27,-0.013751587325644188
2015-07-28,0.009050317442276024
2015-07-29,0.016848515045352563
2015-07-30,-0.004410175092521507
2015-07-31,-0.008381182028282641
2015-08-03,-0.008934912279341511
2015-08-04,0.002315064489234242
2015-08-05,0.0027948544736109415
2015-08-06,0.013212405463816745
2015-08-07,-0.016030602040047248
2015-08-10,0.026625912758293735
2015-08-11,-0.0009472562113093108
2015-08-12,0.005571515621142664
2015-08-13,-0.008723383610259372
2015-08-14,-0.00273508690991342
2015-08-17,-0.0042930376040069
2015-08-18,-0.004191655889060009
2015-08-19,-0.029825921965874636
2015-08-20,-0.015246735253210852
2015-08-21,-0.024421087281696452
2015-08-24,-0.04683887287597266
2015-08-25,-0.01827519817706602
2015-08-26,-0.033508079424193316
2015-08-27,0.05364528956937664
2015-08-28,0.02992598144723191
2015-08-31,0.023954017985372555
