Date,PPG
2015-01-05,-0.025806632679014396
2015-01-06,-0.0024610980207929734
2015-01-07,0.004440922351217624
2015-01-08,0.026616596639255974
2015-01-09,-0.01265884724146027
2015-01-12,-0.0031719653767271483
2015-01-13,0.003270336998955292
2015-01-14,-8.799048349084071e-05
2015-01-15,-0.00339244444970932
2015-01-16,0.018478977084868564
2015-01-20,-0.00963624554483622
2015-01-21,-0.0005697267548157026
2015-01-22,0.014559775361036698
2015-01-23,-0.015301828669325945
2015-01-26,4.407774543535581e-05
2015-01-27,-0.008164139252561098
2015-01-28,-0.018675870395656546
2015-01-29,0.017903889824957497
2015-01-30,-0.012538111439164945
2015-02-02,0.0038133951608476657
2015-02-03,0.014168917148005722
2015-02-04,0.0024238413318593555
2015-02-05,0.012838239040482646
2015-02-06,0.0021268360614152826
2015-02-09,-0.01749949275167695
2015-02-10,0.006260309532733377
2015-02-11,-8.782910571614178e-05
2015-02-12,0.02107634887021903
2015-02-13,0.016049473704948136
2015-02-17,-0.0038858574656697176
2015-02-18,0.004507305050971855
2015-02-19,-0.003132332779998026
2015-02-20,0.004840698389523945
2015-02-23,-0.000633685135713602
2015-02-24,0.001183572412852829
2015-02-25,-0.004645500936179214
2015-02-26,0.0007214986555577063
2015-02-27,-0.0019507328027340565
2015-03-02,0.009856178762236878
2015-03-03,-0.013294007564634835
2015-03-04,0.0034109517180500593
2015-03-05,0.00046746579137724176
2015-03-06,-0.014780183815982673
2015-03-09,0.001379527996375085
2015-03-10,-0.019888682734172103
2015-03-11,-0.01093688504254442
2015-03-12,0.020072646997101096
2015-03-13,-0.007792919715546187
2015-03-16,0.009521508640123022
2015-03-17,-0.012256705532691203
2015-03-18,0.0104726130274988
2015-03-19,-0.015110684213147207
2015-03-20,0.012777933994907231
2015-03-23,-0.011481462961913103
2015-03-24,-0.004151480508919447
2015-03-25,-0.013437485744383415
2015-03-26,-0.00521454836365709
2015-03-27,0.007501766345588523
2015-03-30,0.006861524663647867
2015-03-31,0.004677580072330878
2015-04-01,-0.004788744239379805
2015-04-02,-0.003920347904062593
2015-04-06,0.0028624281466500534
2015-04-07,0.003032883021052868
2015-04-08,0.005469135645284728
2015-04-09,0.009773007362097852
2015-04-10,0.005080427725272507
2015-04-13,0.0003921033220066761
2015-04-14,-0.007099817354964344
2015-04-15,-0.0030266477008478176
2015-04-16,-0.0022883126248329777
2015-04-17,-0.0006172466135891952
2015-04-20,0.004721625618372416
2015-04-21,-0.002766904866727815
2015-04-22,-0.0028627008109753938
2015-04-23,-0.002296703292277047
2015-04-24,-0.011377855434848816
2015-04-27,-0.011016233964316169
2015-04-28,-0.00040746087789234053
2015-04-29,0.006386706635149286
2015-04-30,-0.0027453082581716526
2015-05-01,0.013495396963533635
2015-05-04,0.002137506212429363
2015-05-05,-0.015331574910312007
2015-05-06,0.002121216261664838
2015-05-07,0.01617511981380093
2015-05-08,0.018407088859043297
2015-05-11,-0.0075091308497717835
2015-05-12,-0.012493020781637276
2015-05-13,0.004053687346831758
2015-05-14,0.015084425406782787
2015-05-15,0.012675033950841907
2015-05-18,-0.0033234813897125015
2015-05-19,-0.004070373551593343
2015-05-20,-0.004609089734221139
2015-05-21,0.0013104905791267996
2015-05-22,-0.00017447167004358555
2015-05-26,-0.010777012709385692
2015-05-27,0.010673998198121426
2015-05-28,0.0029675796387145237
2015-05-29,-0.004046922180457435
2015-06-01,0.0006118757263244845
2015-06-02,-0.003405723984831188
2015-06-03,0.007623377923568597
2015-06-04,-0.005304591107399559
2015-06-05,-0.0006122759540836409
2015-06-08,-0.0023180553556676475
2015-06-09,0.005041866652661042
2015-06-10,0.011472175112379634
2015-06-11,0.009099611376317318
2015-06-12,-0.003162685961630385
2015-06-15,-0.010246418141587776
2015-06-16,0.004937569896344307
2015-06-17,0.005776193369856131
2015-06-18,0.009771120588239812
2015-06-19,-0.004328910474332259
2015-06-22,0.007416722853373914
2015-06-23,0.0010155682778714148
2015-06-24,-0.0027051271549614064
2015-06-25,-0.0019496706964278188
2015-06-26,0.002293083969812093
2015-06-29,-0.02567549675148295
2015-06-30,-0.002261405369442415
2015-07-01,0.015516141683932894
2015-07-02,-0.005064493074757648
2015-07-06,-0.00698825412765669
2015-07-07,-0.0003474729829884282
2015-07-08,-0.01703454331512022
2015-07-09,-0.004067324266581296
2015-07-10,0.020064048275469704
2015-07-13,0.014186067981330153
2015-07-14,0.009268046767217042
2015-07-15,-0.005356521120844393
2015-07-16,-0.044110241375722614
2015-07-17,-0.0001786701058901219
2015-07-20,-0.00849761508394764
2015-07-21,-0.02381584358217126
2015-07-22,-0.0011090443520301863
2015-07-23,-0.022758591518193372
2015-07-24,-0.022531529977960596
2015-07-27,-0.008329221382029406
2015-07-28,0.044242593935382324
2015-07-29,0.015431790987360694
2015-07-30,-0.00046029753739984525
2015-07-31,-0.0012902307154314396
