Date,O
2015-01-05,0.02056761362765691
2015-01-06,0.013098743186981343
2015-01-07,0.016312721333773927
2015-01-08,-0.026424584736363443
2015-01-09,0.011861204124427704
2015-01-12,0.013909596138482305
2015-01-13,0.001958535762671243
2015-01-14,0.011148698911959132
2015-01-15,0.009864373599195453
2015-01-16,0.010917463427731589
2015-01-20,-0.0007574758865430686
2015-01-21,0.0001898308274472793
2015-01-22,0.008340847938419937
2015-01-23,0.006580114499138201
2015-01-26,0.022039359364713462
2015-01-27,0.006030676381009847
2015-01-28,0.0009079903499304987
2015-01-29,0.004170807781066488
2015-01-30,-0.015052176594575029
2015-02-02,-0.014178181794285205
2015-02-03,-0.004483304058078841
2015-02-04,-0.009005016225518414
2015-02-05,0.010034144966822423
2015-02-06,-0.04704732292013103
2015-02-09,0.006293841997131011
2015-02-10,0.002540895030632706
2015-02-11,0.001169777250255466
2015-02-12,0.006621923520869766
2015-02-13,0.006189666212869538
2015-02-17,-0.00442182670519875
2015-02-18,0.016801813314539338
2015-02-19,-0.023931867479264457
2015-02-20,0.011286590452086243
2015-02-23,0.008658350810643922
2015-02-24,-0.029568441184485983
2015-02-25,0.00452123149638628
2015-02-26,-0.0216264962041679
2015-02-27,0.005020094080234516
2015-03-02,0.011785986156898298
2015-03-03,-0.001974921313736666
2015-03-04,-0.004153613481689522
2015-03-05,0.009137478489087858
2015-03-06,-0.04074799061471279
2015-03-09,0.010260157983799312
2015-03-10,0.0008127679964298196
2015-03-11,0.005277058456500061
2015-03-12,0.012315291934043904
2015-03-13,-0.0017946044724542753
2015-03-16,0.010989020748003453
2015-03-17,-0.0007905738499502935
2015-03-18,0.028678715921128806
2015-03-19,0.004422501804430157
2015-03-20,0.026990973148564468
2015-03-23,-0.0035419770497593372
2015-03-24,-0.016460792685005332
2015-03-25,-0.015975059175104334
2015-03-26,-0.009471204625722374
2015-03-27,-0.0037074756605536274
2015-03-30,0.01494061434567584
2015-03-31,-0.0005808383860841371
2015-04-01,-0.0023256233067679988
2015-04-02,0.011071401207837228
2015-04-06,-0.02862565197654554
2015-04-07,0.001780330333918556
2015-04-08,-0.0017771663906848145
2015-04-09,-0.023733733950407787
2015-04-10,0.0030386475157346826
2015-04-13,-0.007877865548837293
2015-04-14,0.016694005122024347
2015-04-15,-0.011814242568477185
2015-04-16,0.0004050089590366124
2015-04-17,-0.0022279608542632445
2015-04-20,-0.003247918216826018
2015-04-21,0.005296111868477782
2015-04-22,0.0032408865245636687
2015-04-23,-0.0026250212939259443
2015-04-24,-0.0004055773838830268
2015-04-27,-0.0028356447853254974
2015-04-28,-0.004062339796441661
2015-04-29,-0.02088393773906594
2015-04-30,-0.01777576745698406
2015-05-01,0.0006394790040522569
2015-05-04,0.0036163483750499825
2015-05-05,-0.023320200767808164
2015-05-06,-0.0032549341903914675
2015-05-07,0.012847833652435803
2015-05-08,0.018060956728181532
2015-05-11,-0.017318268803939496
2015-05-12,0.007522446977718644
2015-05-13,-0.013011924074179948
2015-05-14,0.022476848938883576
2015-05-15,0.012470757458009407
2015-05-18,-0.00855937989636002
2015-05-19,-0.0037902152231598096
2015-05-20,0.000845400581950484
2015-05-21,-0.007814181749728033
2015-05-22,-0.00042553536809208925
2015-05-26,-0.012137516971630458
2015-05-27,0.0010774697635727026
2015-05-28,-0.0045409375390751405
2015-05-29,-0.010208408119862677
2015-06-01,0.007461162430583812
2015-06-02,-0.002396436416620129
2015-06-03,-0.012008773191300115
2015-06-04,0.0077355573999911
2015-06-05,-0.007676177885346469
2015-06-08,0.008177080057481856
2015-06-09,-0.013370940227612649
2015-06-10,0.00333294385779892
2015-06-11,0.009520852169180971
2015-06-12,-0.005483413170722318
2015-06-15,-0.005955261726932504
2015-06-16,0.005325836391498084
2015-06-17,0.013461719319935339
2015-06-18,0.01568012286944942
2015-06-19,-0.012221858692680887
2015-06-22,-0.01258899324357321
2015-06-23,-0.008353634599828408
2015-06-24,-0.007315417287495629
2015-06-25,-0.008039648024697144
2015-06-26,0.01170659143283137
2015-06-29,-0.008491972460649255
2015-06-30,0.00045091101560190694
2015-07-01,0.01599467118815112
2015-07-02,0.006429919605913215
2015-07-06,0.01189694946112918
2015-07-07,0.008709401327387178
2015-07-08,-0.0012950325970265686
2015-07-09,-0.006915414029393441
2015-07-10,0.008921842435297256
2015-07-13,-0.00431373627403131
2015-07-14,0.006282263632098495
2015-07-15,0.005597939489003778
2015-07-16,0.010489967753793072
2015-07-17,-0.004449399107366303
2015-07-20,0.00425596769071257
2015-07-21,-0.0040256505943458976
2015-07-22,0.0057443051900383235
2015-07-23,-0.010365700375700837
2015-07-24,0.0064125411015798495
2015-07-27,0.002974026990235634
2015-07-28,0.0042356338496030155
2015-07-29,0.00864586621086727
2015-07-30,-0.0006290387929249741
2015-07-31,0.014282461728452933
2015-08-03,0.010146784577604206
2015-08-04,-0.01312037902778429
2015-08-05,-0.015787419546721138
2015-08-06,0.003166132387437015
2015-08-07,-0.0014724853848230302
2015-08-10,-0.00210758935450972
2015-08-11,0.0019010337433653657
2015-08-12,0.0035823447035729927
2015-08-13,-0.00167988394527252
2015-08-14,0.00631029606975364
2015-08-17,0.0037630080384498665
2015-08-18,0.00916246051660874
2015-08-19,-0.008459849815316445
2015-08-20,0.001040207046541397
2015-08-21,-0.009979557813652673
2015-08-24,-0.03779895728772198
2015-08-25,-0.029463835182870435
2015-08-26,0.022487725792303515
2015-08-27,0.019573064929637285
2015-08-28,-0.0049817409784698174
2015-08-31,-0.027209371157946527
2015-09-01,-0.016782174138957995
