Date,PSX
2015-01-05,-0.06045113504635102
2015-01-06,-0.027973867791577955
2015-01-07,0.004392186459090119
2015-01-08,0.03890835477472687
2015-01-09,-0.02293496418892682
2015-01-12,-0.04561001522276298
2015-01-13,-0.04265258154944784
2015-01-14,-0.033821157263584145
2015-01-15,-0.00555345628390691
2015-01-16,0.02944643579704631
2015-01-20,0.04586545544752463
2015-01-21,0.041339039878200534
2015-01-22,0.016000372152819464
2015-01-23,0.017976279928346717
2015-01-26,-0.001751196618311246
2015-01-27,0.01754391570072933
2015-01-28,-0.017672318327316527
2015-01-29,0.0308616750607551
2015-01-30,-0.0022704720726289818
2015-02-02,0.03526730230178354
2015-02-03,0.028571290024929086
2015-02-04,-0.006142977291338392
2015-02-05,0.010615130316026455
2015-02-06,0.011833601820517403
2015-02-09,-0.0022336434490959345
2015-02-10,-0.0034244940174301686
2015-02-11,-0.019558121537052386
2015-02-12,0.019269651710931868
2015-02-13,0.020103701857234535
2015-02-17,0.0036544430586356036
2015-02-18,-0.01235354917286069
2015-02-19,0.019486372422057086
2015-02-20,-0.0011622285288180878
2015-02-23,0.025730832633546363
2015-02-24,0.008445323763720314
2015-02-25,-0.011374773242334602
2015-02-26,0.012264109915564259
2015-02-27,-0.019984632179282258
2015-03-02,-0.018608465892211212
2015-03-03,0.01415574602202585
2015-03-04,-0.0016647128486153573
2015-03-05,-0.013852999841296953
2015-03-06,-0.019771164609511116
2015-03-09,0.012340784558864337
2015-03-10,-0.02962397973625619
2015-03-11,0.007024265596946799
2015-03-12,-0.005231209453833929
2015-03-13,0.0064724195315439825
2015-03-16,0.02210609673710251
2015-03-17,-0.004456622923360243
2015-03-18,0.028571497664689582
2015-03-19,-0.007808682261802757
2015-03-20,0.01741715757939577
2015-03-23,-0.004184487556248673
2015-03-24,-0.01146061906733864
2015-03-25,0.017647759324399326
2015-03-26,-0.007088692992903933
2015-03-27,-0.010581375745590038
2015-03-30,0.025125485795129077
2015-03-31,-0.012066163792666229
2015-04-01,0.017048446271155537
2015-04-02,-0.022141471792162193
2015-04-06,0.004860866065913072
2015-04-07,-0.009929995814585979
2015-04-08,-0.004628589937533123
2015-04-09,0.005166920492666316
2015-04-10,0.0068114928805032005
2015-04-13,-0.01799813563487207
2015-04-14,0.011698759281693505
2015-04-15,0.014261719409797147
2015-04-16,0.003800153884411017
2015-04-17,-0.015522355687241252
2015-04-20,0.016536275398686406
2015-04-21,0.0025222393543875565
2015-04-22,0.017861815921181634
2015-04-23,0.0038305598520076423
2015-04-24,0.004431983098662107
2015-04-27,-0.006373271130232561
2015-04-28,0.006660956595310852
2015-04-29,-0.007474613144560105
2015-04-30,-0.020864329602111487
2015-05-01,0.029000305266371207
2015-05-04,-0.00943504443125942
2015-05-05,-0.004948242493349131
2015-05-06,-0.007707529038673999
2015-05-07,0.0015034705262391146
2015-05-08,0.02114091807956897
2015-05-11,-0.013352906022795152
2015-05-12,-0.0004967917576657044
2015-05-13,0.003353991309117177
2015-05-14,0.017703481228932283
2015-05-15,-0.007105177096219162
2015-05-18,0.003454273833613186
2015-05-19,-0.007745939175416994
2015-05-20,-0.002230490094841886
2015-05-21,0.005961041332321004
2015-05-22,-0.0003700417779418652
2015-05-26,-0.01988371212775375
2015-05-27,-0.002142162327542496
2015-05-28,0.00467195169948198
2015-05-29,-0.005530210734340124
2015-06-01,0.0029071676324159412
2015-06-02,-0.003151029005515227
2015-06-03,-0.010113656706687624
2015-06-04,-0.011749465397559722
2015-06-05,0.008658405994449225
2015-06-08,-0.011146934670861586
2015-06-09,-0.005052506233725551
2015-06-10,0.01315249649330097
2015-06-11,0.01118225513654636
2015-06-12,-0.0129652881952661
2015-06-15,0.005537546368062252
2015-06-16,0.003970396973865142
2015-06-17,0.0057403682522205735
2015-06-18,0.015094042800408936
2015-06-19,-0.004498394949753126
2015-06-22,-0.0008787001176734366
2015-06-23,0.008919991156665974
2015-06-24,-0.013946125716022384
2015-06-25,-0.0037884839440658347
2015-06-26,0.009253538289641927
2015-06-29,-0.014192773141794457
2015-06-30,0.02637318545055023
2015-07-01,0.0091854812273362
2015-07-02,0.0018452844901402088
2015-07-06,0.001104873549590435
2015-07-07,0.009933632982462415
2015-07-08,-0.04675167569289396
2015-07-09,0.012101989264221347
2015-07-10,0.025676552875540493
2015-07-13,0.023683845162188133
2015-07-14,0.0011985726847869582
2015-07-15,-0.020952625239212486
2015-07-16,0.017610145875210037
2015-07-17,0.00036054567538479354
2015-07-20,-0.010932123519277637
2015-07-21,-0.004251348573122593
2015-07-22,-0.0018296411164815396
2015-07-23,-0.005376933457316158
2015-07-24,-0.028996639338428887
2015-07-27,-0.029229277645757
2015-07-28,0.025156445223333712
2015-07-29,0.01754626007568416
2015-07-30,-0.011370818093223378
2015-07-31,0.004802736493085158
2015-08-03,-0.010314164317076657
2015-08-04,-0.0053383971559831656
2015-08-05,0.0002555905579098017
2015-08-06,0.01737366927760431
2015-08-07,-0.0002510228469655429
2015-08-10,0.03642279334945231
2015-08-11,0.014299286087261498
2015-08-12,0.007407812907969102
2015-08-13,-0.0081184930020326
2015-08-14,-0.009388555976291957
2015-08-17,0.009234438786844379
2015-08-18,0.0022878330788100865
2015-08-19,-0.029429858404394937
2015-08-20,-0.01571776690061022
2015-08-21,-0.04765499199363221
2015-08-24,-0.05386868590362082
2015-08-25,-0.015489439297268426
2015-08-26,0.038979333307288755
2015-08-27,0.023465104613391796
2015-08-28,0.029459070527924514
2015-08-31,0.02382459007198201
2015-09-01,-0.018717486161221375
