Date,SWKS
2015-01-05,-0.016230379197135214
2015-01-06,-0.03188674204728159
2015-01-07,0.016468630815092533
2015-01-08,0.04536471234397976
2015-01-09,-0.0016170932940557936
2015-01-12,-0.023758145672789
2015-01-13,0.007190036044927073
2015-01-14,-0.017023638230436067
2015-01-15,-0.0037706319571634284
2015-01-16,0.03532869609503542
2015-01-20,0.023155225472547114
2015-01-21,0.02302805343023362
2015-01-22,0.026261305345825825
2015-01-23,0.01928629669701354
2015-01-26,0.020034544140066446
2015-01-27,-0.011639179357088691
2015-01-28,0.003803009401301738
2015-01-29,0.028840398243673127
2015-01-30,-0.013540829906098173
2015-02-02,-0.012402583215187168
2015-02-03,0.004640391467116922
2015-02-04,0.0003649839145489775
2015-02-05,-0.010935491073667758
2015-02-06,0.0004909345762440509
2015-02-09,-0.028978263682471583
2015-02-10,0.032372566509122125
2015-02-11,0.008818912274689561
2015-02-12,0.0007291700807796619
2015-02-13,-0.006916328430384477
2015-02-17,0.010873781918487202
2015-02-18,-0.002175669077661424
2015-02-19,0.0060561907446718966
2015-02-20,0.01492911029087396
2015-02-23,0.02028428233861801
2015-02-24,0.025229981156299264
2015-02-25,-0.005103409447382634
2015-02-26,0.009688622292290283
2015-02-27,-0.00936976882150864
2015-03-02,0.03851847670345232
2015-03-03,-0.02622624786836092
2015-03-04,0.016001896644974645
2015-03-05,0.015417030970695134
2015-03-06,-0.008738216352116912
2015-03-09,0.015096313000923844
2015-03-10,-0.009986970758168123
2015-03-11,0.010964586396809306
2015-03-12,0.007158609809887251
2015-03-13,0.0006460209028269492
2015-03-16,0.041541267082620514
2015-03-17,0.005476513829019369
2015-03-18,-0.0019526733150090347
2015-03-19,0.02522658134148381
2015-03-20,0.024906869528648956
2015-03-23,-0.002841595740396996
2015-03-24,-0.0029483264831058342
2015-03-25,-0.05805226718197731
2015-03-26,-0.026472979394827845
2015-03-27,0.062231640271292354
2015-03-30,0.013153725347969658
2015-03-31,-0.018376386724281435
2015-04-01,-0.014751968549267414
2015-04-02,-0.0034075177852255223
2015-04-06,-0.01077634534670402
2015-04-07,0.013721796438627143
2015-04-08,0.007129522518577236
2015-04-09,0.024314869026636154
2015-04-10,-0.0020030720150798764
2015-04-13,-0.01063826915072319
2015-04-14,-0.029823454835774754
2015-04-15,0.006169132881114647
2015-04-16,-0.005715452939837107
2015-04-17,-0.01463209855237979
2015-04-20,0.006894216139333498
2015-04-21,0.005161593181404633
2015-04-22,0.0147767692051044
2015-04-23,-0.010430728213912221
2015-04-24,-0.025359636245493977
2015-04-27,0.012420774701223714
2015-04-28,0.0
2015-04-29,-0.01015344613893654
2015-04-30,-0.014317380376612343
2015-05-01,0.06558241002417864
2015-05-04,0.008240102157638374
2015-05-05,-0.04520268851160336
2015-05-06,-0.0006337416400508111
2015-05-07,0.02643539833286468
2015-05-08,0.006593237731354451
2015-05-11,-0.005628692556747361
2015-05-12,-0.002473729630994237
2015-05-13,-0.0014464757550928242
2015-05-14,0.01893465375384351
2015-05-15,-0.009342382442510733
2015-05-18,0.05606854101465997
2015-05-19,0.009317513512269393
2015-05-20,-0.0024038403719573997
2015-05-21,0.0014452081357787527
2015-05-22,0.0077008741573796335
2015-05-26,-0.009265518165624043
2015-05-27,0.047338906402730085
2015-05-28,-0.009021390571795296
2015-05-29,0.015884921535767926
2015-06-01,0.0008231227261839003
2015-06-02,-0.012151917419235159
2015-06-03,-0.025249783890912925
2015-06-04,0.0021824825820679905
2015-06-05,0.0011360085140996734
2015-06-08,-0.03234327191170705
2015-06-09,-0.0007818851798535587
2015-06-10,0.032276914055081374
2015-06-11,0.0008524766808744033
2015-06-12,-0.006437154146245905
2015-06-15,0.011052520081207495
2015-06-16,0.0020736473056990334
2015-06-17,0.0022573685964917267
2015-06-18,0.03199747632884775
2015-06-19,0.0020000891174682955
2015-06-22,0.006533864796368638
2015-06-23,-0.005769936979686974
2015-06-24,-0.01704762668788018
2015-06-25,0.013561096120520144
2015-06-26,-0.027032070055407642
2015-06-29,-0.04546299469777493
2015-06-30,0.02018797308185527
2015-07-01,-0.0018250028054034306
2015-07-02,0.009045947862724724
2015-07-06,-0.027753703967618226
2015-07-07,-0.014223998210118216
2015-07-08,-0.04866192452365081
2015-07-09,-0.01140140395635758
2015-07-10,0.06020524336566191
2015-07-13,0.0028943485131771585
2015-07-14,0.015325017420973142
2015-07-15,-0.011075472979524936
2015-07-16,0.014568924383846937
2015-07-17,0.005275148307835931
2015-07-20,0.002234807253500559
2015-07-21,0.00804743185815493
2015-07-22,-0.04164690479400235
2015-07-23,0.03492627558398964
2015-07-24,-0.05246347311704602
2015-07-27,-0.043189149543435223
2015-07-28,0.02342535539294377
2015-07-29,-0.0051210577503537635
2015-07-30,0.016492719583963478
2015-07-31,-0.01126490953060122
2015-08-03,-0.030207939149737073
2015-08-04,-0.04139651714424164
2015-08-05,0.003044468995923033
2015-08-06,-0.033498208395959295
2015-08-07,0.027680861961208336
2015-08-10,0.03021735148512783
2015-08-11,-0.0226299056748146
2015-08-12,0.010452807553441135
2015-08-13,-0.0028924114992777694
2015-08-14,-0.006023378723028827
2015-08-17,0.020538355529805985
2015-08-18,-0.05751683654757567
2015-08-19,0.017853250752234873
2015-08-20,-0.054912568477885504
2015-08-21,-0.04087783600569561
2015-08-24,0.01821171007817446
2015-08-25,0.0006207539739728762
2015-08-26,0.06938911898216382
2015-08-27,0.0420196415638705
2015-08-28,-0.012810058617366171
2015-08-31,-0.014331319910164786
2015-09-01,-0.04922705862209331
2015-09-02,0.03239019105332952
