Date,FDX
2015-01-05,-0.015366572445501991
2015-01-06,-5.915304729475768e-05
2015-01-07,0.007362016572596941
2015-01-08,0.023386634968707964
2015-01-09,-0.013597162099060589
2015-01-12,-0.0005210967223847618
2015-01-13,-0.006200372995518677
2015-01-14,0.007288713154369297
2015-01-15,0.006367520201840948
2015-01-16,0.016738352193092165
2015-01-20,0.013407931973288267
2015-01-21,-0.0024556998452825995
2015-01-22,0.01516562701091173
2015-01-23,-0.029713194098786477
2015-01-26,0.0036926833942172443
2015-01-27,-0.01573618954582745
2015-01-28,-0.013975270446382249
2015-01-29,0.008398867256403042
2015-01-30,-0.021863808611216506
2015-02-02,0.012654573459534468
2015-02-03,0.010044008806726623
2015-02-04,-0.005145503706223131
2015-02-05,0.007496697296307309
2015-02-06,-0.0006924609122828107
2015-02-09,-0.009292788375364291
2015-02-10,0.00967141364902857
2015-02-11,0.0035773715329869837
2015-02-12,0.013684423456881367
2015-02-13,0.0009646079320915213
2015-02-17,0.017396803599338595
2015-02-18,0.0013370321497476745
2015-02-19,-0.006286036072653767
2015-02-20,-0.0008396720241866662
2015-02-23,-0.0011203381517764788
2015-02-24,-0.002804235175034475
2015-02-25,-0.012148462454771969
2015-02-26,-0.005921043673836834
2015-02-27,0.013631122855019662
2015-03-02,-0.0010173542783130651
2015-03-03,-0.003676385127092341
2015-03-04,-0.00868564459092147
2015-03-05,0.0011457386920439294
2015-03-06,-0.009324033888996386
2015-03-09,-0.0004625294859990081
2015-03-10,-0.016829762778966195
2015-03-11,0.009176504360205673
2015-03-12,0.011774723505531437
2015-03-13,-0.0014986717662145432
2015-03-16,0.023078781107463753
2015-03-17,-0.00907918688260756
2015-03-18,-0.013716069328957303
2015-03-19,0.003174126701646518
2015-03-20,-0.010411613798612107
2015-03-23,-0.008137730599288462
2015-03-24,-0.008672877597326711
2015-03-25,-0.02205064779903554
2015-03-26,0.0003628036809599777
2015-03-27,-0.005438156975648312
2015-03-30,0.01312339287539932
2015-03-31,-0.007796254928368107
2015-04-01,0.004775018341186765
2015-04-02,-0.00012027432337979871
2015-04-06,0.002707455850553986
2015-04-07,0.02693945417232113
2015-04-08,0.003972398518843123
2015-04-09,0.0062854245019525745
