Date,ED
2015-01-05,-0.009496432260928334
2015-01-06,0.005630660492667694
2015-01-07,0.01483057781377295
2015-01-08,0.0062633991307587955
2015-01-09,-0.005187135498782913
2015-01-12,-0.0034260166440861495
2015-01-13,-0.0019431340586628654
2015-01-14,0.01078364884937888
2015-01-15,0.013038554306085137
2015-01-16,0.010676992977228128
2015-01-20,0.012880230896143097
2015-01-21,0.006572196741951641
2015-01-22,-0.0056776149229711415
2015-01-23,0.004568043435644098
2015-01-26,0.0005683989604963191
2015-01-27,0.0066750330369773625
2015-01-28,-0.0004230541091897466
2015-01-29,0.007762595931267935
2015-01-30,-0.02969175137405433
2015-02-02,0.0025980785573038734
2015-02-03,-0.006766166955086916
2015-02-04,-0.011016007994454902
2015-02-05,0.008500405940635503
2015-02-06,-0.029646768456315198
2015-02-09,-0.010933263250356484
2015-02-10,0.0145370236905773
2015-02-11,-0.01582115600348044
2015-02-12,-0.005004435320787537
2015-02-13,-0.01600988944568449
2015-02-17,-0.001564465942339277
2015-02-18,0.024913872568342432
2015-02-19,-0.009325878058578874
2015-02-20,-0.016203769097210663
2015-02-23,0.008156708914401012
2015-02-24,0.01540375938869687
2015-02-25,-0.022525022442824838
2015-02-26,-0.011443780242478163
2015-02-27,0.0012685886592695983
2015-03-02,-0.020906027426048412
2015-03-03,0.00566159162744162
2015-03-04,-0.004825600434002486
2015-03-05,0.007273320333808231
2015-03-06,-0.0375481480947405
2015-03-09,0.007335847702478304
2015-03-10,-0.005626965290250752
2015-03-11,-0.005992123577092223
2015-03-12,0.02813113147897295
2015-03-13,-0.00912065525030803
2015-03-16,0.014464578281879081
2015-03-17,-0.008911404728589978
2015-03-18,0.015040207518933979
2015-03-19,-0.020132421552215618
2015-03-20,0.010355183212733543
2015-03-23,0.0009761646880162012
2015-03-24,-0.01056424850515314
2015-03-25,-0.004927396596609235
2015-03-26,-0.02938250021701938
2015-03-27,0.01700672474508269
2015-03-30,0.01655507962606939
2015-03-31,0.0034545660279563517
2015-04-01,0.002458896309400327
2015-04-02,-0.0032706680566748636
2015-04-06,0.009844292298201607
2015-04-07,-0.015597431221269442
2015-04-08,0.00016553012716991056
2015-04-09,-0.005610798906766634
2015-04-10,0.009957012783857078
2015-04-13,-0.006572504639436483
2015-04-14,0.005954371077411036
2015-04-15,-0.000986597073736828
2015-04-16,0.0024688828729535484
2015-04-17,0.0004925240711122214
2015-04-20,0.01411195146511135
2015-04-21,-0.005339743514942152
2015-04-22,0.002765514178076911
2015-04-23,0.007463079454419708
2015-04-24,0.00644108660396725
2015-04-27,-0.012960022991441833
2015-04-28,0.009401676122985148
2015-04-29,-0.0030511333423665077
2015-04-30,-0.008537329751792666
2015-05-01,0.0017872037831399012
2015-05-04,0.007136061536385352
2015-05-05,-0.020612084563268573
2015-05-06,0.004603633234703919
2015-05-07,0.002291268457730311
2015-05-08,-0.002612761624905091
2015-05-11,0.007040168503406052
2015-05-12,-0.006178024579706953
2015-05-13,-0.014558936027143754
2015-05-14,0.014276120221452526
2015-05-15,0.006055605454775126
2015-05-18,0.003781747010817238
2015-05-19,0.0014740590421959965
2015-05-20,0.003925517154208302
2015-05-21,-0.000162834234927689
2015-05-22,-0.0037479437823636497
2015-05-26,-0.001144942503310764
2015-05-27,0.004421268897163211
2015-05-28,0.007662226383570836
2015-05-29,0.0004851042880982259
2015-06-01,-0.002101986880399531
2015-06-02,-0.01004680486363585
2015-06-03,-0.02160729114903015
2015-06-04,-0.0013387731533879288
2015-06-05,-0.018093574377471278
2015-06-08,-0.0013646149682492448
2015-06-09,-0.0015378991809561482
2015-06-10,-0.011806811327881861
2015-06-11,0.005021581414180298
2015-06-12,-0.008614776832190918
2015-06-15,-0.005735285743160956
2015-06-16,0.005768368987576711
2015-06-17,0.012165853024789453
2015-06-18,0.016483361140786634
2015-06-19,-0.0035475715211520376
2015-06-22,-0.004577162791762235
2015-06-23,-0.011069576778527712
2015-06-24,-0.0039604600492775255
2015-06-25,-0.005878433300924191
2015-06-26,0.01043485664791377
2015-06-29,0.0005163641914942563
2015-06-30,-0.004300814142700893
2015-07-01,0.006911025665243153
2015-07-02,0.014755873512527495
2015-07-06,0.007778353491511902
2015-07-07,0.024832111487383957
2015-07-08,0.002455858570582503
2015-07-09,-0.012085439520766794
2015-07-10,0.005289992793755971
2015-07-13,-0.0019733197921637524
2015-07-14,-0.004448861381607827
2015-07-15,0.006123956384320284
2015-07-16,0.0152986861185751
2015-07-17,-0.006804919476038451
2015-07-20,0.0016312730232981298
2015-07-21,0.0013028751661445792
2015-07-22,0.011711065394489184
2015-07-23,-0.016881016738330423
2015-07-24,-0.004087872748894217
2015-07-27,0.011822504621834318
2015-07-28,0.00454373707677691
2015-07-29,0.00710824201752569
2015-07-30,0.012993240042753706
2015-07-31,0.0069676275231325135
2015-08-03,0.003144969210167048
2015-08-04,-0.008622002536171625
2015-08-05,0.0026880668215294445
2015-08-06,0.004889116746834787
2015-08-07,0.022441810756388847
2015-08-10,0.0
2015-08-11,0.010744708374343492
2015-08-12,0.011389140583396573
2015-08-13,0.004804762336834356
2015-08-14,0.0059771927247482814
2015-08-17,0.000600307042825321
2015-08-18,-0.0029983492701270986
2015-08-19,0.005413063385734995
2015-08-20,-0.0007477531031265805
2015-08-21,-0.011373880561197924
2015-08-24,-0.04072056585067385
2015-08-25,-0.018463089817569278
2015-08-26,0.020578711651686232
2015-08-27,0.006615991304379065
2015-08-28,-0.004694709082428972
2015-08-31,-0.010848591742797398
2015-09-01,-0.021141623109435903
