Date,DD
2015-01-05,-0.030928227271580067
2015-01-06,-0.016070536623933318
2015-01-07,-0.0016100170127527624
2015-01-08,0.02488467286076279
2015-01-09,-0.0015737672208248066
2015-01-12,-0.0058545686478336245
2015-01-13,-0.012231168334698284
2015-01-14,-0.004127383241702476
2015-01-15,-0.0027630454806396587
2015-01-16,0.03417237617869584
2015-01-20,-0.014735775163196574
2015-01-21,0.013823275114298816
2015-01-22,0.013857503318707387
2015-01-23,-0.01741605337789265
2015-01-26,-0.00022440292408110185
2015-01-27,-0.008752368051602066
2015-01-28,-0.025809406467009244
2015-01-29,0.04601437340046899
2015-01-30,0.003332605353687512
2015-02-02,0.0013287512924542444
2015-02-03,0.036930614573733145
2015-02-04,-0.014288831538460944
2015-02-05,0.03418436630056876
2015-02-06,0.012552346652627389
2015-02-09,-0.0028928940159472782
2015-02-10,0.0049735232462020385
2015-02-11,-0.00865993696713696
2015-02-12,0.022254293678754422
2015-02-13,0.005900784556060357
2015-02-17,0.002629046560050474
2015-02-18,-0.0032278033005700424
2015-02-19,0.005464613062672541
2015-02-20,-0.0030192657249735744
2015-02-23,-0.0008075850585530508
2015-02-24,0.006465971634920908
2015-02-25,0.0008031142657076717
2015-02-26,-0.01203608227179076
2015-02-27,-0.00020321842472803553
2015-03-02,0.0022340434659147146
2015-03-03,-0.002026256988878039
2015-03-04,0.006497201283386378
2015-03-05,-0.013717800262963542
2015-03-06,-0.0194314702339784
2015-03-09,-0.00020855663974916894
2015-03-10,-0.01710829321369478
2015-03-11,-0.0070049371607247
2015-03-12,0.014536161329775643
2015-03-13,-0.008639040168081147
2015-03-16,-0.00042456549378988573
2015-03-17,-0.008505725049377744
2015-03-18,0.019515370281149913
2015-03-19,-0.017038334916990916
2015-03-20,0.011983940073831745
2015-03-23,-0.0012686847382339383
2015-03-24,-0.00042323819103629035
2015-03-25,-0.008049586687873478
2015-03-26,0.0006407201412752528
2015-03-27,0.028423792496207412
2015-03-30,0.01926308322650594
2015-03-31,-0.014379775512665671
2015-04-01,-0.001667231491201293
2015-04-02,0.007098331035915839
2015-04-06,0.009120876825720714
2015-04-07,-0.0032867239218332678
2015-04-08,-0.0030915214665996338
2015-04-09,0.007649466918669967
2015-04-10,-0.0071811057451639515
2015-04-13,-0.002479763161621018
2015-04-14,0.011601066326381027
2015-04-15,0.026213654293505417
2015-04-16,-0.0071844151595602534
2015-04-17,-0.0018089984949187787
2015-04-20,0.008658968556721547
2015-04-21,-0.008784217086078905
2015-04-22,0.007451987101723567
2015-04-23,0.019592119654773033
2015-04-24,0.002353392352906436
2015-04-27,0.0068463748225249255
2015-04-28,0.00680054815994624
2015-04-29,-0.004053017459445196
2015-04-30,-0.01181954171352917
2015-05-01,0.013529619999983922
2015-05-04,-0.0007734215861471272
2015-05-05,-0.005808545684196309
2015-05-06,-0.009153060513594102
2015-05-07,-0.004716947997902787
2015-05-08,0.02389440068162929
2015-05-11,0.0009639739359408317
2015-05-12,-0.018304031077698735
2015-05-13,-0.004318171964070139
2015-05-14,0.010053251751993786
2015-05-15,0.005269116965375575
2015-05-18,-0.009901152357927767
2015-05-19,-0.005293781266994202
2015-05-20,0.006110682993222927
2015-05-21,0.006661439523696355
2015-05-22,-0.0017516088766026394
2015-05-26,-0.013062628224875916
2015-05-27,0.011457477875520095
2015-05-28,0.007226456493406586
2015-05-29,0.00969577857802939
2015-06-01,0.003649115173571582
2015-06-02,0.007462469295546947
2015-06-03,0.006838010985659171
2015-06-04,0.0007542907146986799
2015-06-05,-0.018473219474893
2015-06-08,-0.012867213378058073
2015-06-09,0.0023348784403662837
2015-06-10,0.00912245975278525
2015-06-11,0.0032695631359784816
2015-06-12,-0.006134817991176544
2015-06-15,0.00038575595955192554
2015-06-16,0.014076205567301825
2015-06-17,0.01445142487734108
2015-06-18,0.004498882154144956
2015-06-19,-0.005784820872916208
2015-06-22,0.003003024490180195
2015-06-23,0.002432564504265322
2015-06-24,-0.008773304855489661
2015-06-25,0.002259934738495062
2015-06-26,-0.002462190754322413
2015-06-29,-0.03569419455289646
2015-06-30,0.0074818225362518476
2015-07-01,0.004299532112652216
2015-07-02,-0.0001946414077055314
2015-07-06,-0.015764685437817394
2015-07-07,0.005338863472301281
2015-07-08,-0.02596397614883006
2015-07-09,0.014943765247826812
2015-07-10,0.02288083606181779
2015-07-13,0.010309618299109369
2015-07-14,0.021178045222949082
2015-07-15,-0.01772266453860738
2015-07-16,0.0024956619376585998
2015-07-17,-0.020295188159886957
2015-07-20,-0.012702656095704867
2015-07-21,-0.008313713924792299
2015-07-22,-0.001995857702153714
2015-07-23,-0.0448000647300032
2015-07-24,-0.03747892390772356
2015-07-27,-0.007396157057228403
2015-07-28,0.02235372940460678
2015-07-29,0.016720153049331943
2015-07-30,-0.00021089232515691947
2015-07-31,-0.007591588734464638
2015-08-03,-0.012749723404612556
2015-08-04,0.004950557660051924
2015-08-05,0.009424232817802913
2015-08-06,-0.011245712674147756
2015-08-07,-0.0236053209640138
2015-08-10,0.025054909364387257
2015-08-11,-0.028945244659639435
2015-08-12,0.009053133164009353
2015-08-13,-0.01597386319484362
2015-08-14,-0.0015567009744137383
2015-08-17,0.01269474716741481
2015-08-18,-0.015834389243978397
2015-08-19,-0.013854909445559116
2015-08-20,-0.010423804078979026
2015-08-21,-0.02404385639246187
2015-08-24,-0.053261323786714776
2015-08-25,-0.023791615659724652
2015-08-26,0.04214257190039117
2015-08-27,0.06211927714649379
2015-08-28,0.009174471097561865
2015-08-31,-0.005454823427596622
