Date,EQIX
2015-01-05,-0.010280038599880248
2015-01-06,-0.021799207784081398
2015-01-07,0.0032813087802563423
2015-01-08,0.01194642378669819
2015-01-09,-0.026438655325972005
2015-01-12,-4.616869157925141e-05
2015-01-13,0.0017059804176309257
2015-01-14,0.007502964096249842
2015-01-15,-0.0030608982576610932
2015-01-16,0.009302846073173221
2015-01-20,0.009807366785343108
2015-01-21,0.004586128516919752
2015-01-22,0.02564686803438665
2015-01-23,0.006328116534997319
2015-01-26,-0.005160659130791223
2015-01-27,-0.03273618941610168
2015-01-28,-0.02163142430861964
2015-01-29,0.02220175661558521
2015-01-30,-0.022801071147578345
2015-02-02,0.005257029166903404
2015-02-03,0.02568799239847963
2015-02-04,-0.006619099843276133
2015-02-05,0.016567715583301723
2015-02-06,-0.0282107627233662
2015-02-09,-0.009707023523711222
2015-02-10,0.011597019841761425
2015-02-11,0.005686171295344211
2015-02-12,0.030171557856661924
2015-02-13,-0.00017561938402599342
2015-02-17,-0.011067336189228394
2015-02-18,0.01656466101052123
2015-02-19,0.002184405728997696
2015-02-20,0.026023510584766152
2015-02-23,-0.010281387255856478
2015-02-24,-0.0033912026640962045
2015-02-25,-0.016281338406829327
2015-02-26,-0.00871333097504512
2015-02-27,-0.009805385568945835
2015-03-02,-0.002408728611149047
2015-03-03,-0.011268252989181549
2015-03-04,0.01225586217672281
2015-03-05,0.046776627749659294
2015-03-06,0.005207128808686123
2015-03-09,-0.011033863741939598
2015-03-10,-0.015567529353319398
2015-03-11,-0.0027673545127722132
2015-03-12,0.019689612428273495
2015-03-13,-0.00431976146879931
2015-03-16,0.024513297342818374
2015-03-17,-0.00796172162730846
2015-03-18,0.009604949156765574
2015-03-19,-0.0025790420040930906
2015-03-20,0.012929210512501399
2015-03-23,-0.0012557124657706087
2015-03-24,-0.03063030464159977
2015-03-25,-0.010720535595361458
2015-03-26,-0.0043692331402244156
2015-03-27,0.008206894539853016
2015-03-30,0.01954439792777163
2015-03-31,-0.005849258194021045
2015-04-01,0.003178368749200411
2015-04-02,0.008604657645531422
2015-04-06,-0.0019101456685542972
2015-04-07,-0.0036572543552536585
2015-04-08,0.02048746239429655
2015-04-09,0.004057136122615157
2015-04-10,-0.0017079550973382318
2015-04-13,0.0005006400121752019
2015-04-14,0.007173569606191643
2015-04-15,-0.0012420235876144936
2015-04-16,0.0015338706192586926
2015-04-17,-0.022437391137825835
2015-04-20,0.0157954175496815
