Date,MPC
2015-01-05,-0.027826342359981382
2015-01-06,-0.009877846326549311
2015-01-07,0.008275977206441354
2015-01-08,0.023499144528249527
2015-01-09,-0.027902882006569096
2015-01-12,-0.03469322473556169
2015-01-13,-0.0533834797235897
2015-01-14,-0.0399457652948092
2015-01-15,-0.01004762512071744
2015-01-16,0.009238787569308515
2015-01-20,0.0368750176771282
2015-01-21,0.0065899920066934126
2015-01-22,0.037307240666676345
2015-01-23,0.03798975812704497
2015-01-26,0.011817471705482196
2015-01-27,0.005556248504922534
2015-01-28,0.00687868038250139
2015-01-29,0.008063452446776642
2015-01-30,0.028663463984625936
2015-02-02,0.014580577331443356
2015-02-03,0.020012476005409452
2015-02-04,0.003861674363131451
2015-02-05,0.011539798164262427
2015-02-06,0.01623828200080335
2015-02-09,0.013045572420370188
2015-02-10,0.02006585224173718
2015-02-11,-0.012330839078727007
2015-02-12,0.004756288904639305
2015-02-13,0.025570030637537267
2015-02-17,0.003285534043384386
2015-02-18,0.0078020475270430545
2015-02-19,0.009748669701364676
2015-02-20,-0.0007574402800109015
2015-02-23,0.007388523201150576
2015-02-24,-0.011001252673702666
2015-02-25,-0.004944011806738646
2015-02-26,0.022740042493028856
2015-02-27,-0.01905806932860543
2015-03-02,-0.030666712352345638
2015-03-03,0.00972687359808444
2015-03-04,-0.007395030720331763
2015-03-05,-0.002548927665295908
2015-03-06,-0.032039425567977564
2015-03-09,0.012996444183637879
2015-03-10,-0.036584446470060095
2015-03-11,0.007803010031065538
2015-03-12,-0.012387912269781198
2015-03-13,0.0055399298398706165
2015-03-16,0.01933498025800895
2015-03-17,-0.0032636259225145015
2015-03-18,0.033456490460991084
2015-03-19,-0.00940526725793489
2015-03-20,0.021987244906273462
2015-03-23,0.0015642767981931538
2015-03-24,-0.007029997559570678
2015-03-25,0.013569521454664724
2015-03-26,-0.021342455329934507
2015-03-27,-0.012192996936369549
2015-03-30,0.032614434124587977
2015-03-31,-0.004956437188388896
2015-04-01,-0.006152895555504689
2015-04-02,-0.04599062528493514
2015-04-06,0.015039159115228795
2015-04-07,-0.0030443585794716066
2015-04-08,0.0040712544485843605
2015-04-09,0.012368470026389966
2015-04-10,0.005607923612398702
2015-04-13,-0.03196585247196848
2015-04-14,0.008538176412864251
2015-04-15,-0.00010193536632507882
2015-04-16,0.02009586979101452
2015-04-17,-0.012799985861483787
2015-04-20,0.006179275281023466
2015-04-21,0.0068456068780142765
2015-04-22,0.021197976458777523
2015-04-23,-0.004308010825648911
2015-04-24,0.014357269944213158
2015-04-27,-0.002036329621666111
2015-04-28,-0.004176826339595041
2015-04-29,0.00019528868860829718
2015-04-30,-0.03862287924086416
2015-05-01,0.0414933167129401
2015-05-04,-0.013734669234193309
2015-05-05,0.005728446195204073
2015-05-06,-0.007954930154818629
2015-05-07,0.01653155825955177
2015-05-08,0.021326399811015584
2015-05-11,-0.024790272419672243
2015-05-12,-0.009288176936345649
2015-05-13,0.009375255972642993
2015-05-14,0.02375856540833432
2015-05-15,-0.01203333842357801
2015-05-18,0.012821662688592417
2015-05-19,-9.598402247557036e-05
2015-05-20,0.0006716514200422186
2015-05-21,-0.0064221124325738455
2015-05-22,-0.005595288819935651
2015-05-26,-0.02561119281112134
2015-05-27,0.005177324834815922
2015-05-28,0.01792786175099148
2015-05-29,0.0067142664613975
2015-06-01,0.0008700121152069862
2015-06-02,-0.005022030146132672
2015-06-03,-0.008056255394859213
2015-06-04,-0.018296994578816284
2015-06-05,0.005880334182036595
2015-06-08,-0.0045577829197819275
2015-06-09,-0.011248161614713204
2015-06-10,0.02476570962063196
2015-06-11,0.02230050316262333
2015-06-12,-0.01921925196849994
2015-06-15,0.000587964313069067
2015-06-16,0.0025456647581356684
2015-06-17,0.0021493017760192412
2015-06-18,0.012475314969459639
2015-06-19,-0.0007700495568864207
2015-06-22,-0.00019263553346982043
2015-06-23,0.005781289105108112
2015-06-24,-0.009771929145364622
2015-06-25,-0.0046441495839134594
2015-06-26,0.010303427776842122
2015-06-29,-0.021550754703469344
2015-06-30,0.02871181366663844
2015-07-01,0.027910553980297514
2015-07-02,0.004463245299564544
2015-07-06,0.013886635587584406
2015-07-07,0.014243779488540831
2015-07-08,-0.028267686035234996
2015-07-09,-0.010931806199394045
2015-07-10,0.02079400516364105
2015-07-13,0.07872998167032774
2015-07-14,0.00017008820008213021
2015-07-15,-0.021772306123077678
2015-07-16,0.016866716514158497
2015-07-17,0.0017099652287377864
2015-07-20,-0.0179245216423779
2015-07-21,-0.006604970055036685
2015-07-22,-0.001400064297078174
2015-07-23,-0.012966596421611243
2015-07-24,-0.00017739307815745065
2015-07-27,-0.03302541018855609
2015-07-28,0.000917997655939029
2015-07-29,0.023848929253598827
2015-07-30,-0.03350652354377992
2015-07-31,0.013533564474269566
2015-08-03,-0.026888676438837078
2015-08-04,-0.01898508498884044
2015-08-05,-0.009771929145364622
2015-08-06,0.009094539721041128
2015-08-07,-0.018791896863329827
2015-08-10,0.0408441925574774
2015-08-11,0.048816820582776366
2015-08-12,0.03473005321965106
2015-08-13,-0.01401399425189509
2015-08-14,-0.023337400994277613
2015-08-17,0.009577166923592673
2015-08-18,-0.0069803658115588085
2015-08-19,-0.017664107205807578
2015-08-20,-0.0222020350815072
2015-08-21,-0.09213738973718766
2015-08-24,-0.05291439792144448
2015-08-25,-0.04474002390911125
2015-08-26,0.03998180321311695
2015-08-27,0.02526326428274328
2015-08-28,0.011784889880122718
2015-08-31,0.0019058365528032972
2015-09-01,-0.026421397434434946
2015-09-02,0.01628308224928232
