Date,DTE
2015-01-05,-0.009768981135684918
2015-01-06,-0.0015087261307599187
2015-01-07,0.01185655133444441
2015-01-08,0.004594804293951427
2015-01-09,-0.007432788510042254
2015-01-12,-0.0008060513373188138
2015-01-13,0.005649478772912664
2015-01-14,0.010777204431163367
2015-01-15,0.009187651392358553
2015-01-16,0.011127485132863324
2015-01-20,0.0013338804938136661
2015-01-21,0.008770170767646635
2015-01-22,-0.0018706058879517373
2015-01-23,0.005953452441199714
2015-01-26,-0.003397440336455282
2015-01-27,0.00406895268534857
2015-01-28,-0.011719451810398573
2015-01-29,0.014518485338752107
2015-01-30,-0.020537407557442378
2015-02-02,0.009145497879720965
2015-02-03,-0.004973004203815412
2015-02-04,-0.01566179910752774
2015-02-05,0.010719957288466642
2015-02-06,-0.048230822126053785
2015-02-09,-0.003987996304281594
2015-02-10,0.021080909944154236
2015-02-11,-0.023067870875698393
2015-02-12,-0.008382656851793513
2015-02-13,-0.02893210108769717
2015-02-17,0.00429184181051534
2015-02-18,0.031619740941066565
2015-02-19,-0.013017817243643703
2015-02-20,-0.0023979481601922314
2015-02-23,0.008413489573475097
2015-02-24,0.0035755996493260778
2015-02-25,-0.017101850287323028
2015-02-26,-0.009666810077992638
2015-02-27,0.0008541945158428987
2015-03-02,-0.019383432266968148
2015-03-03,0.0034809468251300046
2015-03-04,-0.0017343176951247763
2015-03-05,0.006949481039350447
2015-03-06,-0.033645395543458356
2015-03-09,0.0007653038453454553
2015-03-10,0.003950329860408663
2015-03-11,-0.007996779674993681
2015-03-12,0.012780618168448
2015-03-13,-0.009305007249590047
2015-03-16,0.016082994091974667
2015-03-17,-0.004432198755192518
2015-03-18,0.020097098756910237
2015-03-19,-0.007730789152911144
2015-03-20,0.02500621706126438
2015-03-23,-0.002206889214764529
2015-03-24,-0.012409283825445261
2015-03-25,-0.010450084897622669
2015-03-26,-0.0011316062330635202
2015-03-27,0.008936259082771736
2015-03-30,0.007110832355726959
2015-03-31,-0.0004952796490295119
