Date,DXCM
2015-01-05,0.01742800939629041
2015-01-06,-0.02253876705075475
2015-01-07,0.025641014815043217
2015-01-08,0.049820153485309326
2015-01-09,-0.0030837811970124696
2015-01-12,0.014435472974944075
2015-01-13,0.016262966610573804
2015-01-14,-0.01416906592825562
2015-01-15,-0.02908355154640374
2015-01-16,0.026994132727020892
2015-01-20,-0.024927949640045743
2015-01-21,-0.021913014287534005
2015-01-22,0.033250335634338324
2015-01-23,-0.002925520252228253
2015-01-26,0.08353469567320215
2015-01-27,-0.007327159818683371
2015-01-28,-0.02775994144268279
2015-01-29,0.006766790664789246
2015-01-30,-0.020000020011526676
2015-02-02,0.025593888009981303
2015-02-03,-0.0014679522194089856
2015-02-04,-0.0037569346234928025
2015-02-05,0.016887993949023405
2015-02-06,0.007416947453683376
2015-02-09,-0.01424454859425539
2015-02-10,0.017860017395614047
2015-02-11,0.011166067606854568
2015-02-12,-0.022874282645540367
2015-02-13,0.011947072891081767
2015-02-17,-0.00430760141112152
2015-02-18,0.003204626877558736
2015-02-19,0.006867917281327962
2015-02-20,0.021890819057365674
2015-02-23,-0.013815576140104202
2015-02-24,-0.03022191414823383
2015-02-25,0.028079849457843586
2015-02-26,-0.02178719710752719
2015-02-27,-0.019690081085097955
2015-03-02,-0.017780734297173417
2015-03-03,-0.01022461635788996
2015-03-04,0.014055916033505422
2015-03-05,0.01118901397785832
2015-03-06,-0.01585465064523195
2015-03-09,0.00033563446404527575
2015-03-10,-0.018621046787219875
2015-03-11,0.024102561494224073
2015-03-12,-0.003171400887880149
2015-03-13,0.005190849836859801
2015-03-16,0.0494752837097745
2015-03-17,-0.010952359154110858
2015-03-18,0.0030492476732704166
2015-03-19,0.015039978027343803
2015-03-20,-0.023171460243174957
2015-03-23,-0.006938846162748313
2015-03-24,-0.005199864966909384
2015-03-25,-0.0236850822284711
2015-03-26,-0.023423147317327087
2015-03-27,0.030666454484883587
2015-03-30,0.030252654578464266
2015-03-31,0.005808335156670008
2015-04-01,-0.013634880847619102
2015-04-02,0.02374368262513693
2015-04-06,0.006830822874730469
2015-04-07,-0.0026822653956707354
2015-04-08,0.015820281830151828
2015-04-09,0.012303393969653298
2015-04-10,0.04446152907151446
2015-04-13,-0.006922981660459238
2015-04-14,0.007119599079946193
2015-04-15,0.00868919476630281
2015-04-16,-0.008176340722153563
2015-04-17,-0.007802131266242518
2015-04-20,0.015133481008524408
2015-04-21,0.02791586836049187
2015-04-22,-0.014929660520699328
2015-04-23,0.01847573328305807
2015-04-24,-0.016014700857658104
2015-04-27,-0.026933641629879546
2015-04-28,0.0069567974790925025
2015-04-29,-0.013229480259123516
2015-04-30,0.006554483232663166
2015-05-01,-0.006659715114319509
2015-05-04,0.01594159194039535
2015-05-05,-0.029183244198796143
2015-05-06,0.0018127303944719397
2015-05-07,0.017491008254632234
2015-05-08,0.006224038945637611
2015-05-11,-0.004418306995817578
2015-05-12,0.007100641535034313
2015-05-13,-0.004553542591811066
2015-05-14,0.017116773197126234
2015-05-15,-0.007834047775084563
2015-05-18,0.025003642341477894
2015-05-19,-0.004422219191747789
2015-05-20,-0.008883833478272485
2015-05-21,-0.013300537708534454
2015-05-22,0.006300370771806341
2015-05-26,-0.00043679061100143635
2015-05-27,0.04355422865711667
2015-05-28,-0.005164750833812737
2015-05-29,0.0063140816449092085
2015-06-01,0.008784122179241072
2015-06-02,0.0033171785602092996
2015-06-03,-0.0015152636245501228
2015-06-04,-0.008554121383366642
2015-06-05,0.010436960668380069
2015-06-08,-0.011981858411635904
2015-06-09,-0.011708898284130576
2015-06-10,0.017912505158449887
2015-06-11,0.016904548311712286
2015-06-12,-0.01294450137815617
2015-06-15,-0.000966312706585537
2015-06-16,0.005803484220057609
2015-06-17,0.029949172657734557
2015-06-18,0.03241296872894717
2015-06-19,0.0028423929763046196
2015-06-22,0.0024477558011950507
2015-06-23,0.001542253570843144
2015-06-24,-0.010650607311746163
2015-06-25,0.00856035895164009
2015-06-26,0.023662503695242698
2015-06-29,-0.006281407155586227
2015-06-30,0.011125219972038414
2015-07-01,-0.0026257402482214864
2015-07-02,-0.005139727340711664
2015-07-06,0.004410262996840775
2015-07-07,0.017061857056481777
2015-07-08,-0.01924259978371934
2015-07-09,0.008175091289335024
2015-07-10,0.016092729880232914
2015-07-13,0.006875447623946984
2015-07-14,0.003048408651236345
2015-07-15,-0.016411359580144058
2015-07-16,0.0341119068336968
2015-07-17,0.001434238666286669
2015-07-20,-0.0036996963266091587
2015-07-21,0.012577807620273385
2015-07-22,0.010410563060696765
2015-07-23,-0.0032783795420398
2015-07-24,-0.023963361697928898
2015-07-27,-0.016728841628490643
2015-07-28,0.020930315517031062
2015-07-29,0.001798272268300094
2015-07-30,0.004308288904617541
2015-07-31,0.008698800915891036
2015-08-03,-0.0014176343109142397
2015-08-04,0.0047320659133485155
2015-08-05,0.01200985092901563
2015-08-06,0.08563119106081696
2015-08-07,-0.016611247057315204
2015-08-10,-0.01602006524063393
2015-08-11,0.06224391061685708
2015-08-12,-0.0009384210598326614
2015-08-13,0.013045293299740246
2015-08-14,0.011435053197087264
2015-08-17,-0.0007129730556797442
2015-08-18,-0.014779298126813
2015-08-19,-0.012000865075117884
2015-08-20,-0.05151830543398228
2015-08-21,-0.006292776366767505
2015-08-24,-0.05021668886997577
2015-08-25,0.04772490271383889
2015-08-26,0.021882316525071
2015-08-27,0.024145079361374666
2015-08-28,0.004800560997352488
2015-08-31,-0.0005308743015366435
2015-09-01,-0.06713405285531748
2015-09-02,0.01764977291213965
