Date,PNW
2015-01-05,-0.0067014461434553585
2015-01-06,0.003373540265860564
2015-01-07,0.023241973256526105
2015-01-08,0.001714395405150615
2015-01-09,-0.014689235676688228
2015-01-12,-0.00014451201665310887
2015-01-13,0.0021714090258673213
2015-01-14,0.010688885761587885
2015-01-15,0.009003570487751134
2015-01-16,0.011614715499665973
2015-01-20,0.007561231503925292
2015-01-21,0.0069480553234195774
2015-01-22,0.00013794984296189305
2015-01-23,-0.002897500013896326
2015-01-26,-0.0006918970713911676
2015-01-27,-0.0016619258400459858
2015-01-28,-0.010681204373924724
2015-01-29,0.01010962822004191
2015-01-30,-0.017637098215904756
2015-02-02,0.0009976474093367216
2015-02-03,0.0029891469684368843
2015-02-04,-0.009367054242658823
2015-02-05,0.0002864771268371591
2015-02-06,-0.04339719164448885
2015-02-09,-0.004341975560431255
2015-02-10,0.01654147649147597
2015-02-11,-0.00858031898144751
2015-02-12,-0.001193270987038808
2015-02-13,-0.02703923854503454
2015-02-17,-0.0024563217383685165
2015-02-18,0.02616573470662975
2015-02-19,-0.012599395593305807
2015-02-20,-0.0009116942976412634
2015-02-23,0.003953268105537644
2015-02-24,0.0004543368557330396
2015-02-25,-0.018770786060464784
2015-02-26,-0.006479275711423038
2015-02-27,-0.004968861100775435
2015-03-02,-0.01903890522109386
2015-03-03,0.01113577496734286
2015-03-04,-0.007709095858620119
2015-03-05,0.00729332803354743
2015-03-06,-0.024555484443246733
2015-03-09,0.0020981175693588483
2015-03-10,0.0025762628006764654
2015-03-11,-0.00738839881698361
2015-03-12,0.019417664891972164
2015-03-13,-0.014603226594220642
2015-03-16,0.01884702132713456
2015-03-17,0.0012644849616965104
2015-03-18,0.024317105559690022
2015-03-19,-0.013565763267719078
2015-03-20,0.011564729954753439
2015-03-23,0.0013900313058994307
2015-03-24,-0.014193114215678482
2015-03-25,-0.01330212149860388
2015-03-26,-0.007771634768555247
2015-03-27,0.007832506145641682
2015-03-30,0.011895448002409825
2015-03-31,-0.0007836357604456001
2015-04-01,0.004548938348310161
2015-04-02,-0.005933793411955768
