Date,COP
2015-01-05,-0.047591526390930006
2015-01-06,-0.04128573658391854
2015-01-07,0.00667415390265802
2015-01-08,0.024940664618765984
2015-01-09,-0.00015383906752597376
2015-01-12,-0.028496747043395998
2015-01-13,-0.009988966278480227
2015-01-14,0.002882786421633865
2015-01-15,-0.019322561619890544
2015-01-16,0.0271938659051032
2015-01-20,0.001743894862503259
2015-01-21,0.021364279378699447
2015-01-22,0.011775764339146066
2015-01-23,-0.009954102421267486
2015-01-26,0.01809723109434702
2015-01-27,-0.004253963593634391
2015-01-28,-0.045163070430181085
2015-01-29,0.0038350581320194532
2015-01-30,0.0025465687113652713
2015-02-02,0.0442997343687761
2015-02-03,0.029953158127174362
2015-02-04,-0.027605430321127944
2015-02-05,0.02580817668834756
2015-02-06,-0.0011842906540804332
2015-02-09,0.005334635956717904
2015-02-10,0.002063344445812909
2015-02-11,-0.0016178778651724235
2015-02-12,0.01325404760375326
2015-02-13,0.027042834623496992
2015-02-17,-0.005867264418165874
2015-02-18,-0.025046644811474228
2015-02-19,-0.004577311006387141
2015-02-20,-0.0005931644625404298
2015-02-23,-0.006826932359304316
2015-02-24,0.0025402586588978426
2015-02-25,0.006558559343180059
2015-02-26,-0.024877962989029778
2015-02-27,-0.009870822757442221
2015-03-02,-0.01226998048300798
2015-03-03,0.0059009578927426976
2015-03-04,-0.008182092030846966
2015-03-05,-0.014319110547368785
2015-03-06,-0.008526466184465509
2015-03-09,-0.013059461671985018
2015-03-10,-0.01775052213195527
2015-03-11,0.007064496747642979
2015-03-12,0.0009785758035347758
2015-03-13,0.004563343923200902
2015-03-16,0.012329585415275401
2015-03-17,-0.006250057252044416
2015-03-18,0.02628632081639526
2015-03-19,-0.013828125168929284
2015-03-20,0.017208314158496885
2015-03-23,-0.009554847457458493
2015-03-24,-0.010754433365135485
2015-03-25,0.007993442042024013
2015-03-26,0.0030135697941924278
2015-03-27,-0.004901963245820706
2015-03-30,0.017002786349327392
2015-03-31,-0.027187357217727803
2015-04-01,0.01220723256427192
2015-04-02,0.0025384816040288083
2015-04-06,0.034979807903667615
2015-04-07,0.006116920317509322
2015-04-08,-0.014895960607808956
2015-04-09,0.03379103200243039
2015-04-10,-0.0070147155777716685
2015-04-13,-0.002855937749148718
2015-04-14,0.030449238822881197
2015-04-15,0.015213224770856959
2015-04-16,-0.005619345116438024
2015-04-17,-0.019127645665163118
2015-04-20,0.013591568628355422
2015-04-21,-0.008599583655460652
2015-04-22,-0.0020581515945247153
2015-04-23,0.005598200192555858
2015-04-24,-0.010987370796277762
2015-04-27,-0.006665848716608913
2015-04-28,0.010140295849259795
2015-04-29,0.004724070099346722
2015-04-30,-0.0020571747449178446
2015-05-01,-0.00706689742716593
2015-05-04,-0.006228025352840172
2015-05-05,0.002685881460476436
2015-05-06,0.00044632966506052973
2015-05-07,-0.009073210439470514
2015-05-08,0.008255777029987366
