Date,CDW
2015-01-05,-0.010614113342552689
2015-01-06,-0.01449705368721288
2015-01-07,0.02088869043297481
2015-01-08,0.025072126913215254
2015-01-09,0.003935758222350705
2015-01-12,0.0
2015-01-13,0.01596205897952574
2015-01-14,-0.02122399020518506
2015-01-15,-0.003660687644143734
2015-01-16,0.011023018535154083
2015-01-20,-0.007268757373949719
2015-01-21,-0.0016893623665370505
2015-01-22,0.008180056683965153
2015-01-23,0.0
2015-01-26,-0.0013985225320019001
2015-01-27,-0.030260436747308272
2015-01-28,-0.001156374518404446
2015-01-29,0.005496393673863231
2015-01-30,-0.014384569186125074
2015-02-02,0.00029193765813673167
2015-02-03,0.029180428255471735
2015-02-04,-0.003969599271804514
2015-02-05,0.009393584769205265
2015-02-06,0.014664788213607949
2015-02-09,0.0019450968091163645
2015-02-10,0.009708863739170903
2015-02-11,-0.01126309330178743
2015-02-12,0.011391395653874481
2015-02-13,0.01730800878853489
2015-02-17,0.017823315300847797
2015-02-18,0.006633045221026368
2015-02-19,-0.003953806144488037
2015-02-20,-0.0010586697049238536
2015-02-23,0.00790834040145083
2015-02-24,0.002896349348868066
2015-02-25,-0.0015751315971488378
2015-02-26,0.0036812928689751168
2015-02-27,-0.014147480888980546
2015-03-02,0.009832601335749702
2015-03-03,0.00473703780089707
2015-03-04,-0.003928714526490351
2015-03-05,-0.007363035938863671
2015-03-06,-0.009535799186847549
2015-03-09,-0.0021401421640517837
2015-03-10,-0.024926159033010875
2015-03-11,-0.007696396653329329
2015-03-12,-0.01468161612669261
2015-03-13,0.01068326700514266
2015-03-16,0.010848351441104853
2015-03-17,-0.0022015086535627226
2015-03-18,0.01323795983566356
2015-03-19,0.015786610186473204
2015-03-20,0.012057857253862103
2015-03-23,0.005559837981509386
2015-03-24,-0.003949177972102369
2015-03-25,-0.012160059342420149
2015-03-26,-0.01070346514218068
2015-03-27,0.022991857964462126
2015-03-30,-0.0018515454406146103
2015-03-31,-0.013509379554537237
2015-04-01,-0.013426577027422781
2015-04-02,-0.0019051580117294131
2015-04-06,0.006817757100434418
2015-04-07,0.007041832239766288
2015-04-08,0.020710228109988016
2015-04-09,0.011067271869267481
2015-04-10,0.0013031609517559772
2015-04-13,0.0013011307103278913
2015-04-14,-0.01143738599720201
2015-04-15,0.011306795940358327
2015-04-16,-0.0070205139859385035
2015-04-17,-0.009426156932629493
2015-04-20,0.012688108219357508
2015-04-21,0.010702502039867223
2015-04-22,0.00542342535944651
2015-04-23,0.0023116616927916223
2015-04-24,-0.003844359072746606
2015-04-27,-0.003601298863758484
2015-04-28,0.0
2015-04-29,-0.003614867672568467
2015-04-30,-0.006996640880325589
2015-05-01,0.009133806376306453
2015-05-04,0.003878710008482056
2015-05-05,0.0012877241485160784
2015-05-06,-0.005917300505838052
2015-05-07,-0.04321904612518823
2015-05-08,-0.0073032293171167995
2015-05-11,0.00027232877255523036
2015-05-12,0.0059926333843640656
2015-05-13,0.0016250718886554605
2015-05-14,0.010272800793617476
2015-05-15,0.005619808849758545
2015-05-18,-0.0010642624782896126
2015-05-19,-0.020511844039840632
2015-05-20,-0.0013594012115876186
2015-05-21,0.01222305644252164
2015-05-22,-0.0018868621994077017
2015-05-26,-0.016473212555080274
2015-05-27,0.012355351856663699
2015-05-28,0.002170595705228706
2015-05-29,0.004059375477315941
2015-06-01,-0.0026953858186961055
2015-06-02,-0.00324352798388694
2015-06-03,0.0024408516313219053
2015-06-04,-0.013254360791480457
2015-06-05,0.0027410787869546205
2015-06-08,-0.00492022087326649
2015-06-09,0.004944549147189337
