Date,HD
2015-01-05,-0.020980265155081335
2015-01-06,-0.003061657704471643
2015-01-07,0.03427440088518918
2015-01-08,0.022124450372100313
2015-01-09,-0.017147595177637753
2015-01-12,-0.004481085849370459
2015-01-13,-0.0066079848804432295
2015-01-14,-0.010507673511028881
2015-01-15,-0.015880641940842266
2015-01-16,0.030788749063262344
2015-01-20,-0.008355795754461881
2015-01-21,0.002711777274406746
2015-01-22,0.024534134739261804
2015-01-23,-0.0065993868095052255
2015-01-26,0.00939554421651545
2015-01-27,-0.01128263576403532
2015-01-28,-0.003993878496278969
2015-01-29,0.02749671881810567
2015-01-30,-0.02973444469145048
2015-02-02,9.596425906011063e-05
2015-02-03,0.026907963876800833
2015-02-04,0.010910003728531681
2015-02-05,0.005350093912850573
2015-02-06,0.0004587173621566354
2015-02-09,-0.00641963541174051
2015-02-10,0.021506694324816777
2015-02-11,-0.003253173781847307
2015-02-12,0.016770947187680907
2015-02-13,-0.0024071853495312157
2015-02-17,0.0009833880924494665
2015-02-18,-8.938236783828657e-05
2015-02-19,-0.009376142427939715
2015-02-20,0.011717982844700714
2015-02-23,0.00035641741730207954
2015-02-24,0.03981119735656824
2015-02-25,-0.003768722851322348
2015-02-26,-0.00799580755735263
2015-02-27,-0.005460126917274821
2015-03-02,0.011938915444565046
2015-03-03,-0.00043105530826126337
2015-03-04,-0.01128574184624187
2015-03-05,0.010020710545407763
2015-03-06,-0.01259615197641717
2015-03-09,0.0069900207717650265
2015-03-10,-0.018314732391358945
2015-03-11,0.004530712966362982
2015-03-12,0.026797590878207878
2015-03-13,-0.011024897405578882
2015-03-16,0.014631129197989035
2015-03-17,-0.007896492777011765
2015-03-18,0.004325991348521185
2015-03-19,-0.007925561686291882
2015-03-20,0.02023236571604281
2015-03-23,-0.012086116024334292
2015-03-24,0.0006893806855821083
2015-03-25,-0.021265483873771585
2015-03-26,-0.011523620339097707
2015-03-27,0.013259817703098475
2015-03-30,0.006762552979910463
2015-03-31,-0.008898134750224163
2015-04-01,-0.004224906484629476
2015-04-02,0.012463528307799177
2015-04-06,0.0035793898672120683
2015-04-07,-0.005654578232305862
2015-04-08,0.011286248260263587
2015-04-09,-0.008824568040837533
2015-04-10,0.0058482103708636934
2015-04-13,-0.006942024455151796
2015-04-14,-0.0034078659817005086
2015-04-15,-0.005261119650830426
2015-04-16,-0.000704787722164979
2015-04-17,-0.011202443366153059
2015-04-20,0.006779708276754892
2015-04-21,0.0027467588933145493
2015-04-22,-0.001590360226326748
2015-04-23,0.008584665884982412
2015-04-24,-0.0022815651579574103
2015-04-27,-0.020316464757892616
2015-04-28,-0.007272071617970832
2015-04-29,-0.01691069257475941
2015-04-30,-0.015913868768132944
2015-05-01,0.024023262420974856
2015-05-04,0.004655110661997863
2015-05-05,-0.018171930258129687
2015-05-06,0.0023136112385719887
2015-05-07,0.015973000894538902
2015-05-08,0.02208253847833319
2015-05-11,-0.005067817018637011
