Date,FI
2015-01-05,-0.01132827840050643
2015-01-06,0.0010025736913517047
2015-01-07,0.013592745121455696
2015-01-08,0.020327534102878353
2015-01-09,-0.0029053553959494938
2015-01-12,-0.0013875187254687171
2015-01-13,0.0034736695256312178
2015-01-14,-0.0059540334797517636
2015-01-15,-0.000975061901818175
2015-01-16,0.018404903407101214
2015-01-20,0.0015060324339095654
2015-01-21,-0.009979539872946308
2015-01-22,0.016708079467910197
2015-01-23,0.005840015227704276
2015-01-26,0.003375641483139402
2015-01-27,-0.014399135109384398
2015-01-28,-0.005461517443281938
2015-01-29,0.014140670791818799
2015-01-30,-0.018140028664709318
2015-02-02,0.012546583171446635
2015-02-03,0.014297322813966673
2015-02-04,0.017586323339464638
2015-02-05,0.017414243293933485
2015-02-06,-0.0018153447181333826
2015-02-09,-0.006625124889456546
2015-02-10,0.01346931820131858
2015-02-11,0.002451644405242037
2015-02-12,0.009782397772597928
2015-02-13,0.003186743272468595
2015-02-17,0.0005082708650376855
2015-02-18,0.003937073868412133
2015-02-19,0.0
2015-02-20,0.0
2015-02-23,-0.0030361225034605255
2015-02-24,0.002918454054799291
2015-02-25,-0.0017712473181530353
2015-02-26,-0.0032953375310795785
2015-02-27,-0.007248215911090816
2015-03-02,0.010247253168759185
2015-03-03,-0.004691298766286267
2015-03-04,-0.006624161058170763
2015-03-05,-0.0002565307976376552
2015-03-06,-0.005515653030086054
2015-03-09,0.007867930091009612
2015-03-10,-0.018044484818637407
2015-03-11,0.0028671130155595304
2015-03-12,0.016764145116146212
2015-03-13,-0.010736149806052087
2015-03-16,0.016408225039139968
2015-03-17,-0.0012711132127694036
2015-03-18,0.016163887590673776
2015-03-19,0.00425856691984583
2015-03-20,0.0013719208023557083
2015-03-23,-0.0006227805603143954
2015-03-24,-0.007976064390418092
2015-03-25,-0.022236139158241963
2015-03-26,0.007709089811195335
2015-03-27,-0.00038249112814159325
2015-03-30,0.016964308739403133
2015-03-31,-0.004138991811869608
2015-04-01,0.0022670063188490186
2015-04-02,0.0006282410305722408
2015-04-06,0.0025116737980062087
2015-04-07,-0.00638860233662264
2015-04-08,0.012355060018961916
2015-04-09,-0.0036114683001994274
2015-04-10,-0.011873572706811997
2015-04-13,-0.0013913561061020818
2015-04-14,-0.004306476897187439
2015-04-15,0.003434634791630531
2015-04-16,-0.0029157674384819865
2015-04-17,-0.015511776186065251
2015-04-20,0.009427913651768316
2015-04-21,0.004989756542673973
2015-04-22,0.004837647850472804
2015-04-23,0.010388948329580261
2015-04-24,-0.006018850870640691
2015-04-27,-0.0020183681025655043
2015-04-28,0.005182606870833384
2015-04-29,-0.008802778895781294
2015-04-30,-0.015478320545885937
2015-05-01,0.013659860938551205
2015-05-04,-0.0005085292863596935
2015-05-05,-0.014500118924226313
2015-05-06,0.01819819271585854
2015-05-07,0.003929491202840918
2015-05-08,0.01186871815185242
2015-05-11,0.0008734676236255012
2015-05-12,-0.0028674196504707705
2015-05-13,0.002625644856945941
2015-05-14,0.008604499201953386
2015-05-15,0.0012364751101843208
2015-05-18,0.00592733647371424
2015-05-19,-0.005524146247234185
2015-05-20,0.0012343966360219838
2015-05-21,-0.0025890652557318816
2015-05-22,-0.0040791325689792934
2015-05-26,-0.010053339476998713
2015-05-27,0.012788322664839535
2015-05-28,0.00012381946498662977
2015-05-29,-0.007921764852034219
2015-06-01,0.005115359013218024
2015-06-02,-0.0011171343175024884
2015-06-03,0.011308512724127029
2015-06-04,-0.014499881359067324
2015-06-05,0.0002494298406749973
2015-06-08,-0.007853463889625378
2015-06-09,-0.004397518409665624
2015-06-10,0.014891473207816697
2015-06-11,0.0069635065995876655
2015-06-12,-0.008150205418000489
2015-06-15,-0.009462178026868773
2015-06-16,0.01344896590822775
2015-06-17,0.0037207374671601734
2015-06-18,0.02174721524272516
2015-06-19,0.031200799679360625
2015-06-22,0.009030190017294215
2015-06-23,-0.003951696462892507
2015-06-24,-0.008167992685751746
2015-06-25,-0.0014117970186121598
2015-06-26,0.0015316315624323007
2015-06-29,-0.02564404482289373
2015-06-30,0.0
2015-07-01,0.015453323083435944
2015-07-02,-0.0030912154838157457
2015-07-06,0.005485976062535425
2015-07-07,0.0077096613059106645
2015-07-08,-0.018243825789383217
2015-07-09,0.01246844791358348
2015-07-10,0.022498538715677974
2015-07-13,0.008569749587098219
2015-07-14,0.0035595958321725796
2015-07-15,-0.002402735478333806
2015-07-16,0.011927983557819655
2015-07-17,-0.0021534901300819254
2015-07-20,0.0011358299986508058
2015-07-21,-0.008963023837054052
2015-07-22,0.007097913650974119
2015-07-23,-0.014777799633039712
2015-07-24,-0.007845855769493149
2015-07-27,-0.010815214888703073
2015-07-28,0.006818737922666296
2015-07-29,0.025338605609654063
2015-07-30,-0.0026192430695103353
2015-07-31,-0.008221068801665843
2015-08-03,0.00529586784757452
2015-08-04,0.004924419453488316
2015-08-05,0.009002859436209043
2015-08-06,-0.016828527765558543
2015-08-07,0.0052843086541782824
2015-08-10,0.01519819642547482
2015-08-11,-0.008892315608931112
2015-08-12,0.005451399328821216
2015-08-13,0.007116287038285041
2015-08-14,0.004710611840450074
2015-08-17,0.005916485470679467
2015-08-18,0.0018865627321478229
2015-08-19,-0.005316744949371177
2015-08-20,-0.015367537148268329
2015-08-21,-0.040149236551444534
2015-08-24,-0.040768221662535575
2015-08-25,-0.016459942353605816
2015-08-26,0.05695013832863194
2015-08-27,0.02280515618352852
2015-08-28,0.0025416038228767146
2015-08-31,-0.017400347516376202
2015-09-01,-0.02814581905673763
