Date,SJM
2015-01-05,-0.01632170035539482
2015-01-06,-0.007992459050877976
2015-01-07,0.02233507866451445
2015-01-08,0.014465618319680296
2015-01-09,-0.006391816064276967
2015-01-12,-0.006927901414827464
2015-01-13,0.005979597998806652
2015-01-14,0.00019797787653641485
2015-01-15,0.003367624245499856
2015-01-16,0.005528485699654473
2015-01-20,0.022874195533238106
2015-01-21,0.01775583258136204
2015-01-22,0.007827376474047298
2015-01-23,-0.0035553771106417997
2015-01-26,-0.00037590285721178507
2015-01-27,-0.006387790877396937
2015-01-28,-0.009832761219124575
2015-01-29,0.003532717530008389
2015-01-30,-0.01855359311155058
2015-02-02,0.01279712909054398
2015-02-03,0.013496427221012741
2015-02-04,0.058745565199380234
2015-02-05,0.010972561530093738
2015-02-06,-0.0029116974239394855
2015-02-09,-0.0007965515083302455
2015-02-10,0.0021253415989581637
2015-02-11,-0.011109854374760197
2015-02-12,0.010156324464181798
2015-02-13,0.0133464051293668
2015-02-17,-0.005970630133538712
2015-02-18,0.009627885928477298
2015-02-19,-0.003674414054723796
2015-02-20,-0.0038636299117191797
2015-02-23,-0.0016748793599481449
2015-02-24,0.0019426067349579412
2015-02-25,-0.003172755046923492
2015-02-26,0.018566265922231873
2015-02-27,0.0012150107989044034
2015-03-02,-0.003381228567195249
2015-03-03,-0.007306816620630041
2015-03-04,0.0010514110596824278
2015-03-05,-8.769079055637174e-05
2015-03-06,-0.012780904408385418
2015-03-09,0.002482600478351582
2015-03-10,-0.02052162328579299
2015-03-11,0.0035217465244417046
2015-03-12,0.011879252095408077
2015-03-13,-0.012628906736091516
2015-03-16,0.006845739570884302
2015-03-17,-0.010646249496286897
2015-03-18,0.018265869369507692
2015-03-19,-0.005416874019256168
2015-03-20,0.015268000105164159
2015-03-23,-0.0028142945009526077
2015-03-24,-0.0067908207650621
2015-03-25,0.017936528542409125
2015-03-26,-0.0013958219462151256
2015-03-27,0.013365001318450087
2015-03-30,0.009654390687453107
2015-03-31,-0.01195243952756675
2015-04-01,-0.002160307579830101
2015-04-02,0.004589503475583623
2015-04-06,0.010602408312664346
2015-04-07,-0.011685413466432593
