Date,PEG
2015-01-05,-0.024343726766104967
2015-01-06,0.0012233028813637414
2015-01-07,0.01539202229267933
2015-01-08,0.00866247395586317
2015-01-09,-0.01407434979442268
2015-01-12,0.0014513792939221393
2015-01-13,0.012563654341150254
2015-01-14,0.00906689842058439
2015-01-15,0.008748794830826467
2015-01-16,0.02086280947770569
2015-01-20,-0.0018372223411250443
2015-01-21,0.01909375290537385
2015-01-22,-0.01083502994660368
2015-01-23,0.004107854990045068
2015-01-26,-0.004318424064681858
2015-01-27,-0.0009131909782369441
2015-01-28,-0.012565333435451631
2015-01-29,0.014807575383753324
2015-01-30,-0.02690365137864026
2015-02-02,-0.001639749395961676
2015-02-03,0.0138463099194579
2015-02-04,-0.023611350417925392
2015-02-05,0.016121944039658498
2015-02-06,-0.05296343317595609
2015-02-09,-0.007883919023412567
2015-02-10,0.01688633104399706
2015-02-11,-0.021001336869775122
2015-02-12,-0.00773255886717128
2015-02-13,-0.010558086524056098
2015-02-17,0.007368175098064533
2015-02-18,0.022446234484492456
2015-02-19,-0.006413707092234322
2015-02-20,0.03351528677172322
2015-02-23,0.0233004197537634
2015-02-24,0.01314580344086802
2015-02-25,-0.02154767555356185
2015-02-26,-0.0004736133085404548
2015-02-27,-0.003553815588888898
2015-03-02,-0.026628565900334134
2015-03-03,0.024181993958306114
2015-03-04,-0.014309331911422918
2015-03-05,0.0029030921002517474
2015-03-06,-0.03482684843419248
2015-03-09,0.004794226173113536
2015-03-10,0.006027128800491388
2015-03-11,0.003993786201484273
2015-03-12,0.01566356420485393
2015-03-13,-0.0073433514511586084
2015-03-16,0.016769325353924502
2015-03-17,0.00024281808871573496
2015-03-18,0.023763047476165866
2015-03-19,-0.008289908509199972
2015-03-20,0.005731838454523963
2015-03-23,0.008074145458224269
2015-03-24,-0.014841233177369961
2015-03-25,-0.007651613280706182
2015-03-26,-0.007710940922334597
2015-03-27,0.0036427820214970374
2015-03-30,0.01548478493280836
2015-03-31,-0.0011910577686116142
2015-04-01,-0.01574435875786062
2015-04-02,0.0019389484406506785
2015-04-06,0.02564116792178628
2015-04-07,-0.013207647791249832
2015-04-08,-0.0033462366781689123
