Date,SHW
2015-01-05,-0.0029716911319640493
2015-01-06,-0.0030193483253537767
2015-01-07,0.017058419321167806
2015-01-08,0.02736296860924403
2015-01-09,0.00675006024605973
2015-01-12,-0.012098001747086307
2015-01-13,-0.007229496599511442
2015-01-14,0.0002967994453988432
2015-01-15,0.005088839402596079
2015-01-16,0.011937162552327685
2015-01-20,-0.004784115309436454
2015-01-21,0.002605262348213344
2015-01-22,0.014237728056732069
2015-01-23,-0.011186944366573748
2015-01-26,0.004671211486376503
2015-01-27,-0.0040319088661997515
2015-01-28,-0.01185399398743292
2015-01-29,0.014543107225085894
2015-01-30,-0.013097214908934007
2015-02-02,0.005861078402676467
2015-02-03,0.0026021063418684154
2015-02-04,0.0019373293435882566
2015-02-05,0.013863551262716767
2015-02-06,0.008672568639583877
2015-02-09,-0.021119756583351967
2015-02-10,0.020663865722562846
2015-02-11,-0.007533848256612852
2015-02-12,0.018240533940378834
2015-02-13,0.006996039664391329
2015-02-17,0.003859538496492787
2015-02-18,0.006815856846350554
2015-02-19,-0.004478336761560842
2015-02-20,0.010426590955407322
2015-02-23,-0.0006556200241800703
2015-02-24,0.0036612168221303865
2015-02-25,-0.009875938132871687
2015-02-26,0.00215974892567683
2015-02-27,-0.008689651246548968
2015-03-02,0.019950876829684328
2015-03-03,-0.017051255888629102
2015-03-04,-7.005471228971327e-05
2015-03-05,0.011402445547812556
2015-03-06,-0.00944064264228206
2015-03-09,-0.0024440300837804685
2015-03-10,-0.014978396899036461
2015-03-11,-0.0018121243409306986
2015-03-12,0.01523412501399024
2015-03-13,3.524581171099328e-05
2015-03-16,0.010166600814971005
2015-03-17,-0.007253417894457437
2015-03-18,-0.011361628490981879
2015-03-19,0.005976096504924477
2015-03-20,0.019368043485480824
2015-03-23,-0.007379616626231655
2015-03-24,-0.006947647737734375
2015-03-25,-0.015776830598357217
2015-03-26,-0.007215061619117558
2015-03-27,0.008448723540233738
2015-03-30,0.009088431362955118
2015-03-31,0.0009147961360855827
2015-04-01,0.004639764240817135
2015-04-02,-0.005143287430297461
2015-04-06,0.008897559156753054
2015-04-07,0.002509489520490238
2015-04-08,0.010605057367988335
2015-04-09,0.0013765206613332026
2015-04-10,-0.0013746284568607603
2015-04-13,-0.0029243370482660014
2015-04-14,0.0013457809302694912
2015-04-15,-0.005031365285298683
2015-04-16,-0.017040154709630162
2015-04-17,-0.005884252254478861
2015-04-20,-0.0008147098211335191
2015-04-21,0.0018088739123094388
2015-04-22,-0.002761984867830858
2015-04-23,0.0025567164957551736
2015-04-24,0.0009207084261506626
2015-04-27,0.00102621881649001
2015-04-28,-0.0036410297195054175
2015-04-29,-0.009507546524551325
2015-04-30,-0.004297922385077091
2015-05-01,0.014963735126942934
2015-05-04,-0.0075131410987668845
2015-05-05,-0.01824759134637355
2015-05-06,0.010766796542608592
2015-05-07,0.012630767893059058
2015-05-08,0.020611388150551413
2015-05-11,-0.0008707145491532176
2015-05-12,0.006133152874689962
2015-05-13,-0.00038163448823802515
2015-05-14,0.011704404528106949
2015-05-15,-0.00027493247499632556
2015-05-18,-0.0005836800570110379
2015-05-19,0.004775722831712237
2015-05-20,-0.016310792307863586
2015-05-21,-0.0007645999486363131
2015-05-22,-0.0032703570038433716
2015-05-26,-0.0004189424821363641
2015-05-27,0.011697212254819123
2015-05-28,0.0005868350616076157
2015-05-29,-0.005967397384254114
2015-06-01,0.00020830100437185806
2015-06-02,-0.005967261168926985
2015-06-03,0.0025830523445793396
2015-06-04,-0.01758026739682972
2015-06-05,-0.006484728127670758
2015-06-08,-0.007418313425019751
2015-06-09,-0.0004673412132806254
2015-06-10,0.015529868788680457
2015-06-11,0.0009920964201328708
2015-06-12,-0.006578025646441499
2015-06-15,-0.007297825891644294
2015-06-16,0.0008962971650128271
2015-06-17,0.004012568445485254
2015-06-18,0.01170478964003574
2015-06-19,-0.005361221925204052
2015-06-22,0.011312600993427235
2015-06-23,-0.0023144448880138
2015-06-24,-0.008927356611871828
2015-06-25,0.002198878808936211
2015-06-26,0.0017338241862070447
2015-06-29,-0.02409140437410251
2015-06-30,-0.004524501102463829
2015-07-01,0.021052940422133792
2015-07-02,-0.011181641018387811
2015-07-06,0.00824699803007034
2015-07-07,0.013108977256983456
2015-07-08,-0.009484122109612025
2015-07-09,-0.01256486685099345
2015-07-10,0.0028834506370938318
2015-07-13,0.0139108386792135
2015-07-14,0.007798768009598778
2015-07-15,-0.007457226658696636
2015-07-16,-0.07417777728679686
2015-07-17,0.01829827407871365
2015-07-20,0.006052693997389946
2015-07-21,-0.0023547189859068896
2015-07-22,0.025095158631613712
2015-07-23,-0.011728958215712626
2015-07-24,-0.012422617699488603
2015-07-27,-0.004042861997351266
2015-07-28,0.029318777990710476
2015-07-29,0.01811264568606763
2015-07-30,-0.003156064238944878
2015-07-31,-0.000575613749064452
2015-08-03,0.0016195971985022428
2015-08-04,-0.0024797703775096824
2015-08-05,-0.01026973277082699
2015-08-06,-0.010740264267462218
2015-08-07,-0.008758784155645571
2015-08-10,0.015407897561294348
2015-08-11,-0.009031423489660795
2015-08-12,0.010431264353828684
2015-08-13,0.010396368788826438
2015-08-14,0.01217324502550765
2015-08-17,0.019043019238060177
2015-08-18,0.0013347530535097185
2015-08-19,-0.011049943418540487
2015-08-20,-0.04611230351341278
2015-08-21,-0.028149737447089596
2015-08-24,-0.02689910869759815
2015-08-25,-0.022294551092883252
2015-08-26,0.027749919146941915
2015-08-27,0.014948128841937747
2015-08-28,-0.004858053008367502
2015-08-31,-0.008910661200380865
