Date,RCL
2015-01-05,-0.014948924975657696
2015-01-06,0.00293692457125605
2015-01-07,0.01513155818121903
2015-01-08,0.015867218650104542
2015-01-09,-0.006981780748211985
2015-01-12,-0.007864239349319346
2015-01-13,0.00011990756519075774
2015-01-14,-0.015971975330677624
2015-01-15,-0.0053698991711977895
2015-01-16,0.018282199328516935
2015-01-20,0.00012061042426414481
2015-01-21,0.0025298034422671645
2015-01-22,0.023074355054746087
2015-01-23,-0.007282856005543792
2015-01-26,0.002839924951129058
2015-01-27,-0.00047211654184076135
2015-01-28,-0.034352514403802825
2015-01-29,-0.05513469882973765
2015-01-30,-0.022512088650100792
2015-02-02,-0.010721323568395613
2015-02-03,0.003478311598612338
2015-02-04,-0.008799904121428948
2015-02-05,0.022464538037311632
2015-02-06,-0.004868058995352587
2015-02-09,-0.02498674124129885
2015-02-10,0.028067953647300747
2015-02-11,0.007122021294864167
2015-02-12,0.005107572047502895
2015-02-13,-0.011641888118075872
2015-02-17,-0.017204697419785808
2015-02-18,0.017775450200041787
2015-02-19,0.01839081953785282
2015-02-20,-0.010393728115719703
2015-02-23,0.00840244961895964
2015-02-24,0.0011718365657660268
2015-02-25,0.008972406834574231
2015-02-26,-0.010181619640972195
2015-02-27,-0.004947601029510307
2015-03-02,0.03389157366670492
2015-03-03,0.008226940082179945
2015-03-04,0.009163370145329752
2015-03-05,0.014056585014463385
2015-03-06,-0.023797649157086376
2015-03-09,-0.005780308013100921
2015-03-10,-0.018832268029941313
2015-03-11,-0.01867832822612825
2015-03-12,0.028616608284085965
2015-03-13,-0.010336922120844028
2015-03-16,0.019342426182320294
2015-03-17,-0.023782717233710837
2015-03-18,0.02112218532966681
2015-03-19,0.014974925324951593
2015-03-20,0.0
2015-03-23,-0.02025509359167288
2015-03-24,-0.00012789736187224232
2015-03-25,-0.03892789603595048
2015-03-26,-0.0039838038592006075
2015-03-27,0.06466624230753326
2015-03-30,0.01127115513475907
2015-03-31,0.013622542318926012
2015-04-01,0.004398402143053648
2015-04-02,0.0029190778741172707
2015-04-06,-0.0018190090205246756
2015-04-07,-0.019198167037906
2015-04-08,0.009291464202550781
2015-04-09,0.006627794044631985
2015-04-10,-0.009388568787823903
2015-04-13,-0.015386684631252368
2015-04-14,0.0011252502052274682
2015-04-15,-0.007991757081404205
2015-04-16,0.010825119197045874
2015-04-17,-0.015815351879318595
2015-04-20,-0.07996966081480072
2015-04-21,0.01650426224207946
2015-04-22,-0.009200481203203936
2015-04-23,-0.006828139064098404
2015-04-24,-0.003574924720654238
2015-04-27,-0.02773508910991873
2015-04-28,-0.006386854785888074
2015-04-29,-0.019997268674148083
2015-04-30,-0.008016344049989188
2015-05-01,-0.0017630475266309231
2015-05-04,0.004268492801444923
2015-05-05,-0.02257069461013328
2015-05-06,0.0031487302772292836
2015-05-07,0.026756325434069472
2015-05-08,0.05473882176184541
2015-05-11,0.0015179472101207736
2015-05-12,-0.002342470798389007
2015-05-13,-0.00925558110314395
2015-05-14,0.038064597833345815
2015-05-15,0.007822217365970774
2015-05-18,0.013247619119809873
2015-05-19,0.01822504069744113
2015-05-20,-0.007781961260845405
2015-05-21,-0.007451109038803083
2015-05-22,0.003819195220015059
2015-05-26,-0.005247572313735516
2015-05-27,0.02176141568173051
2015-05-28,-0.0148442587553419
2015-05-29,-0.004454626004053552
2015-06-01,0.00236910318041339
2015-06-02,0.014443145974222693
2015-06-03,0.01993244947096451
2015-06-04,-0.00799485213558937
2015-06-05,0.007675441485834211
2015-06-08,-0.007362886063928098
2015-06-09,-0.007290170634887572
2015-06-10,-0.012754045673515235
2015-06-11,0.013049294547363921
2015-06-12,-0.010691808323793905
2015-06-15,-0.002083534722691738
2015-06-16,0.005350289055144675
2015-06-17,-0.0003898684550415199
2015-06-18,0.033757723938355744
2015-06-19,0.002260902841219936
2015-06-22,0.019799309492493977
2015-06-23,-0.010813562571761803
2015-06-24,-0.007080443476076614
2015-06-25,0.0002498672278352654
2015-06-26,-0.0018758441110636737
2015-06-29,-0.03621566781557661
2015-06-30,0.023144103390297044
2015-07-01,0.0039393709026009915
2015-07-02,-0.0027849158251206374
2015-07-06,-0.004823534884643155
2015-07-07,0.020408272738239974
2015-07-08,-0.0191251012085375
2015-07-09,0.0005097981654265116
2015-07-10,0.04967556691750041
2015-07-13,0.008857724230053599
2015-07-14,0.005773642134941692
2015-07-15,-0.0003591339810951055
2015-07-16,0.016270024497444968
2015-07-17,-0.007886970928918546
2015-07-20,0.005576703915638026
2015-07-21,-0.0017701075928491239
2015-07-22,0.0035463914095295035
2015-07-23,-0.020377033242657494
2015-07-24,-0.00685334601110843
2015-07-27,-0.011016790563045387
2015-07-28,0.012363717587634548
2015-07-29,0.01463102430973029
2015-07-30,-0.013943603900265056
2015-07-31,0.08593186531563646
2015-08-03,0.008236123475941826
2015-08-04,-0.015895811096598766
2015-08-05,0.008973831451434267
2015-08-06,0.0005557031854177552
2015-08-07,0.013222185761739835
2015-08-10,0.009321225913868192
2015-08-11,-0.012385947796921815
2015-08-12,-0.013091367932380193
2015-08-13,0.004124296612210143
2015-08-14,-0.002109273275417989
2015-08-17,0.006563854022850313
2015-08-18,-0.0009949568238633022
2015-08-19,-0.003871843012276166
2015-08-20,-0.030542088857962613
2015-08-21,-0.018100609941353873
2015-08-24,-0.020067603981977933
2015-08-25,0.012739231008898289
2015-08-26,0.04514503932483982
2015-08-27,0.009111249832739254
2015-08-28,-0.009474813031855045
2015-08-31,-0.00787778794511651
2015-09-01,-0.021097753355480586
2015-09-02,0.03302420782049853
