Date,SPG
2015-01-05,0.004100628318960631
2015-01-06,0.027834433369308575
2015-01-07,0.018402130209190792
2015-01-08,-0.0014372568018246046
2015-01-09,0.010539012020866156
2015-01-12,0.0009662642064194316
2015-01-13,0.000660866737725696
2015-01-14,0.008837498963402801
2015-01-15,0.007249511627457128
2015-01-16,0.003648817187576592
2015-01-20,-0.005826538277596938
2015-01-21,0.002955457094488967
2015-01-22,0.019029141414871553
2015-01-23,-0.004509621286964083
2015-01-26,0.010093167750814924
2015-01-27,-0.002339673123639363
2015-01-28,-0.005716089044130346
2015-01-29,0.006142361738182611
2015-01-30,-0.029791393451517156
2015-02-02,0.003775469625966865
2015-02-03,0.003409988667835595
2015-02-04,0.008696036181162992
2015-02-05,0.0068871205104279465
2015-02-06,-0.040054891502195766
2015-02-09,-0.004972531896341281
2015-02-10,0.003297127843217673
2015-02-11,-0.004809992822721876
2015-02-12,0.01195296911718513
2015-02-13,-0.008268372323433248
2015-02-17,-0.0015533120216264518
2015-02-18,0.007624078798083245
2015-02-19,-0.023008190047904997
2015-02-20,0.010537013243373083
2015-02-23,0.00938416293995692
2015-02-24,-0.018335829475951915
2015-02-25,0.002210056069519739
2015-02-26,-0.01753493196493383
2015-02-27,0.017206489560081417
2015-03-02,-0.0016808104490494413
2015-03-03,-0.002262604940680868
2015-03-04,-0.010811843428591428
2015-03-05,-0.002292590109616688
2015-03-06,-0.03500243808994252
2015-03-09,-0.000775101233473352
2015-03-10,-0.0028821972933626983
2015-03-11,-0.0031676035827429283
2015-03-12,0.023696270233308336
2015-03-13,0.002069685840275559
2015-03-16,0.01679549341232134
2015-03-17,-0.005024680962119166
2015-03-18,0.028850455858869584
2015-03-19,0.0031331404089334214
2015-03-20,0.027277066535287053
2015-03-23,0.0010140748956803947
2015-03-24,-0.0035940019344445906
2015-03-25,-0.013616308824085155
2015-03-26,-0.007725873874923961
2015-03-27,0.00835708274509761
2015-03-30,0.013950584608392713
2015-03-31,-0.006752324342907068
2015-04-01,0.012011762799869263
2015-04-02,0.006919687750358561
2015-04-06,0.007223081821884136
2015-04-07,-0.012500184409125037
2015-04-08,-0.004185682172710203
2015-04-09,-0.021928491063861855
2015-04-10,-0.009630746659850087
2015-04-13,-0.004914612463769896
2015-04-14,0.0057267180488143055
2015-04-15,-0.007208929915229256
2015-04-16,0.0003155069456017845
2015-04-17,-0.009679048860664174
2015-04-20,0.001805992922306876
2015-04-21,0.0012194193800247888
2015-04-22,0.0014830128173621837
2015-04-23,-0.0002644843858745638
2015-04-24,-0.0018516115018604173
2015-04-27,0.006200735227339216
2015-04-28,-0.008584585577087411
2015-04-29,-0.027357426085410808
2015-04-30,-0.008793103891236997
2015-05-01,0.014766850212881044
2015-05-04,-0.004343739890874221
2015-05-05,-0.01586937083851958
2015-05-06,0.0063721160793897
2015-05-07,0.008480139442438972
2015-05-08,0.024569798236084184
2015-05-11,-0.01854514438233179
2015-05-12,0.0014118086600596325
2015-05-13,-0.00869191462227159
2015-05-14,0.018859475972214046
2015-05-15,0.00460049829232867
2015-05-18,-0.004471608182330944
2015-05-19,-0.004058943988006103
2015-05-20,-0.002390814830671828
2015-05-21,-0.00027269365903437315
2015-05-22,0.0004358105000030754
2015-05-26,-0.008386470170596017
2015-05-27,0.011313606746304439
2015-05-28,-0.0017377668405186286
2015-05-29,-0.013165120580455159
2015-06-01,0.010970194570030456
