Date,NUE
2015-01-05,-0.03815507192728074
2015-01-06,-0.014425384014938314
2015-01-07,0.009255632786765666
2015-01-08,0.02431177637587001
2015-01-09,-0.005204794149315406
2015-01-12,-0.03725431034349558
2015-01-13,-0.00739085504469672
2015-01-14,-0.027376466022766444
2015-01-15,-0.0045037955923825645
2015-01-16,0.0047505081440542
2015-01-20,-0.007429361562890646
2015-01-21,-0.0018142811117618507
2015-01-22,0.01908670136752333
2015-01-23,-0.02341150043276996
2015-01-26,0.012100371956084377
2015-01-27,0.011053363207788047
2015-01-28,-0.017402666971809033
2015-01-29,-0.007039045507083341
2015-01-30,-0.001829553999643685
2015-02-02,0.012828998703715566
2015-02-03,0.034381788776175704
2015-02-04,-0.005029587168084104
2015-02-05,0.04681343328547327
2015-02-06,0.01343632893006208
2015-02-09,-0.004557527465893996
2015-02-10,-0.004994583285872212
2015-02-11,-0.0020917028126598014
2015-02-12,0.013414215325453283
2015-02-13,0.011375881104232821
2015-02-17,-0.004498808061458193
2015-02-18,-0.008833836515887206
2015-02-19,-0.002279707967246747
2015-02-20,0.0070626098724195785
2015-02-23,-0.009901176061619554
2015-02-24,0.013541949187953817
2015-02-25,-0.019321591387697623
2015-02-26,-0.009432082926566054
2015-02-27,-0.004867072261229066
2015-03-02,0.0021267092113164132
2015-03-03,0.00042441829681472143
2015-03-04,0.005514575203796612
2015-03-05,0.004850737359003876
2015-03-06,-0.012804530681344128
2015-03-09,0.003402462633192771
2015-03-10,-0.021614683641422383
2015-03-11,0.0067142018769958955
2015-03-12,0.015060258506552238
2015-03-13,-0.008266134563899241
2015-03-16,0.010899941839065841
2015-03-17,0.00232570239334029
2015-03-18,0.03923185930743789
2015-03-19,-0.06433948419843871
2015-03-20,0.02255997128395104
2015-03-23,0.010606325747909873
2015-03-24,-0.013013848225563729
2015-03-25,-0.0055297163898004875
2015-03-26,0.007485143078850509
2015-03-27,-0.005092151124856725
2015-03-30,0.01784953318705762
2015-03-31,0.004225064541286239
2015-04-01,-0.02566772674199691
2015-04-02,0.020513729490435617
2015-04-06,-0.01100266338289202
2015-04-07,0.005776861754197782
2015-04-08,0.01233787824600574
2015-04-09,0.00420218638052039
2015-04-10,0.008997496943086603
2015-04-13,-0.017834527777018327
2015-04-14,0.00950161133734806
2015-04-15,0.014850274693006593
2015-04-16,-0.02349539991030891
2015-04-17,-0.02047270549847624
2015-04-20,0.020900597271150678
2015-04-21,-0.012030254965798792
2015-04-22,0.00021364173407811826
2015-04-23,0.03417318597149199
2015-04-24,-0.006402074093705967
2015-04-27,0.010184659178855249
2015-04-28,0.01975361484460003
2015-04-29,-0.007465727726174931
2015-04-30,-0.0067086644814037255
2015-05-01,0.002864892524055751
2015-05-04,0.004489554468696699
2015-05-05,-0.006501001966630504
2015-05-06,-0.006338931046462326
2015-05-07,0.0014401040331957216
2015-05-08,0.004932162568991538
2015-05-11,0.0006133321962755733
2015-05-12,-0.012262118934470045
2015-05-13,0.008897065205168087
2015-05-14,0.017227015348988184
2015-05-15,-0.005644991941421762
2015-05-18,-0.00547436872287177
2015-05-19,-0.022426178223546644
2015-05-20,0.002293983461648219
2015-05-21,-0.006034366965023574
2015-05-22,0.006908190807580983
2015-05-26,-0.018918986964479134
2015-05-27,0.013138716041605214
2015-05-28,-0.004810676820281579
2015-05-29,-0.005884852864310286
2015-06-01,0.006131324376801972
2015-06-02,0.038243035851358353
2015-06-03,0.007286192316697138
2015-06-04,-0.014265745462979651
2015-06-05,-0.00285371152699998
2015-06-08,-0.008176781462222227
2015-06-09,-0.00432795696760413
2015-06-10,0.012212781063270617
2015-06-11,0.0
2015-06-12,-0.006338931046462326
2015-06-15,-0.022433162792053207
2015-06-16,0.012421144504029646
2015-06-17,0.0006239673948857938
2015-06-18,-0.005819117033419308
2015-06-19,-0.007106919291804736
2015-06-22,-0.006947559199769304
2015-06-23,0.019715911084867255
2015-06-24,-0.013928994765244118
2015-06-25,-0.002740934392698735
2015-06-26,-0.01442679741099151
2015-06-29,-0.02681071439756999
2015-06-30,-0.020884342641334652
2015-07-01,0.009530650266974305
2015-07-02,-0.005394593363237887
2015-07-06,-0.013785548428149053
2015-07-07,0.010769985824817585
2015-07-08,-0.029698255235879434
2015-07-09,0.0037381389784043595
2015-07-10,0.009077730420794294
2015-07-13,0.018454799453696102
2015-07-14,0.0006796682946590415
2015-07-15,-0.014939256840013515
2015-07-16,-0.00597424644267508
2015-07-17,-0.013175905590837256
2015-07-20,-0.01194634257167182
2015-07-21,0.009482771294342163
2015-07-22,-0.009393693051525154
2015-07-23,0.031057129783365056
2015-07-24,-0.019544760603027567
2015-07-27,0.027204544274488818
2015-07-28,0.01598226041651918
2015-07-29,0.02112270181764342
2015-07-30,-0.012983681614338827
2015-07-31,-0.015830715890082336
2015-08-03,0.00883571382709536
2015-08-04,0.010330287871384902
2015-08-05,0.011113142698635947
2015-08-06,0.004616466305269906
2015-08-07,-0.012253723916366144
2015-08-10,0.03433762391305417
2015-08-11,-0.030199323127922173
2015-08-12,-0.01192572336289055
2015-08-13,0.016093028141142662
2015-08-14,0.01869757850735443
2015-08-17,0.014036114385759246
2015-08-18,-0.010647767014329457
2015-08-19,-0.008824319443158424
2015-08-20,-0.026927465492997626
2015-08-21,-0.032805002300663855
2015-08-24,-0.04383934226343311
2015-08-25,-0.021718321174334365
2015-08-26,0.025653827603563384
2015-08-27,0.037277190542647
2015-08-28,0.004173441746593509
2015-08-31,-0.00046152749942141025
2015-09-01,-0.02910633272875829
2015-09-02,0.018320668407474372
