Date,RF
2015-01-05,-0.03425309024928003
2015-01-06,-0.033497546109524046
2015-01-07,0.006115893820367813
2015-01-08,0.015197866914488767
2015-01-09,-0.02894253011524206
2015-01-12,-0.019526885615404943
2015-01-13,-0.015723575768936238
2015-01-14,-0.0244937565505694
2015-01-15,-0.01855910663317728
2015-01-16,0.008898802743066314
2015-01-20,-0.0363839682875744
2015-01-21,-0.003432123780004348
2015-01-22,0.05510914893792496
2015-01-23,-0.01958669183745787
2015-01-26,0.0077689881454994225
2015-01-27,-0.012114283372217427
2015-01-28,-0.02564137568323055
2015-01-29,0.012586019324247077
2015-01-30,-0.016949329415959835
2015-02-02,0.02643707273238105
2015-02-03,0.020156967851000296
2015-02-04,-0.007684157090913413
2015-02-05,0.017699092944283956
2015-02-06,0.03913036818232718
2015-02-09,-0.020920459875002906
2015-02-10,-0.0010679682255333445
2015-02-11,-0.0032086470014910384
2015-02-12,0.023605013333857894
2015-02-13,-0.002096424182301382
2015-02-17,0.016806914718439092
2015-02-18,-0.017562339825734963
2015-02-19,0.002103181719662617
2015-02-20,0.013641092286625245
2015-02-23,-0.009316682652785513
2015-02-24,0.010449404379589744
2015-02-25,-0.005170777867797294
2015-02-26,0.0
2015-02-27,-0.0010396729823126671
2015-03-02,0.009365300316198644
2015-03-03,-0.008247306784169628
2015-03-04,-0.007276430841052783
2015-03-05,0.01570660938214563
2015-03-06,0.006185532983056019
2015-03-09,0.0
2015-03-10,-0.021516170667505552
2015-03-11,0.004210449553976092
2015-03-12,0.036687767488964074
2015-03-13,0.002022242117339479
2015-03-16,-0.003027550378828403
2015-03-17,0.001012454729174106
2015-03-18,-0.020222765220848538
2015-03-19,-0.019607578742977694
2015-03-20,0.01473689579328985
2015-03-23,-0.00933612301874498
2015-03-24,-0.012565429356603763
2015-03-25,-0.019087992860756797
2015-03-26,0.006486551705618515
2015-03-27,-0.008593191613407547
2015-03-30,0.011917610199130957
2015-03-31,0.011777544928744055
2015-04-01,0.0010577316380437907
2015-04-02,0.0126851952031104
2015-04-06,-0.003131272267604457
2015-04-07,0.007329655643216304
2015-04-08,0.0010396767883473768
2015-04-09,0.0041538225944628415
2015-04-10,-0.008273279453800297
2015-04-13,0.00521393600827591
2015-04-14,-0.010373571989894304
2015-04-15,0.017819935829398892
2015-04-16,-0.0010301800926370008
2015-04-17,-0.01134015917292941
2015-04-20,0.0
