Date,MDLZ
2015-01-05,-0.014949842711463046
2015-01-06,-0.006898202596359759
2015-01-07,0.031397268723210914
2015-01-08,0.012661599027079307
2015-01-09,-0.009842796770919371
2015-01-12,-0.00940370302311666
2015-01-13,-0.006509412812526705
2015-01-14,-0.00218397741034726
2015-01-15,-0.00027342282954911923
2015-01-16,0.010946846630189855
2015-01-20,0.002165713981416628
2015-01-21,0.0035114375121854113
2015-01-22,0.011843838428917453
2015-01-23,-0.017291661268546643
2015-01-26,-0.009745388998639415
2015-01-27,-0.013668561523442868
2015-01-28,-0.011363992121329769
2015-01-29,0.001962788466537857
2015-01-30,-0.013990282017285915
2015-02-02,0.014755893155625976
2015-02-03,0.008389384359106966
2015-02-04,-0.0011090173844497953
2015-02-05,0.006662621466459795
2015-02-06,-0.00965234249035729
2015-02-09,-0.005569715069992154
2015-02-10,0.0028006898253443158
2015-02-11,0.02597028969187698
2015-02-12,0.00653250996828203
2015-02-13,-0.005408557125971547
2015-02-17,0.010059757339992315
2015-02-18,-0.00565262248186138
2015-02-19,0.0013535874342722742
2015-02-20,-0.0005404054833203498
2015-02-23,0.0005406976793109752
2015-02-24,0.0005404054833202387
2015-02-25,-0.009456611315745267
2015-02-26,0.001636332255283257
2015-02-27,0.005991560394974504
2015-03-02,-0.0013535874342722742
2015-03-03,-0.006776591612237426
2015-03-04,-0.0054584837677168485
2015-03-05,0.0019202619752205496
2015-03-06,-0.03533241843434287
2015-03-09,0.005678696466182798
2015-03-10,-0.025974232174736267
2015-03-11,-0.004637628481967138
2015-03-12,0.019219541335129264
2015-03-13,-0.014000003008474149
2015-03-16,0.005795459675426828
2015-03-17,-0.010083442882265703
2015-03-18,0.019208560905161765
2015-03-19,-0.010280437313393231
2015-03-20,0.0023086629232684786
2015-03-23,0.01611969707740979
2015-03-24,-0.008215532844945805
2015-03-25,0.022850901860701933
2015-03-26,-0.020385489543786606
2015-03-27,0.017749765754801583
2015-03-30,0.026722613316263244
2015-03-31,-0.01123253313873429
2015-04-01,0.005818788343249448
2015-04-02,0.009090293232343338
2015-04-06,0.010101611343749761
2015-04-07,0.0
2015-04-08,0.010540663861533295
2015-04-09,-0.00026773045069017343
2015-04-10,0.0005349668265743901
2015-04-13,-0.004010743057209498
2015-04-14,0.005906580155722763
2015-04-15,0.002134599449402419
2015-04-16,-0.006391300176110448
2015-04-17,-0.009112838637899356
2015-04-20,0.0005407706594211525
2015-04-21,-0.01243570545796202
2015-04-22,0.008212525281727556
2015-04-23,-0.0005430203733893801
2015-04-24,0.0002716900695369784
2015-04-27,-0.0005429089643466112
2015-04-28,0.0
2015-04-29,0.05163000984811994
2015-04-30,-0.008526924726129814
2015-05-01,0.007296976361880425
2015-05-04,-0.0007758976892737746
2015-05-05,-0.007767839960383327
2015-05-06,0.0033918602194915604
2015-05-07,0.013784654139842756
2015-05-08,0.011800714690224368
2015-05-11,-0.0027888179270260105
2015-05-12,-0.0005087457372777715
2015-05-13,0.0
2015-05-14,0.0188250508383363
2015-05-15,0.009986996247379754
2015-05-18,-0.011124861799300056
2015-05-19,0.006250512317543366
2015-05-20,0.010186137456554833
2015-05-21,-0.008608460448141564
2015-05-22,-0.0034728108960240256
2015-05-26,-0.005725714754848288
2015-05-27,0.0050077902738363544
2015-05-28,0.008221322342917281
2015-05-29,0.027674515441618475
2015-06-01,-0.02163961762209199
2015-06-02,0.002703437729927538
2015-06-03,0.00563689245540866
2015-06-04,-0.014867426816262075
2015-06-05,-0.009895466045005241
2015-06-08,0.0007497530197326796
2015-06-09,0.004244425807213181
2015-06-10,0.0037294133692253872
2015-06-11,-0.00024720008131395854
2015-06-12,0.0027251868835369564
2015-06-15,-0.008895699597355367
2015-06-16,0.015707230539731443
2015-06-17,0.0012269971662903778
2015-06-18,0.0014707323903806468
2015-06-19,0.004651062947605089
2015-06-22,0.00024409344947007305
2015-06-23,0.0012180796832157448
2015-06-24,-0.0004866622990358227
2015-06-25,0.0
2015-06-26,0.00439775481089999
2015-06-29,-0.006567517860564642
2015-06-30,0.007345044431972925
2015-07-01,0.01142476259727676
2015-07-02,-0.0014415055927952114
2015-07-06,-0.00697988715523401
2015-07-07,0.012603012584023743
2015-07-08,-0.008855689649901355
2015-07-09,-0.0038640316763909333
2015-07-10,0.00387902033383436
2015-07-13,0.004587806616784373
2015-07-14,0.006730774608652679
2015-07-15,-0.012893993041434237
2015-07-16,0.015239949199403524
2015-07-17,-0.0019065766145232033
2015-07-20,-0.0019097651820834116
2015-07-21,0.006219067210331497
2015-07-22,0.004278471894671121
2015-07-23,-0.0030772616203966763
2015-07-24,-0.002136866556601058
2015-07-27,0.0
2015-07-28,0.01832026400015363
2015-07-29,0.007009573900625732
2015-07-30,0.050348061123380417
2015-07-31,-0.0030924528333551304
2015-08-03,0.007976854443738635
2015-08-04,0.0024181153856270843
2015-08-05,0.015131692531588525
2015-08-06,0.011233328365133799
2015-08-07,-0.014953877384454084
2015-08-10,0.006506081243272233
2015-08-11,-0.006679701328225929
2015-08-12,0.009327658533063277
2015-08-13,-0.011176000682503906
2015-08-14,0.010432731842154874
2015-08-17,-0.006237497173362749
2015-08-18,-0.0010827654167911982
2015-08-19,-0.020368280002193595
2015-08-20,-0.0267639077269316
2015-08-21,-0.018181616082978524
2015-08-24,-0.028703939309171367
2015-08-25,-0.01549072969996157
2015-08-26,0.02154454756335178
2015-08-27,0.013269810592984488
2015-08-28,0.0009353433758467755
2015-08-31,-0.010280272013448055
2015-09-01,-0.0318699375821726
2015-09-02,0.03072401405305758
