Date,GILD
2015-01-05,0.01980825630725014
2015-01-06,0.00888517165390934
2015-01-07,0.018740529797665495
2015-01-08,0.028347373407899168
2015-01-09,-0.0008795492048208065
2015-01-12,-0.00978457567241664
2015-01-13,-0.03952129178725472
2015-01-14,0.021088484882798353
2015-01-15,-0.01873868119432287
2015-01-16,0.03398373649133801
2015-01-20,0.030483409267263673
2015-01-21,-0.001927248332853515
2015-01-22,0.015061062304291939
2015-01-23,0.0038043285611004674
2015-01-26,0.014876006927552643
2015-01-27,-0.019419289554519104
2015-01-28,-0.024564386626848123
2015-01-29,0.0168859869901008
2015-01-30,0.006239482871060575
2015-02-02,0.012973318441287685
2015-02-03,0.009322864202790937
2015-02-04,-0.08163835708604794
2015-02-05,0.01493417544153175
2015-02-06,-0.024224108630756414
2015-02-09,-0.005949909352074068
2015-02-10,0.014654434289059548
2015-02-11,0.016883669851907035
2015-02-12,0.008201706919907847
2015-02-13,0.010912427148736192
2015-02-17,0.01903828602583868
2015-02-18,0.0009631196437489553
2015-02-19,-0.011641273292605225
2015-02-20,-0.0011683155932797895
2015-02-23,0.018516623835689527
2015-02-24,0.0018185175091141037
2015-02-25,-0.00257898990889871
2015-02-26,-0.0022984897298852225
2015-02-27,-0.006334550753614776
2015-03-02,0.002898115450563621
2015-03-03,-0.010016738040638185
2015-03-04,0.002626807326602254
2015-03-05,0.0034929884252117294
2015-03-06,-0.015567827732493877
2015-03-09,-0.004321436833850778
2015-03-10,-0.02505670658580872
2015-03-11,0.0014170054244362351
2015-03-12,0.00969963809444585
2015-03-13,-0.0032024420870581105
2015-03-16,0.016966302547039236
2015-03-17,-0.00848927121892673
2015-03-18,-0.0015935215845427342
2015-03-19,0.011568094647634641
2015-03-20,0.008379292792174198
2015-03-23,-0.019845855765082687
2015-03-24,0.011470336644174184
2015-03-25,-0.015284517164233069
2015-03-26,0.012217150141719868
2015-03-27,-0.0007917697957454672
2015-03-30,-0.0030689703073636387
2015-03-31,-0.025424654350484466
2015-04-01,-0.004177999424782586
2015-04-02,0.007265508249088226
2015-04-06,-0.006502159846826672
2015-04-07,0.009203459936348857
2015-04-08,0.011956571498077828
2015-04-09,0.012916944337558744
2015-04-10,0.00602980620568494
2015-04-13,0.005011701279736602
2015-04-14,-0.0006844980781726129
2015-04-15,0.017806172376773732
2015-04-16,-0.006632669639375699
2015-04-17,-0.018966634512187608
2015-04-20,-0.007102065216915032
2015-04-21,0.04510254158826621
2015-04-22,-0.00969587254716986
2015-04-23,0.009886582179172487
2015-04-24,-0.01435197394605603
2015-04-27,-0.007328796419558858
2015-04-28,0.007577296422320412
2015-04-29,-0.013497914273970402
2015-04-30,-0.017689617228973886
2015-05-01,0.044771868855851826
2015-05-04,0.006189544588925289
2015-05-05,-0.025269813809143282
2015-05-06,-0.006990830971059125
2015-05-07,-0.004693752934456286
2015-05-08,0.02023796890794194
2015-05-11,0.008474031657722758
2015-05-12,0.007924996397399742
2015-05-13,0.007862787285170203
2015-05-14,0.02208863560589447
2015-05-15,0.005149872672965072
2015-05-18,0.01555374115782615
2015-05-19,-0.003964138281605467
2015-05-20,-0.0035275764007706156
2015-05-21,0.009530579102115189
2015-05-22,0.004405953209419833
2015-05-26,-0.017366596818158997
2015-05-27,0.024505861285942565
2015-05-28,0.0034676896487608744
2015-05-29,-0.005139637129234043
2015-06-01,0.01612244838876853
2015-06-02,-0.0012272974194749153
2015-06-03,0.00623112707130935
2015-06-04,-0.006280423592416318
2015-06-05,0.00026388895096496334
2015-06-08,-0.002281775778856465
2015-06-09,0.009235260055184824
2015-06-10,0.025446016473050337
2015-06-11,0.01240789054996072
2015-06-12,-0.008761563781801596
2015-06-15,0.004249586262160543
2015-06-16,0.0077013579356775
2015-06-17,-0.0015958253600240058
2015-06-18,0.019599766699929022
2015-06-19,-0.011632782544912512
2015-06-22,0.014107038137436634
2015-06-23,0.005926406009770346
2015-06-24,-0.0016367067506269928
2015-06-25,-0.014588969132593776
2015-06-26,-0.006071747795844407
2015-06-29,-0.03380738023720442
2015-06-30,0.014030605805106289
2015-07-01,-0.009138750492822756
2015-07-02,-0.00836127403651099
2015-07-06,0.005389279039418549
2015-07-07,-0.004582540184027706
2015-07-08,-0.01902204462858903
2015-07-09,0.003719016005848008
2015-07-10,0.0033521298037297864
2015-07-13,0.007121294923087662
2015-07-14,0.024530882968543555
2015-07-15,0.0002556196071183958
2015-07-16,0.012437281608680628
2015-07-17,-0.004964553823236906
2015-07-20,-0.000507166048135832
2015-07-21,-0.0035533337059552306
2015-07-22,-0.0028867527871471177
2015-07-23,0.001873420183577057
2015-07-24,-0.04105064731002972
2015-07-27,-0.020295760059380052
2015-07-28,0.022887628779899805
2015-07-29,0.023348275733345636
2015-07-30,0.018926508026662736
2015-07-31,-0.00033923461163587465
2015-08-03,0.01476313297197085
2015-08-04,-0.006103461438238367
2015-08-05,-0.0017667889448687024
2015-08-06,-0.028316108910378612
2015-08-07,-0.007458901701605569
2015-08-10,0.01869989684116624
2015-08-11,-0.008320486902566926
2015-08-12,0.0055356397191581586
2015-08-13,-0.00903220750026279
2015-08-14,0.0034723230876922972
2015-08-17,0.007093374147938203
2015-08-18,0.005497311198571664
2015-08-19,-0.007260994753606864
2015-08-20,-0.032871705532715234
2015-08-21,-0.06281689948744751
2015-08-24,-0.044336986762426145
2015-08-25,0.018875514498178037
2015-08-26,0.042901905316354405
2015-08-27,0.009629679270408031
2015-08-28,-0.0019445931403934136
2015-08-31,-0.02514397273607394
2015-09-01,-0.034072457603609885
