Date,CTRA
2015-01-05,-0.0548172760328931
2015-01-06,-0.014059657640915546
2015-01-07,0.00855594279863836
2015-01-08,0.02014860754231984
2015-01-09,0.04123348355464573
2015-01-12,-0.022961726354655876
2015-01-13,0.010218200036617775
2015-01-14,-0.005057640203780633
2015-01-15,-0.0247370947687241
2015-01-16,0.0090337499994384
2015-01-20,-0.007575924856170646
2015-01-21,0.006939893847992318
2015-01-22,-0.015161755987410097
2015-01-23,-0.003499174557405671
2015-01-26,0.00807559947147407
2015-01-27,-0.008010906598382106
2015-01-28,-0.04884053126406629
2015-01-29,-0.0181011066528024
2015-01-30,-0.0030097667231512304
2015-02-02,0.032452910986451755
2015-02-03,0.005482640665486871
2015-02-04,-0.031988386712117456
2015-02-05,0.0011261792281205274
2015-02-06,0.006376732543869057
2015-02-09,0.014535821831670237
2015-02-10,0.03453349979003062
2015-02-11,-0.0024858978309112434
2015-02-12,-0.006051739465772421
2015-02-13,0.006446912318235132
2015-02-17,-0.0007116942304126184
2015-02-18,-0.01994282699853156
2015-02-19,0.0069035874995211355
2015-02-20,0.012631248371721027
2015-02-23,-0.017106572407421083
2015-02-24,0.029731874076570186
2015-02-25,0.05316931665327007
2015-02-26,-0.033768375011737684
2015-02-27,0.003460414264470524
2015-03-02,0.005172053413011746
2015-03-03,0.0013726494065857686
2015-03-04,-0.015758518968838398
2015-03-05,-0.007309999767071473
2015-03-06,-0.021037674645431936
2015-03-09,-0.013968618499354934
2015-03-10,-0.0228841304303552
2015-03-11,0.03791836422622796
2015-03-12,-0.0025068960695434628
2015-03-13,0.00969476478804876
2015-03-16,0.0035558472181116407
2015-03-17,-0.0053153755298986916
2015-03-18,0.014606061242031565
2015-03-19,-0.005617678854679786
2015-03-20,0.013064792146928461
2015-03-23,-0.006622236835836626
2015-03-24,0.014385959218220279
2015-03-25,0.013490095138507296
2015-03-26,-0.010921534512239539
2015-03-27,-0.011041953216825773
2015-03-30,0.020237294803895356
2015-03-31,0.009917846857776969
2015-04-01,0.016593100285092977
2015-04-02,0.024650498496025408
2015-04-06,-0.00877794457112846
2015-04-07,0.009839540017541726
2015-04-08,-0.0038974331604563206
2015-04-09,0.029670895409034337
2015-04-10,-0.018366162086819293
2015-04-13,-0.008064787011192065
2015-04-14,0.024390565660570074
2015-04-15,0.04063470898344246
2015-04-16,0.00762654370786886
2015-04-17,-0.00484405717088876
2015-04-20,0.0009127014540259992
2015-04-21,-0.004255258660322725
2015-04-22,-0.0003051501762402209
2015-04-23,0.007022726544745117
2015-04-24,0.0015160432172989236
2015-04-27,-0.009385536776746362
2015-04-28,0.026283847325534015
2015-04-29,0.00267998013290649
2015-04-30,0.004455308972047378
2015-05-01,0.0032524392339272623
2015-05-04,0.011788917382008934
2015-05-05,-0.010201078000562247
2015-05-06,0.004711317998794984
2015-05-07,0.0038100951059316657
2015-05-08,0.023649970870966097
2015-05-11,-0.002567268155931668
2015-05-12,0.004575467748202611
2015-05-13,-0.00028476533395904724
2015-05-14,0.005694723134987312
2015-05-15,0.0022650638701073866
2015-05-18,-0.007062355324971126
2015-05-19,-0.00426714076076673
2015-05-20,-0.0014286725069299067
2015-05-21,0.0011447062195311108
2015-05-22,0.0031434017935094705
2015-05-26,-0.011395864047126336
2015-05-27,-0.002017389331955277
2015-05-28,-0.022523750881302096
2015-05-29,0.0032496474234007255
2015-06-01,0.005300318292839057
2015-06-02,0.0008786910204086062
2015-06-03,-0.0008779196003391165
2015-06-04,-0.0008788422971617305
2015-06-05,-0.007622273080780229
2015-06-08,-0.0011818286746636542
2015-06-09,0.0023663777159823596
2015-06-10,0.0017704219524703468
2015-06-11,0.0005889455759675588
2015-06-12,-0.005004269109586623
2015-06-15,0.002958407418304221
2015-06-16,0.005604873909380581
2015-06-17,0.0005865269243354732
2015-06-18,-0.01553790268482158
2015-06-19,-0.01399645030659935
2015-06-22,0.0030203718925019274
2015-06-23,-0.017765731737831802
2015-06-24,-0.009196829778931992
2015-06-25,-0.01268559938823921
2015-06-26,0.002193614588382742
2015-06-29,-0.015947321200965425
2015-06-30,0.0022241204446764584
2015-07-01,-0.01712084015443005
2015-07-02,0.0009676936753466592
2015-07-06,-0.01385767126378179
2015-07-07,-0.002941030279590695
2015-07-08,-0.030154011678974912
2015-07-09,-0.0003378187919405029
2015-07-10,-0.009466312990863757
2015-07-13,0.014675716271600692
2015-07-14,0.005718483695455356
2015-07-15,-0.016388236694235836
2015-07-16,0.0034003573768841555
2015-07-17,-0.016943383097254516
2015-07-20,-0.011030782971779507
2015-07-21,-0.008713914937846678
2015-07-22,-0.018635375506811602
2015-07-23,-0.01110746985026767
2015-07-24,-0.03985509212521887
2015-07-27,-0.0022640387160949293
2015-07-28,0.013615643310578962
2015-07-29,-0.014925371696205003
2015-07-30,-0.014393845062540933
2015-07-31,0.005380540022976721
2015-08-03,-0.022953393939585398
2015-08-04,-0.0015663773623716404
2015-08-05,-0.007058440915825526
2015-08-06,0.003554257379106973
2015-08-07,-0.020070746056710553
2015-08-10,0.03775090629843603
2015-08-11,0.008900905528535175
2015-08-12,0.03644051238999002
2015-08-13,-0.0018506296715172788
2015-08-14,0.0003708313050505563
2015-08-17,-0.0074128247827003335
2015-08-18,-0.005974625186405902
2015-08-19,-0.030052776359075772
2015-08-20,-0.03718009575766179
2015-08-21,-0.01890639098146274
2015-08-24,-0.09799060843725671
2015-08-25,-0.03181815409574107
2015-08-26,0.01737087984772967
2015-08-27,0.06506632087766584
2015-08-28,0.009532429758925653
2015-08-31,0.015879820436311087
