Date,CZR
2015-01-05,0.051980207952935675
2015-01-06,-0.04235290078555831
2015-01-07,0.05405400022424223
2015-01-08,-0.02097905673384104
2015-01-09,-0.0035713969444727267
2015-01-12,0.0035841975366033285
2015-01-13,-0.0011903899597163203
2015-01-14,-0.022646069878749286
2015-01-15,0.007317124513698703
2015-01-16,0.01452783077892561
2015-01-20,-0.002386689438011569
2015-01-21,-0.03588507767711846
2015-01-22,-0.004962774165082395
2015-01-23,0.003740614870183734
2015-01-26,-0.011180142913720159
2015-01-27,0.005025120811725348
2015-01-28,0.004999995231628418
2015-01-29,-0.01243779914266574
2015-01-30,-0.0012594746611799268
2015-02-02,-0.013871331533217957
2015-02-03,-0.005115084523652835
2015-02-04,0.0
2015-02-05,0.06683804201842336
2015-02-06,-0.007228966052757024
2015-02-09,0.014563093312173425
2015-02-10,-0.0052631188687779495
2015-02-11,0.00048096561932986504
2015-02-12,0.00721158916075737
2015-02-13,0.0023865756343954825
2015-02-17,0.011904807858458266
2015-02-18,-0.028235267190372282
2015-02-19,0.08958834753184242
2015-02-20,0.011111153496636383
2015-02-23,-0.010989052448102776
2015-02-24,0.03333335452609587
2015-02-25,-0.03225808436366906
2015-02-26,0.011111153496636383
2015-02-27,0.010988947648731706
2015-03-02,-0.019565147307958775
2015-03-03,0.03325933723233154
2015-03-04,0.025751151572007247
2015-03-05,0.0439329606887684
2015-03-06,0.0020040539760575182
2015-03-09,0.02799997329711923
2015-03-10,0.07976660212047815
2015-03-11,-0.02162168617517668
2015-03-12,-0.012891288588794625
2015-03-13,-0.046641789882956974
2015-03-16,-0.02152644435231188
2015-03-17,0.015999984741210893
2015-03-18,-0.06889762005689759
2015-03-19,-0.025369954561350605
2015-03-20,0.047722295839487394
2015-03-23,0.01863357225869966
2015-03-24,0.020325183553227655
2015-03-25,-0.01394425735604432
2015-03-26,0.018181849708243103
2015-03-27,0.01587300085546861
2015-03-30,-0.015624985448084439
2015-03-31,-0.001984077801659545
2015-04-01,0.017892578925789326
2015-04-02,0.02539064791926693
2015-04-06,0.017142886207217156
2015-04-07,0.10674151283459854
2015-04-08,0.028764819066515734
2015-04-09,0.009868411765204144
2015-04-10,0.030944635399350773
2015-04-13,0.048973135310567795
2015-04-14,-0.003012045380823114
2015-04-15,0.0332326693099676
2015-04-16,0.02339179003549785
2015-04-17,-0.012857164655412978
2015-04-20,0.04052101533883734
2015-04-21,0.001390786086939766
2015-04-22,0.04166669426141034
2015-04-23,-0.04000002543131509
2015-04-24,-0.02777775202268362
2015-04-27,0.0
2015-04-28,-0.012857164655412978
2015-04-29,0.013024624395845175
2015-04-30,0.007142884390694659
2015-05-01,0.007092157807799149
2015-05-04,-0.001408415799858398
2015-05-05,-0.005641743440361835
2015-05-06,0.0014184045069700613
2015-05-07,-0.009915038559308753
2015-05-08,0.014306206687290102
2015-05-11,-0.001410469487533872
2015-05-12,0.0056497121870149325
2015-05-13,0.05758431612911097
2015-05-14,0.04515267812447865
2015-05-15,0.0165184391780564
2015-05-18,0.009999990463256836
2015-05-19,0.022277265702401294
2015-05-20,-0.0072639731179307
2015-05-21,-0.004878044241882984
2015-05-22,0.0
2015-05-26,0.06985290508369202
2015-05-27,-0.02405487920780136
2015-05-28,-0.024647890477002776
2015-05-29,-0.018050609462124223
2015-06-01,0.025735299273758283
2015-06-02,-0.020310642606728102
2015-06-03,0.03536584982908875
2015-06-04,-0.024734987492150973
2015-06-05,-0.003623156272787309
2015-06-08,-0.02303025216767285
2015-06-09,-0.040942975603332044
2015-06-10,-0.01552391788654417
2015-06-11,0.03810774727530797
2015-06-12,-0.002531643124693339
2015-06-15,0.005076137217272736
2015-06-16,0.00883834522094773
2015-06-17,-0.020025012765390593
2015-06-18,-0.008939935569129198
2015-06-19,0.003865944856487946
2015-06-22,-0.012836958295540324
2015-06-23,-0.022106641746292954
2015-06-24,-0.009308533489218451
2015-06-25,0.06845640831394095
2015-06-26,-0.02512560405862696
2015-06-29,0.019329847178611193
2015-06-30,-0.011377961755609567
2015-07-01,0.01150890968991014
2015-07-02,-0.010113770575131964
2015-07-06,0.03831420097803373
2015-07-07,-0.009840088878222075
2015-07-08,-0.004968939242891657
2015-07-09,0.03995002318107166
2015-07-10,0.0744297588520555
2015-07-13,-0.006703851086149792
2015-07-14,0.032620916833917324
2015-07-15,-0.01742917669859989
2015-07-16,0.0
2015-07-17,-0.025498945037489285
2015-07-20,-0.0022752564477985793
2015-07-21,0.0068414438780637354
2015-07-22,0.016987499414078844
2015-07-23,-0.030066761453544144
2015-07-24,0.00803670430742165
2015-07-27,-0.04669702276555354
2015-07-28,-0.011947363101873054
2015-07-29,-0.01934713328053339
2015-07-30,0.02219485977753166
2015-07-31,0.01930034356433774
2015-08-03,-0.004733723403066659
2015-08-04,0.04399523094794544
2015-08-05,-0.0022778479154449416
2015-08-06,0.025114076210768888
2015-08-07,0.018930967144749955
2015-08-10,0.028415326745510727
2015-08-11,-0.01381510271508346
2015-08-12,-0.0021551190371589257
2015-08-13,0.009719238700143906
2015-08-14,-0.058823547411279264
2015-08-17,0.11249997155232916
2015-08-18,-0.007150122073235399
2015-08-19,-0.002057660207223977
2015-08-20,-0.035051562811695414
2015-08-21,0.02564110401662978
2015-08-24,-0.05416671219799074
2015-08-25,0.0011013468024076989
2015-08-26,0.01980201343830945
2015-08-27,0.024811168379576864
2015-08-28,0.021052611501593432
2015-08-31,-0.028865952420302543
2015-09-01,-0.012738841251293542
2015-09-02,0.007526848751460813
2015-09-03,0.002134520598500389
