Date,CDNS
2015-01-05,-0.022835916458737282
2015-01-06,-0.026630422895481787
2015-01-07,0.028475724914957423
2015-01-08,0.010314904086354604
2015-01-09,-0.0032241467664241297
2015-01-12,-0.010242513990479929
2015-01-13,0.0038126194170577943
2015-01-14,-0.009224095142646438
2015-01-15,-0.029025228915780965
2015-01-16,0.033840969935752474
2015-01-20,-0.010365550182675709
2015-01-21,0.011025400753518433
2015-01-22,0.0010905374916723165
2015-01-23,0.004901968932242262
2015-01-26,0.007046024682434204
2015-01-27,-0.012378877458598558
2015-01-28,-0.012534034738690636
2015-01-29,-0.0060706735792963595
2015-01-30,-0.0011105195729869122
2015-02-02,-0.0050027878673116755
2015-02-03,0.018994422337077488
2015-02-04,-0.007675405230548105
2015-02-05,-0.04917134133920953
2015-02-06,-0.0046484560117282525
2015-02-09,0.0017513536553008802
2015-02-10,0.004662000257425358
2015-02-11,0.021461765901717333
2015-02-12,0.017603603361612485
2015-02-13,0.005580378406471853
2015-02-17,-0.004439507307092638
2015-02-18,0.0033444517366918447
2015-02-19,0.012777752346462723
2015-02-20,0.014810776990867192
2015-02-23,-0.0016216587375950109
2015-02-24,0.010828412039779911
2015-02-25,0.0032136832189180176
2015-02-26,-0.011745825879941552
2015-02-27,-0.008103707005698624
2015-03-02,0.012527207766357629
2015-03-03,-0.0075308977137876765
2015-03-04,-0.0010840356063207546
2015-03-05,-0.011937125179609542
2015-03-06,-0.006589727507844145
2015-03-09,0.006080741261675682
2015-03-10,-0.01978025248683668
2015-03-11,-0.0005605509414967624
2015-03-12,0.006730277046936406
2015-03-13,0.008913640145489676
2015-03-16,0.02263941654302082
2015-03-17,-0.007019495945030485
2015-03-18,0.013050558949624369
2015-03-19,-0.0016102405071520831
2015-03-20,0.0032257776726798415
2015-03-23,-0.007502646880667263
2015-03-24,-0.0016199074462188712
2015-03-25,-0.027041644466703096
2015-03-26,0.0005558770988920436
2015-03-27,0.004444440205891853
2015-03-30,0.019911538267184392
2015-03-31,0.0
2015-04-01,-0.0027115587289072707
2015-04-02,0.00598154507897819
2015-04-06,-0.002162211650126644
2015-04-07,0.010292553818024519
2015-04-08,0.022520111790063524
2015-04-09,-0.00262187927953228
2015-04-10,0.002102997224817882
2015-04-13,0.0005246709948605321
2015-04-14,-0.022024126010234624
2015-04-15,0.004289540232835565
2015-04-16,-0.006940692148627803
2015-04-17,-0.009139788860612508
2015-04-20,0.011394415680703096
2015-04-21,0.010193162032136716
2015-04-22,0.0249601335772065
2015-04-23,-0.004145073931010157
2015-04-24,-0.01196667796322548
2015-04-27,-0.012111613744521188
2015-04-28,0.03518122811086166
2015-04-29,-0.025231707991407726
2015-04-30,-0.014791372537323766
2015-05-01,0.016621955618399742
2015-05-04,-0.004746743121573416
2015-05-05,-0.014838403507823172
2015-05-06,0.00268957701184247
2015-05-07,0.018240352130950432
2015-05-08,0.010537448248846948
2015-05-11,-0.002085553435395404
2015-05-12,-0.007314492900357905
2015-05-13,-0.0005263278358861312
2015-05-14,0.014218033755551529
2015-05-15,-0.00311523703163874
2015-05-18,0.014583269175558522
2015-05-19,-0.0041067723606769135
2015-05-20,0.008247414977229361
2015-05-21,0.013292445602288705
2015-05-22,0.004036323155289789
2015-05-26,-0.0005025240740469394
2015-05-27,0.01106089630237106
2015-05-28,-0.009448062073146635
2015-05-29,-0.006526062262485088
2015-06-01,0.0010105381248035616
2015-06-02,0.007067203471547989
2015-06-03,0.014035025994436179
2015-06-04,-0.004943172700569987
2015-06-05,0.012916057611595866
2015-06-08,-0.01912699368919213
2015-06-09,-0.01450004577636721
2015-06-10,0.006595691230531164
2015-06-11,-0.004536297978614212
2015-06-12,0.005063310454163306
2015-06-15,-0.0015113695752627665
2015-06-16,0.002018209694412354
2015-06-17,0.008056386832572038
2015-06-18,0.006992976346019253
2015-06-19,-0.004464293316918999
2015-06-22,0.003986045088315793
2015-06-23,-0.004962798181780803
2015-06-24,-0.000997433973866424
2015-06-25,0.005491697415480834
2015-06-26,-0.00496516768379307
2015-06-29,-0.027445165632853263
2015-06-30,0.008722425771695796
2015-07-01,-0.008647002930486924
2015-07-02,-0.006670044242855444
2015-07-06,0.0010329829434172488
2015-07-07,-0.005675887913639044
2015-07-08,-0.0025947661246180642
2015-07-09,0.011966777200931089
2015-07-10,0.006683761216827566
2015-07-13,0.01072528052296029
2015-07-14,-0.005053076141662283
2015-07-15,0.0
2015-07-16,-0.006602390278779957
2015-07-17,-0.0010224208057807438
2015-07-20,0.020470808586933842
2015-07-21,-0.007021128046508673
2015-07-22,-0.01565653928724109
2015-07-23,-0.009748616536115917
2015-07-24,-0.0072538546726782505
2015-07-27,-0.009916520645655402
2015-07-28,0.09594104734055575
2015-07-29,0.008657931212148862
2015-07-30,-0.0019074396513326652
2015-07-31,0.0019110849305061794
2015-08-03,0.0004768826518495306
2015-08-04,-0.0019065304600310862
2015-08-05,0.007640871219266598
2015-08-06,-0.014218063459024544
2015-08-07,0.004807710823928835
2015-08-10,0.022966485693652894
2015-08-11,-0.0014031235020778299
2015-08-12,-0.004683858533160445
2015-08-13,0.004705900304457611
2015-08-14,0.009836022516183096
2015-08-17,0.01113171507714017
2015-08-18,-0.008256807528742804
2015-08-19,0.00046245703723846177
2015-08-20,-0.05362921370409324
2015-08-21,-0.03273083042346958
2015-08-24,-0.04040400342860384
2015-08-25,-0.013157894736842146
2015-08-26,0.040533345540364474
2015-08-27,0.022039994881149605
2015-08-28,0.01003003260953883
2015-08-31,-0.005958239102352825
2015-09-01,-0.014985071805672212
