Date,ROL
2015-01-05,-0.0009243599951663795
2015-01-06,-0.015730824840318847
2015-01-07,0.02193658992298153
2015-01-08,0.022385869973591932
2015-01-09,-0.012897764679368873
2015-01-12,-0.01458539430157002
2015-01-13,0.008326309364314444
2015-01-14,-0.0033646869716540406
2015-01-15,-0.012580166924340164
2015-01-16,0.01646948027896844
2015-01-20,-0.00458540309018407
2015-01-21,0.007371258652063117
2015-01-22,0.01646340838188176
2015-01-23,-0.0006000481324403006
2015-01-26,0.009603317830454872
2015-01-27,0.0
2015-01-28,0.03596946597761019
2015-01-29,-0.02525094896265523
2015-01-30,-0.027082807706288126
2015-02-02,0.005446143874726417
2015-02-03,0.011435656470299316
2015-02-04,-0.014876518529368221
2015-02-05,0.02023572816127861
2015-02-06,-0.004753066057475941
2015-02-09,0.004775765586785052
2015-02-10,-0.010992566188493536
2015-02-11,0.0063088505886870205
2015-02-12,0.007462717741843372
2015-02-13,-0.0002965812302490045
2015-02-17,-0.0020749381202370687
2015-02-18,0.006236882306983604
2015-02-19,-0.006788459358213816
2015-02-20,0.0068348575106440546
2015-02-23,-0.0029511732462612628
2015-02-24,0.004439753652761391
2015-02-25,-0.008841127043986985
2015-02-26,0.0014863364473065577
2015-02-27,-0.004156724533870615
2015-03-02,0.01878350226359715
2015-03-03,-0.0008776225750867228
2015-03-04,-0.006737298433616146
2015-03-05,0.0026544666761367797
2015-03-06,-0.006176563675557967
2015-03-09,0.006511181004118294
2015-03-10,-0.025287394656609896
2015-03-11,0.015385092227900632
2015-03-12,0.0017826049138975897
2015-03-13,0.028469834063760358
2015-03-16,0.020760932979900337
2015-03-17,0.0152544543437374
2015-03-18,0.007095016099838647
2015-03-19,0.01036034042354017
2015-03-20,0.012715693689030472
2015-03-23,0.008100382252604454
2015-03-24,-0.005223172451888414
2015-03-25,-0.01817431284722537
2015-03-26,0.0012340353805286863
2015-03-27,0.007805924622851901
2015-03-30,0.006930152101830567
2015-03-31,0.0012148491905179526
2015-04-01,-0.002426154577755968
2015-04-02,0.01094454659558064
2015-04-06,0.011226719205817304
2015-04-07,-0.008723354338021294
2015-04-08,0.006400070079638054
2015-04-09,0.0011928331260220304
2015-04-10,-0.006749157780702841
2015-04-13,-0.005595314541047003
2015-04-14,-0.0032155670310930473
2015-04-15,-0.0028225244799129356
2015-04-16,-0.004852309155511936
2015-04-17,-0.01015856775248325
2015-04-20,0.010673223392077436
2015-04-21,0.0044679228785693414
2015-04-22,0.0181963578890727
2015-04-23,0.014694398419971444
2015-04-24,-0.009002161391246766
2015-04-27,-0.008293189980839832
2015-04-28,0.0031858187993325515
2015-04-29,-0.016276554944179344
2015-04-30,0.00080698727129902
2015-05-01,-0.00040292078963366507
2015-05-04,0.0012095467136290505
2015-05-05,-0.010072127045525181
2015-05-06,-0.0028580390366843567
2015-05-07,-0.0036857551975111313
2015-05-08,0.0008218520306262356
2015-05-11,0.00041083981970491124
2015-05-12,-0.005336815599233269
2015-05-13,-0.00041257154480422997
2015-05-14,0.015276398603730312
2015-05-15,-0.00040653149320357684
2015-05-18,-0.0016270859888511957
2015-05-19,0.005297470261749204
2015-05-20,-0.0004055106195077762
2015-05-21,-0.004866017553388002
2015-05-22,0.0020370973496792733
2015-05-26,-0.004472841606373623
2015-05-27,0.009803591291307923
2015-05-28,0.004450011468540405
2015-05-29,-0.00040319325907389736
2015-06-01,0.0008062187993225223
2015-06-02,-0.0008055693341811887
2015-06-03,0.021756569051452068
2015-06-04,-0.0023656112782001193
2015-06-05,0.007509848811589448
2015-06-08,0.00470766780739007
2015-06-09,0.01679064223504234
2015-06-10,0.012672644327311966
2015-06-11,0.010617957774090359
2015-06-12,0.0007506736779741008
2015-06-15,-0.005623948411476842
2015-06-16,0.010180674702579662
2015-06-17,0.009705108870301071
2015-06-18,0.007393829889712711
2015-06-19,-0.004770818843140456
2015-06-22,-0.007005417657738322
2015-06-23,-0.0011145294659236082
2015-06-24,-0.006319469152219037
2015-06-25,0.03142513357013832
2015-06-26,0.008342766443991012
2015-06-29,0.021222504123622254
2015-06-30,0.004931624172535232
2015-07-01,-0.029793295204804893
2015-07-02,-0.020592570955408673
2015-07-06,0.014386190960926637
2015-07-07,0.007636084184066139
2015-07-08,-0.010465429173646679
2015-07-09,-0.004011647432326959
2015-07-10,0.008787695040548327
2015-07-13,0.004355927384214864
2015-07-14,0.010480646026295837
2015-07-15,0.005364649381468967
2015-07-16,0.017075989017336424
2015-07-17,-0.007345386194275827
2015-07-20,0.00810448140597142
2015-07-21,-0.013981255740986409
2015-07-22,0.015242941868002013
2015-07-23,-0.001047472309784525
2015-07-24,-0.010136382613417205
2015-07-27,-0.00105930821185507
2015-07-28,0.004595174487223019
2015-07-29,0.01618580429172578
2015-07-30,0.016620706345066516
2015-07-31,-0.012261668614134136
2015-08-03,-0.004483093656127535
2015-08-04,0.02597895552365581
2015-08-05,0.019243748223193524
2015-08-06,-0.02191945514571325
2015-08-07,0.004413914455089207
2015-08-10,0.004056966345636903
2015-08-11,-0.00942737567894858
2015-08-12,0.005098267012308533
2015-08-13,0.005072571606524523
2015-08-14,0.004374391476132722
2015-08-17,0.016750318369783246
2015-08-18,-0.0056013862654979985
2015-08-19,-0.009277681209677091
2015-08-20,-0.02809376953705478
2015-08-21,-0.029593782064703866
2015-08-24,-0.056028667601158655
2015-08-25,0.030428372602197218
2015-08-26,0.01932209826405784
2015-08-27,0.007510718936470706
2015-08-28,-0.005679463133394624
2015-08-31,-0.0032133814971684327
2015-09-01,-0.01898290013572268
