Date,BEN
2015-01-05,-0.03315849056935838
2015-01-06,-0.01957162677272939
2015-01-07,0.013118180125056167
2015-01-08,0.013135475576992794
2015-01-09,-0.002223059562598606
2015-01-12,-0.02023362633405712
2015-01-13,-0.010041487297948182
2015-01-14,-0.0145454753601294
2015-01-15,-0.009710724869334886
2015-01-16,0.01588545935786989
2015-01-20,-0.004247132590450398
2015-01-21,0.009500009644259455
2015-01-22,0.04129023137524457
2015-01-23,-0.01678346648997253
2015-01-26,0.016319792737784944
2015-01-27,-0.016795742061004204
2015-01-28,-0.0206496563852262
2015-01-29,0.009200698326930823
2015-01-30,-0.021272728136929486
2015-02-02,0.015331012516538456
2015-02-03,0.02389142801079025
2015-02-04,-0.011760516962327938
2015-02-05,0.009633781856027701
2015-02-06,0.0005610372051143564
2015-02-09,-0.008227317611643525
2015-02-10,0.009427121686396145
2015-02-11,-0.002615216295145939
2015-02-12,0.005243689963916109
2015-02-13,0.004284523468002233
2015-02-17,0.003710220985154722
2015-02-18,-0.006283722017324522
2015-02-19,0.0016737761001799356
2015-02-20,0.005570044175274624
2015-02-23,-0.004062178319316434
2015-02-24,-0.0018536261129422638
2015-02-25,0.007243371758774542
2015-02-26,0.005347794009646911
2015-02-27,-0.01265598028010484
2015-03-02,0.010588766484958212
2015-03-03,-0.01029381091140591
2015-03-04,-0.009472624764026105
2015-03-05,0.013876084641369468
2015-03-06,-0.018864772268677554
2015-03-09,0.0047127870346292955
2015-03-10,-0.032270317704563234
2015-03-11,0.00426524766280556
2015-03-12,0.025482559878925448
2015-03-13,-0.011294933004738938
2015-03-16,0.016755049316472537
2015-03-17,-0.013295879058170423
2015-03-18,0.011577556293801194
2015-03-19,-0.012007666602423361
2015-03-20,0.013102770016800713
2015-03-23,0.006560640504495785
2015-03-24,-0.01694598539615011
2015-03-25,-0.020648029614062646
2015-03-26,0.0009669099564808548
2015-03-27,-0.010077287511240263
2015-03-30,0.01350846750018353
2015-03-31,-0.008692504675004487
2015-04-01,0.0007794871892174982
2015-04-02,0.00447811599423642
2015-04-06,-0.0003872909581422723
2015-04-07,-0.0013577547445297045
2015-04-08,0.005825543547816947
