Date,MAS
2015-01-05,-0.017193017664635435
2015-01-06,-0.0012203481844265118
2015-01-07,0.015126623973368059
2015-01-08,0.03987091950778532
2015-01-09,-0.01704080651476869
2015-01-12,-0.007486336731403864
2015-01-13,-0.017467194178718226
2015-01-14,-0.012120844133314268
2015-01-15,-0.028220910988889902
2015-01-16,0.01725583414040832
2015-01-20,-0.01944562873050104
2015-01-21,0.016877191972863415
2015-01-22,0.021577147025164445
2015-01-23,0.001218515110387619
2015-01-26,0.027991944103818334
2015-01-27,-0.007497953753432207
2015-01-28,-0.005169426871077798
2015-01-29,0.015987501288321493
2015-01-30,-0.022816725979708408
2015-02-02,0.012882211400366161
2015-02-03,0.03219399999919692
2015-02-04,0.005775963681772023
2015-02-05,-0.02029079763535102
2015-02-06,0.017975447461588745
2015-02-09,0.0061419720588700155
2015-02-10,0.004197268638780116
2015-02-11,-0.007598968239193482
2015-02-12,0.011868594642476804
2015-02-13,0.0007563614151899767
2015-02-17,0.012098556513165049
2015-02-18,-0.004109087193541416
2015-02-19,0.00487606717850686
2015-02-20,-0.0014933382407343876
2015-02-23,-0.006728656096701591
2015-02-24,0.010161784174396171
2015-02-25,-0.0018629130494720592
2015-02-26,-0.02127658170351432
2015-02-27,-0.0011441589184528755
2015-03-02,0.012981666412235748
2015-03-03,-0.005276385234384784
2015-03-04,0.0034103643339860046
2015-03-05,0.01321757881326402
2015-03-06,-0.032054093453710464
2015-03-09,0.0046208876492350726
2015-03-10,0.001916368649850675
2015-03-11,0.0015304717505253418
2015-03-12,0.028265540118797006
2015-03-13,-0.017087362208414447
2015-03-16,-0.006424980518213608
2015-03-17,-0.017116782258977947
2015-03-18,0.014318583672906948
2015-03-19,0.002289287853880939
2015-03-20,0.018652523453979386
2015-03-23,-0.005231505614460952
2015-03-24,0.006386079432247227
2015-03-25,-0.024635649981125884
2015-03-26,-0.01071594788027408
2015-03-27,0.013926133349226655
2015-03-30,0.009156958690192285
2015-03-31,0.009451812267360804
2015-04-01,-0.023595292727891404
2015-04-02,0.0210970006304958
2015-04-06,0.009391449553122433
2015-04-07,-0.021585455631019435
2015-04-08,0.004580205033249074
2015-04-09,-0.0003801347962769652
2015-04-10,0.009882192804598011
2015-04-13,-0.004516518776420009
2015-04-14,-0.000755581549421791
2015-04-15,0.003026706672296875
2015-04-16,-0.024141916146742437
2015-04-17,-0.008504252856139649
2015-04-20,0.004678711133279556
2015-04-21,0.022506457611249253
2015-04-22,0.01897536034443137
2015-04-23,-0.02420818903832267
