Date,DE
2015-01-05,-0.021394826711777948
2015-01-06,-0.0083282287242753
2015-01-07,-0.004316253339100906
2015-01-08,0.013238625682989946
2015-01-09,-0.00971228338929564
2015-01-12,-0.002335332696453696
2015-01-13,0.005149219349112277
2015-01-14,0.006869312438160247
2015-01-15,0.008325764730655827
2015-01-16,0.0011468580399534023
2015-01-20,-0.0019476468229110422
2015-01-21,0.0057386872283842205
2015-01-22,0.021453810224824732
2015-01-23,-0.01295948737506325
2015-01-26,0.0009055859410023182
2015-01-27,-0.02702675113377062
2015-01-28,-0.016969206712657003
2015-01-29,0.015725043061125543
2015-01-30,-0.008381110207610676
2015-02-02,0.017020561127618183
2015-02-03,0.02296879576565214
2015-02-04,0.0005643330300693084
2015-02-05,0.004961667771844702
2015-02-06,-0.0015710308525653804
2015-02-09,-0.0003371643987520878
2015-02-10,-0.00224848626122387
2015-02-11,0.0007884790108070305
2015-02-12,0.006192518762827781
2015-02-13,0.007496973660410022
2015-02-17,-0.0013328827986917036
2015-02-18,0.03147257167161244
2015-02-19,-0.011212939183217085
2015-02-20,0.007850765450887032
2015-02-23,-0.015687149528542443
2015-02-24,0.005715236831517201
2015-02-25,0.0013117155628861177
2015-02-26,-0.004802552353139089
2015-02-27,-0.006361467233912954
2015-03-02,0.004746312620185433
2015-03-03,0.00263647062037764
2015-03-04,-0.008983825642107313
2015-03-05,0.00011018814676977406
2015-03-06,-0.002210953450128006
2015-03-09,0.01949935998159802
2015-03-10,-0.011193382188806611
2015-03-11,-0.00835244277594227
2015-03-12,-0.0005542238462032945
2015-03-13,-0.007651386297308771
2015-03-16,-0.00391103021272643
2015-03-17,-0.005721403368237565
2015-03-18,0.00778509366785074
2015-03-19,-0.013882497948310424
2015-03-20,0.012488458544724024
2015-03-23,0.0023547549099656173
2015-03-24,-0.0102917362436028
2015-03-25,-0.001921785676022858
2015-03-26,-0.0032839040403181974
2015-03-27,0.0005719715519247881
2015-03-30,0.013148557719262488
2015-03-31,-0.010382478005516949
2015-04-01,-0.0010259486556202235
2015-04-02,0.004337763660180238
2015-04-06,0.005683074837342428
2015-04-07,-0.00045214710941721137
2015-04-08,-0.006671178114828424
2015-04-09,0.006829698859682765
2015-04-10,0.007009572471000647
2015-04-13,-0.012012895073921115
2015-04-14,-0.0009093307712252363
2015-04-15,0.01615122760047294
