Date,VRSK
2015-01-05,-0.0129747493997453
2015-01-06,-0.0034845075063137942
2015-01-07,0.000635991936350333
2015-01-08,0.010006275039212698
2015-01-09,-0.007862821597857228
2015-01-12,-0.0019020779035143764
2015-01-13,0.007305319966725454
2015-01-14,-0.007252339307576294
2015-01-15,-0.004287641637974793
2015-01-16,0.003189784673204743
2015-01-20,0.004769431840989435
2015-01-21,0.0036394297582884594
2015-01-22,0.013085014953890806
2015-01-23,0.013227621102935627
2015-01-26,-0.003071900374231773
2015-01-27,-0.00939742515855535
2015-01-28,-0.00451018723507246
2015-01-29,0.003905583680793745
2015-01-30,0.0014005228725977314
2015-02-02,0.008081073467500532
2015-02-03,0.013411547490539633
2015-02-04,0.00015181458346624765
2015-02-05,0.015513337215003808
2015-02-06,-0.012131229662628806
2015-02-09,0.0001520316602015015
2015-02-10,0.0016671516635473616
2015-02-11,0.005750404119856389
2015-02-12,0.014745910366972925
2015-02-13,0.006820642295033652
2015-02-17,-0.0050074517393735585
2015-02-18,0.0019247791777312617
2015-02-19,-0.0026596969503300816
2015-02-20,0.004295912245546818
2015-02-23,0.0
2015-02-24,0.0016223883968733421
2015-02-25,0.06287731859841528
2015-02-26,0.0012467392359392093
2015-02-27,-0.006365021738501286
2015-03-02,0.0008356636344235557
2015-03-03,-0.0037567932264416237
2015-03-04,-0.012709441161107393
2015-03-05,0.005658607332362564
2015-03-06,-0.006048607442121767
2015-03-09,0.00990654045730599
2015-03-10,-0.03951828550382164
2015-03-11,0.018092176443622376
2015-03-12,0.017483590579034924
2015-03-13,0.0032389877440861525
2015-03-16,0.00575604643332106
2015-03-17,0.0009770692872221876
2015-03-18,0.0005575902077932238
2015-03-19,-0.0027872840528182508
2015-03-20,-0.0006992132600442957
2015-03-23,-0.005454142625863079
2015-03-24,-0.006609090703725395
2015-03-25,-0.012457631736199293
2015-03-26,0.001146694734221354
2015-03-27,0.009163847716092022
2015-03-30,0.009648293687244847
2015-03-31,0.0033721801784645233
2015-04-01,0.0018211501569544986
2015-04-02,0.01034493147830906
2015-04-06,-0.0029056559716974517
2015-04-07,-0.004718482943063762
2015-04-08,0.009481705150149677
2015-04-09,0.006491659895939694
2015-04-10,-0.00013739675599599988
2015-04-13,-0.004391733887361693
2015-04-14,0.002894401380086453
2015-04-15,-0.0013742669282860165
2015-04-16,0.0002754067668186977
2015-04-17,-0.011421637816376173
2015-04-20,0.007516835253509102
2015-04-21,0.003177453877202474
2015-04-22,-0.004406745838995141
2015-04-23,0.0026284029226282257
