Date,ULTA
2015-01-05,0.0024440649395989222
2015-01-06,-0.001572981323134437
2015-01-07,0.02859397376978645
2015-01-08,0.012712541268433242
2015-01-09,-0.005066531617619607
2015-01-12,-0.013148976894597153
2015-01-13,-0.00793283124112576
2015-01-14,-0.0004657833998208405
2015-01-15,-0.0125048591095267
2015-01-16,0.020292605344032655
2015-01-20,-0.01973479443804671
2015-01-21,0.009358307700024326
2015-01-22,0.0328008668085511
2015-01-23,0.020971626663376153
2015-01-26,0.005467751686031974
2015-01-27,-0.0017637087737699675
2015-01-28,-0.01457594067224488
2015-01-29,0.004034015267224245
2015-01-30,-0.0183035086815021
2015-02-02,-0.007427586095234973
2015-02-03,0.022067801172023227
2015-02-04,-0.013821486882002021
2015-02-05,0.007803021055279302
2015-02-06,0.001728901222653123
2015-02-09,0.012832108542368825
2015-02-10,0.015040370163273753
2015-02-11,-0.008029241631500872
2015-02-12,0.0012510186561440761
2015-02-13,0.004335976380781759
2015-02-17,-0.005488072441841685
2015-02-18,0.005223982311436393
2015-02-19,0.002195894177133395
2015-02-20,0.007887831182425753
2015-02-23,-0.005434782608695676
2015-02-24,0.008306006481955786
2015-02-25,0.0026735683128789045
2015-02-26,0.013188252403429912
2015-02-27,0.001209176850227367
2015-03-02,0.02031827736546732
2015-03-03,-0.011070856370613669
2015-03-04,-0.014926389744477908
2015-03-05,0.006790057346696132
2015-03-06,-0.0161153220405007
2015-03-09,0.017100876243609564
2015-03-10,-0.0034762022547197846
2015-03-11,0.0106072861124491
2015-03-12,0.020146523493170365
2015-03-13,0.03645904234403319
2015-03-16,0.000532888534398035
2015-03-17,0.0018645229174465427
2015-03-18,0.0035225226349004934
2015-03-19,0.008609760551519408
2015-03-20,-0.0017728611568365027
2015-03-23,0.0076304984259920605
2015-03-24,0.0038517536551165854
2015-03-25,-0.014242065295945738
2015-03-26,-0.010357615155385913
2015-03-27,0.007932821045147254
2015-03-30,0.0025132598576875775
2015-03-31,-0.004815910533849221
2015-04-01,0.0008617144101024099
2015-04-02,0.002318228331038341
2015-04-06,0.012819681609282485
2015-04-07,-0.011874517345112134
2015-04-08,0.004754052394924768
2015-04-09,-0.0024314590368642586
2015-04-10,-0.0007905821710401106
2015-04-13,0.0021097530305316248
2015-04-14,0.00980266771818461
2015-04-15,0.00045600405840628966
2015-04-16,0.003907307326484366
2015-04-17,-0.013687081994213646
2015-04-20,-0.0030253647131502914
2015-04-21,0.009103535300156063
2015-04-22,0.006341120565878988
2015-04-23,0.0198129336324957
2015-04-24,0.0005732615755245085
2015-04-27,-0.00744842217536823
2015-04-28,-0.00923611319083184
2015-04-29,-0.017090693136439294
2015-04-30,-0.004873908214711675
2015-05-01,0.02104711107053503
2015-05-04,-0.002722487569284948
2015-05-05,-0.0024699698910432
2015-05-06,-0.009317833603935677
2015-05-07,0.011839010334407707
2015-05-08,0.0029250972370917783
2015-05-11,-0.0001295548288398063
2015-05-12,-0.007000724710859996
2015-05-13,-0.006919495670085873
2015-05-14,-0.015118668099232124
2015-05-15,0.007808837713721539
2015-05-18,0.00337744706513865
2015-05-19,0.004158173755224315
2015-05-20,-0.008610474325287054
2015-05-21,0.009414560443590458
2015-05-22,-0.00663378986427543
2015-05-26,-0.007140979845464912
2015-05-27,0.030767148405133504
2015-05-28,0.009626602305952137
2015-05-29,-0.023357068250344115
2015-06-01,0.008190276765768445
2015-06-02,0.003119587974007132
2015-06-03,0.012374397977278795
2015-06-04,-0.002303856540426419
2015-06-05,0.0024374913257843023
2015-06-08,-0.016572794715389638
2015-06-09,0.0005205402419405925
2015-06-10,0.00786883931494331
2015-06-11,0.002516449867078885
2015-06-12,-0.00032173389032452704
2015-06-15,-0.004828740436732204
2015-06-16,0.0060166437970758935
2015-06-17,0.0007716727793407596
2015-06-18,0.005526286064357899
2015-06-19,-0.011183538137661264
2015-06-22,0.006204399537098393
2015-06-23,0.004303411641331634
2015-06-24,-0.004924560433967939
2015-06-25,-0.004820361319189503
2015-06-26,0.020278994212815427
2015-06-29,-0.02721865532376533
2015-06-30,0.005010439283956947
2015-07-01,0.006280357655352953
2015-07-02,0.005211668820850557
2015-07-06,0.006400819479915887
2015-07-07,0.013928655478699259
2015-07-08,-0.005457252083678532
2015-07-09,0.008577739414534102
2015-07-10,0.020011236789186704
2015-07-13,0.02354237216308941
2015-07-14,0.00029950915047516347
2015-07-15,0.007485029940119681
2015-07-16,-0.0055274453241084265
2015-07-17,-0.0024504162333373047
2015-07-20,0.006170982905146838
2015-07-21,-0.006847738112155111
2015-07-22,0.022363517815659373
2015-07-23,-0.0076237568565893366
2015-07-24,0.0018909825264232794
2015-07-27,-0.0185796509450612
2015-07-28,-0.0022838204471808954
2015-07-29,0.002891458359203458
2015-07-30,0.001982111959677013
2015-07-31,-0.004735694222734788
2015-08-03,-0.0045774529447909496
2015-08-04,-0.0012101224848549696
2015-08-05,0.011752511640753749
2015-08-06,-0.013232689825564137
2015-08-07,0.004915033638314581
2015-08-10,0.016605277397892193
2015-08-11,0.0008909117126432164
2015-08-12,-0.009316907700486543
2015-08-13,0.014016989958484771
2015-08-14,0.01039694305013894
2015-08-17,0.002046340722956508
2015-08-18,0.011260913363926983
2015-08-19,-0.004038842473170323
2015-08-20,-0.007646808612951084
2015-08-21,-0.05096319656749404
2015-08-24,-0.023682142646628712
2015-08-25,-0.034400243648404105
2015-08-26,0.03125413491195328
2015-08-27,0.013856389744510533
2015-08-28,-0.007738426426957212
2015-08-31,-0.005723293472385982
2015-09-01,-0.027389473915857665
