Date,PLTR
2020-10-01,-0.004210522300318709
2020-10-02,-0.027484167847082297
2020-10-05,-0.01847826954547782
2020-10-06,0.09634550512581486
2020-10-07,0.010101049022522401
2020-10-08,0.0
2020-10-09,-0.00500001907348635
2020-10-12,-0.0060300971952294
2020-10-13,-0.042467144763802644
2020-10-14,-0.013727572415550227
2020-10-15,0.06102780358802096
2020-10-16,-0.020181615776448725
2020-10-19,-0.014418160944669856
2020-10-20,-0.03134788366010055
2020-10-21,-0.007551310144748635
2020-10-22,0.05217396802848251
2020-10-23,-0.019628153725989694
2020-10-26,0.04847208105809808
2020-10-27,0.1005025144893803
2020-10-28,-0.009132367994271307
2020-10-29,-0.009216624696208542
2020-10-30,-0.057674407958984375
2020-11-02,0.04047382455876081
2020-11-03,-0.003795062808140126
2020-11-04,0.02095240638369611
2020-11-05,0.1082089382945155
2020-11-06,0.16414139650510484
2020-11-09,0.0607375384831379
2020-11-10,-0.04567144327263062
2020-11-11,0.14000000272478386
2020-11-12,-0.08646617237734933
2020-11-13,0.08367628761404688
2020-11-16,0.008227855245036553
2020-11-17,0.12052730944833212
2020-11-18,0.0028010776466118603
2020-11-19,0.060335192554307415
2020-11-20,-0.04373023939537246
2020-11-23,0.15922872494424278
2020-11-24,0.1321292137989052
2020-11-25,0.21956337570284434
2020-11-27,-0.047848517251427136
2020-11-30,-0.01988428199908343
2020-12-01,-0.05311694952554791
2020-12-02,-0.12310088967745447
2020-12-03,0.06752556385199004
2020-12-04,-0.007490649189861087
2020-12-07,0.21341719375998713
2020-12-08,-0.012094000518688142
2020-12-09,-0.0685554732899809
2020-12-10,0.015396236112721562
2020-12-11,0.005917153919925866
2020-12-14,0.0014705517300281912
2020-12-15,-0.029735663463595352
2020-12-16,-0.019296262693646815
2020-12-17,0.05054010270395359
2020-12-18,-0.04627250275665462
2020-12-21,0.09780519763900042
2020-12-22,-0.01648541948724236
2020-12-23,0.0231811553961232
2020-12-24,-0.03276404728336457
2020-12-28,-0.07639642663904134
2020-12-29,-0.03784624834632566
2020-12-30,0.01784268194566896
2020-12-31,-0.06175303270327759
2021-01-04,-0.007643244316708375
2021-01-05,0.05263155746966919
2021-01-06,-0.04308940851646659
2021-01-07,0.062022048754875714
2021-01-08,0.008000030517578027
2021-01-11,0.028968234926004754
2021-01-12,0.009641341961345695
2021-01-13,-0.025974037328080013
2021-01-14,-0.02274509504729627
2021-01-15,0.028892428216299226
2021-01-19,0.03822158630708139
2021-01-20,-0.010518432675360123
2021-01-21,-0.013667449060974723
2021-01-22,0.2540416630142188
2021-01-25,0.11203184487554352
2021-01-26,-0.02373725148268324
2021-01-27,0.10262938020173129
2021-01-28,-0.0856410295535357
2021-01-29,-0.013460447119748475
2021-02-01,-0.03467882916770848
2021-02-02,-0.08657240005796185
2021-02-03,0.0238555693165039
2021-02-04,0.009130951073325067
2021-02-05,0.062402497585314354
2021-02-08,0.05873715256425527
2021-02-09,0.05880718382111194
2021-02-10,-0.06471044077794641
2021-02-11,-0.07254902233157923
2021-02-12,-0.03624284931496746
2021-02-16,-0.12754621480057116
2021-02-17,-0.02729885864642101
2021-02-18,-0.0705317523188056
2021-02-19,0.1521652726299867
2021-02-22,-0.03448275862068961
2021-02-23,-0.044642857142857095
2021-02-24,-0.013457966742114524
2021-02-25,-0.09208034715335978
2021-02-26,-0.0025041514288398625
2021-03-01,0.03807530803082382
2021-03-02,-0.013301085482047559
2021-03-03,-0.03635618489750725
2021-03-04,0.048325535492774296
2021-03-05,-0.03154059012272592
2021-03-08,-0.05970773526607076
2021-03-09,0.07726464190715898
2021-03-10,0.02019784692890525
2021-03-11,0.07999998150449805
2021-03-12,0.007108138320668367
2021-03-15,-0.00482909213960514
2021-03-16,-0.04404629581374364
2021-03-17,-0.015618958076761058
2021-03-18,-0.04879014624772082
2021-03-19,0.014178488702180525
2021-03-22,-0.004111857842292954
2021-03-23,-0.0396366272373645
2021-03-24,-0.059329366059149624
2021-03-25,0.031992723482121344
2021-03-26,0.0
2021-03-29,-0.03764394970512541
2021-03-30,0.014266055214979145
2021-03-31,0.056715061164964276
2021-04-01,-0.009446166253967436
2021-04-05,0.016038181366617277
2021-04-06,-0.007252562816581043
2021-04-07,-0.015900336568749562
2021-04-08,0.02227075272390633
2021-04-09,0.026911622051329465
2021-04-12,-0.029118167066596312
2021-04-13,0.08911739117856987
2021-04-14,-0.06766323006263564
2021-04-15,-0.02320679859509689
2021-04-16,-0.02937366377455486
2021-04-19,-0.023586951290286984
2021-04-20,-0.007292609093775604
2021-04-21,0.039026558646633625
2021-04-22,0.010163564211867593
2021-04-23,0.024059458546623835
2021-04-26,0.029901784173520074
2021-04-27,-0.009539670002588485
2021-04-28,-0.0012562303329625157
2021-04-29,-0.020125766648174337
2021-04-30,-0.014120663750771145
2021-05-03,-0.032118127129417195
2021-05-04,-0.02959640672611552
2021-05-05,-0.02264324329660361
2021-05-06,-0.05011817896269266
2021-05-07,-0.016923850174490607
2021-05-10,-0.06481016134913964
2021-05-11,0.09420681298347855
2021-05-12,-0.0653141887491907
2021-05-13,-0.027527716634019317
2021-05-14,0.09308650007356323
2021-05-17,0.018924261066255443
2021-05-18,0.03812320242171752
2021-05-19,-0.026836144113301486
2021-05-20,-0.0029027317716943113
2021-05-21,0.006792789204388638
2021-05-24,0.022650569318288793
2021-05-25,0.012252603077051338
2021-05-26,0.02979521930336304
2021-05-27,0.026220610384305676
2021-05-28,0.011013215488880235
2021-06-01,0.004792971649071109
2021-06-02,0.06027759450081427
2021-06-03,-0.03353789679286168
