Date,ODFL
2015-01-05,-0.025415990228696672
2015-01-06,-0.018797968246254237
2015-01-07,-0.0053967474893621414
2015-01-08,0.026315941855549863
2015-01-09,-0.02022207364862283
2015-01-12,-0.010791798735228952
2015-01-13,0.0
2015-01-14,-0.008863989868339806
2015-01-15,-0.007980193698773785
2015-01-16,0.004021989165602813
2015-01-20,0.004835210771929388
2015-01-21,-0.01237312783940725
2015-01-22,0.028118083604893096
2015-01-23,0.013538881419196791
2015-01-26,-0.008148315111479842
2015-01-27,-0.01144781064124889
2015-01-28,-0.01049033037771796
2015-01-29,-0.018449520913421558
2015-01-30,-0.016412210661445936
2015-02-02,0.016257975228406663
2015-02-03,0.010524979333094597
2015-02-04,-0.009026720363505936
2015-02-05,0.0323711653011336
2015-02-06,0.007058594024129228
2015-02-09,-0.009435236368785738
2015-02-10,0.009525108014339256
2015-02-11,0.004717498313010049
2015-02-12,0.010061607751046697
2015-02-13,0.012883828205229264
2015-02-17,0.003015964014611683
2015-02-18,0.005490977027437616
2015-02-19,0.010271436090812047
2015-02-20,0.0010297257678897331
2015-02-23,0.0002571856873039291
2015-02-24,0.008097360980925616
2015-02-25,0.0015304013529517935
2015-02-26,-0.0024189358720083654
2015-02-27,-0.003062779489031886
2015-03-02,0.015872849629026353
2015-03-03,-0.016758983544630457
2015-03-04,-0.004869504749301923
2015-03-05,0.0
2015-03-06,-0.0018034658918940627
2015-03-09,0.0030967498545135808
2015-03-10,-0.012090100945800208
2015-03-11,0.014060631921046118
2015-03-12,0.006676089579120914
2015-03-13,-0.002805933647219261
2015-03-16,0.013940468509477277
2015-03-17,0.006306944391784475
2015-03-18,0.0075201413646568405
2015-03-19,-0.00012428585421930816
2015-03-20,-0.0029858132008868665
2015-03-23,-0.010607906774664833
2015-03-24,-0.013875038354606684
2015-03-25,-0.017907477489481405
2015-03-26,0.002604890590579778
2015-03-27,0.0011693631926703585
2015-03-30,0.005319646103640663
2015-03-31,-0.0023229451611392893
2015-04-01,-0.022509721032427876
2015-04-02,-0.028322052376219764
2015-04-06,-0.01389239713115864
2015-04-07,0.0016573722849257955
2015-04-08,-0.008687399942673757
2015-04-09,-0.0029209574947820505
2015-04-10,0.0064174216533949835
2015-04-13,-0.0019408028422920331
2015-04-14,0.0027780728473167926
2015-04-15,0.005262705387613309
2015-04-16,0.005786704711009838
2015-04-17,-0.0030134751165362683
2015-04-20,0.020060541280660038
2015-04-21,0.007408332605272516
2015-04-22,-0.0038774874724645247
2015-04-23,0.010603787342033266
2015-04-24,-0.01261766432056588
2015-04-27,0.0020177511055361474
2015-04-28,0.005369861155815503
2015-04-29,-0.023367651563209635
2015-04-30,-0.027481473189189254
2015-05-01,0.012371709580104362
2015-05-04,-0.001944471294327732
2015-05-05,-0.019062124626745836
2015-05-06,0.0038300305070344542
2015-05-07,0.013847695456257858
2015-05-08,0.008919616935075814
2015-05-11,-0.0034532890727446697
2015-05-12,-0.001802074271561982
2015-05-13,-0.010831883302411582
2015-05-14,-0.005334789615284663
2015-05-15,0.0015524603048151508
2015-05-18,0.018884221868259443
2015-05-19,-0.005394585848168987
2015-05-20,-0.015852946969658888
2015-05-21,0.017945438434538774
2015-05-22,-0.011243806775171117
2015-05-26,-0.014319689679433978
2015-05-27,0.019512725679646126
2015-05-28,-0.002514745481517311
2015-05-29,-0.04747896030077314
2015-06-01,0.0060286557950066655
2015-06-02,-0.013446557222606903
2015-06-03,0.00903739622224875
2015-06-04,0.006900554129999792
2015-06-05,0.02610089173767416
2015-06-08,-0.01776334441392169
2015-06-09,-0.0014469556803882178
2015-06-10,0.00869328356612753
2015-06-11,0.013358111485162194
2015-06-12,-0.004110521971497527
2015-06-15,-0.0056930695784642715
2015-06-16,-0.0008590281507819819
2015-06-17,0.010601835850811092
2015-06-18,0.013042269412367524
2015-06-19,0.003498562592560317
2015-06-22,-0.003067766680738493
2015-06-23,-0.008532832067771001
2015-06-24,-0.0214444450764375
2015-06-25,-0.004758370400674283
2015-06-26,-0.0023175127281547248
2015-06-29,-0.01190674703900263
2015-06-30,0.008229718030286826
2015-07-01,0.005829893783854789
2015-07-02,-0.0044925490886075226
2015-07-06,-0.013536570894741473
2015-07-07,-0.00014776164725283092
2015-07-08,-0.015348132914488
2015-07-09,0.010191789732411527
2015-07-10,0.004154145221175964
2015-07-13,0.005466743662151385
2015-07-14,-0.00999233911955022
2015-07-15,-0.011578175433242133
2015-07-16,0.02027389122719514
2015-07-17,-0.0007363486218900928
2015-07-20,0.009574608184854672
2015-07-21,0.012693196498923642
2015-07-22,-0.00648336952763362
2015-07-23,-0.01870662236544518
2015-07-24,-0.008866274740005453
2015-07-27,-0.005069346721941148
2015-07-28,0.019031810842959462
2015-07-29,0.037793906932225285
2015-07-30,0.03060817280993744
2015-07-31,0.005774931732353883
2015-08-03,0.012439941643702435
2015-08-04,-0.004455915726266024
2015-08-05,0.005289637847048834
2015-08-06,-0.010118861547686153
2015-08-07,-0.01417450943030607
2015-08-10,0.010369033117314297
2015-08-11,-0.0002737261067694563
2015-08-12,-0.006022324767325893
2015-08-13,-0.0016525148498555131
2015-08-14,0.008827673826823812
2015-08-17,0.00259777821749152
2015-08-18,-0.005727437708384575
2015-08-19,-0.015224290362958581
2015-08-20,-0.016434607967533044
2015-08-21,-0.034267630571719
2015-08-24,-0.0340179633331853
2015-08-25,-0.01867008429877215
2015-08-26,0.0244391012046683
2015-08-27,0.016910663952094396
2015-08-28,0.00044569733057842065
2015-08-31,-0.013208779044751373
2015-09-01,-0.03173413406986825
