Date,FRT
2015-01-05,0.013555550164294106
2015-01-06,0.013083287861299864
2015-01-07,0.020949938685704383
2015-01-08,-0.0043570990213335214
2015-01-09,0.0009178438006187672
2015-01-12,0.005923397692467081
2015-01-13,-0.005327658010683134
2015-01-14,0.008597839993617962
2015-01-15,-0.0009083604339880091
2015-01-16,0.008812665929428087
2015-01-20,-0.007487251403332396
2015-01-21,-0.0002797036591586366
2015-01-22,0.017887166847364133
2015-01-23,-0.00418750123562972
2015-01-26,0.019369962199640378
2015-01-27,-0.004327815471145802
2015-01-28,-0.0033278068272315497
2015-01-29,0.00442960244183066
2015-01-30,-0.024627036468807484
2015-02-02,0.0006259837775317578
2015-02-03,0.01153900173741107
2015-02-04,-0.005497521305541597
2015-02-05,0.016031127360174757
2015-02-06,-0.03223645686405496
2015-02-09,-0.006254293575481351
2015-02-10,0.006788938448715864
2015-02-11,-0.0009133166953084748
2015-02-12,0.016169684368910087
2015-02-13,-0.004012542264572483
2015-02-17,-0.002639511468215505
2015-02-18,0.008775525373062809
2015-02-19,-0.018019653207168584
2015-02-20,0.014131804805863846
2015-02-23,0.00818077196632161
2015-02-24,-0.016572611369818357
2015-02-25,-0.0033566086613945334
2015-02-26,-0.013751184029005326
2015-02-27,0.010385972413399891
2015-03-02,0.004506071497287989
2015-03-03,-0.006939148243319981
2015-03-04,-0.005434416912719842
2015-03-05,0.006670823189595332
2015-03-06,-0.03341569256596433
2015-03-09,0.011669453734444168
2015-03-10,-0.004974467736137078
2015-03-11,0.01217210834174498
2015-03-12,0.010164983609994849
2015-03-13,0.004251696509808722
2015-03-16,0.012700773278908839
2015-03-17,0.001184534240576518
2015-03-18,0.02716746017385807
2015-03-19,-0.002045236786398341
2015-03-20,0.020765155792100254
2015-03-23,0.005553891165205549
2015-03-24,-0.009383087316827798
2015-03-25,-0.020892105914377623
2015-03-26,-0.00562606288495382
2015-03-27,0.005036929469666163
2015-03-30,0.02196893626142793
2015-03-31,-0.011083979570844615
2015-04-01,-0.005298620319133751
2015-04-02,0.013794755324212149
2015-04-06,0.005052257360098844
2015-04-07,-0.020643555627476995
2015-04-08,0.004379849487902598
2015-04-09,-0.026710208391973467
2015-04-10,-0.0029399790780499924
2015-04-13,-0.009830618680863323
2015-04-14,0.001488961432877467
2015-04-15,-0.013098841383250459
2015-04-16,-0.0009326743793011127
2015-04-17,-0.0016513931064596754
2015-04-20,0.0038121888040698604
2015-04-21,0.0047296468352791
2015-04-22,0.0017116244058694718
2015-04-23,-0.0012816235657575614
2015-04-24,0.001069456111957523
2015-04-27,0.00014238913480824067
2015-04-28,-0.008473554549159212
2015-04-29,-0.018456001230277908
2015-04-30,-0.02202212026623296
2015-05-01,0.010398593521599775
2015-05-04,-0.000592324444605441
2015-05-05,-0.0183729405245614
2015-05-06,-0.0045284312578575125
2015-05-07,0.0159212307696448
2015-05-08,0.00022398222847996863
2015-05-11,-0.013056771291924951
2015-05-12,0.005820747743887855
2015-05-13,-0.015558120392987207
2015-05-14,0.029241057076653254
2015-05-15,0.012981477137577802
2015-05-18,0.00021986463131273837
2015-05-19,-0.0005857706393169737
2015-05-20,-0.004834972870181642
2015-05-21,-0.006109486087528482
2015-05-22,0.0014071253316170207
2015-05-26,-0.004880885324551998
2015-05-27,0.007654852303555781
2015-05-28,0.0005901343224610223
2015-05-29,-0.008772201739783658
2015-06-01,0.01472455712872378
2015-06-02,-0.015536532966434313
2015-06-03,-0.01727099696140877
2015-06-04,-0.004393862779957902
2015-06-05,-0.007912806743779033
2015-06-08,0.004141258915139279
2015-06-09,-0.011533143816209401
2015-06-10,0.006568203625629154
2015-06-11,0.008674281668768158
2015-06-12,0.000608738372201989
2015-06-15,-0.0013692289321237672
2015-06-16,0.010510406464354194
2015-06-17,0.010400835933779273
2015-06-18,0.015541798192175493
2015-06-19,-0.010942102293579059
2015-06-22,-0.007773709091721148
2015-06-23,-0.008513020497470491
2015-06-24,-0.005774304024615984
2015-06-25,-0.011081476149640945
2015-06-26,0.00850060979079692
2015-06-29,-0.020383019902627364
2015-06-30,0.0019556025871314553
2015-07-01,0.018424447072949768
2015-07-02,0.004139533354780456
2015-07-06,0.012214829861293186
2015-07-07,0.012821263216845624
2015-07-08,0.0013404154508060984
2015-07-09,-0.008180189276061678
2015-07-10,0.005173661587616563
2015-07-13,0.0035059092117855073
2015-07-14,-0.0020815616883175236
2015-07-15,0.0026073179473684593
2015-07-16,0.0144871880550701
2015-07-17,-0.004760129099247834
2015-07-20,0.0030168489129909215
2015-07-21,-0.007923067212269319
2015-07-22,0.0023662877845487262
2015-07-23,-0.01261553840718832
2015-07-24,0.004707435060680387
2015-07-27,-0.003272075710424649
2015-07-28,0.007162585324340887
2015-07-29,0.0105194174697818
2015-07-30,0.0010995315232842362
2015-07-31,0.0016839728423558853
2015-08-03,0.016521947117004165
2015-08-04,-0.011794261639154313
2015-08-05,-0.008951650912649933
2015-08-06,-0.003084148190649283
2015-08-07,0.006261351648408686
2015-08-10,-0.013249704276851904
2015-08-11,0.003932188154270877
2015-08-12,0.005172367446782067
2015-08-13,0.003896226610808684
2015-08-14,0.00322199760461106
2015-08-17,0.008467010586921564
2015-08-18,-0.0018091282704976175
2015-08-19,-0.008628957236815338
2015-08-20,-0.006656087063863558
2015-08-21,-0.013327754297305261
2015-08-24,-0.04791006844260237
2015-08-25,-0.020536402983025392
2015-08-26,0.04345457650695028
2015-08-27,0.02162701319711946
2015-08-28,-0.0038286759770485013
2015-08-31,-0.027279470421813556
2015-09-01,-0.020219956202791267
