Date,WTW
2015-01-05,-0.007182715831084874
2015-01-06,-0.004974245168947955
2015-01-07,0.01431487566222378
2015-01-08,0.011424801756203973
2015-01-09,-0.008859455965891327
2015-01-12,-0.008938344540664778
2015-01-13,0.0011273889950600413
2015-01-14,-0.008783899431451303
2015-01-15,-0.0024994019519242183
2015-01-16,0.0004557017304775979
2015-01-20,-0.015938128118113015
2015-01-21,-0.002313494640353131
2015-01-22,0.008116282709503597
2015-01-23,-0.00552064389421858
2015-01-26,0.008096337786937191
2015-01-27,-0.010555220676593757
2015-01-28,-0.006494048072447689
2015-01-29,0.01984155367533824
2015-01-30,-0.008926412971798747
2015-02-02,0.015242621537393086
2015-02-03,0.014331075746700339
2015-02-04,0.006503448379139742
2015-02-05,0.0024511777208451324
2015-02-06,-0.0022227782369796945
2015-02-09,-0.0015594034398391798
2015-02-10,0.0037930483191475073
2015-02-11,0.06423673149512443
2015-02-12,0.010442638194574583
2015-02-13,-0.01136847539093322
2015-02-17,-0.002926959249203942
2015-02-18,-0.003983911966718545
2015-02-19,0.005052258045364244
2015-02-20,0.00020945254359161503
2015-02-23,0.0
2015-02-24,-0.00041867539283291233
2015-02-25,-0.00230467337452811
2015-02-26,-0.0014700758456067664
2015-02-27,0.0035753487134062567
2015-03-02,0.0081727816679662
2015-03-03,-0.0010395605086216397
2015-03-04,-0.011651738098363174
2015-03-05,0.00568414709891929
2015-03-06,-0.011723037032564165
2015-03-09,0.006990032148246117
2015-03-10,-0.009044990233030514
2015-03-11,0.013160725414890884
2015-03-12,0.008799345632689137
2015-03-13,0.0024923804820666806
2015-03-16,0.01740195355565377
2015-03-17,-0.0002036095346135136
2015-03-18,0.00529547827126664
2015-03-19,-0.003444242293476951
2015-03-20,-0.0004063500586199975
2015-03-23,-0.003253914303387506
2015-03-24,-0.007549543990501673
2015-03-25,-0.009251867265604008
2015-03-26,-0.002905093775473322
2015-03-27,0.005446255395200161
2015-03-30,0.013124956149582534
2015-03-31,-0.009253556250073625
2015-04-01,0.00394318701609242
2015-04-02,0.0022743379609395653
2015-04-06,0.0101072367826478
2015-04-07,-0.0006124052044195194
2015-04-08,0.003065003381130582
2015-04-09,0.0014257722378414606
2015-04-10,0.00345813942097406
2015-04-13,0.0026354586059118557
2015-04-14,0.0056607657261971145
2015-04-15,-0.0038194499455843633
2015-04-16,-0.005449168484415456
2015-04-17,-0.008116952009894818
2015-04-20,0.0024550266037577373
2015-04-21,-0.0010204168595655538
2015-04-22,-0.0036772392656143627
2015-04-23,0.005126007827842782
2015-04-24,0.0075482246925346885
2015-04-27,-0.006681761252616991
2015-04-28,0.0052997199087216895
2015-04-29,-0.0044607167136589965
2015-04-30,-0.009572191446023726
2015-05-01,0.0010279036043454592
2015-05-04,-0.01602285672698267
2015-05-05,-0.005219181141034479
2015-05-06,-0.003987258526532145
2015-05-07,0.009481606516416274
2015-05-08,-0.0004176075606580065
2015-05-11,-0.0070995519514520655
2015-05-12,-0.0058885746792209925
2015-05-13,-0.0027501680828467823
2015-05-14,0.010394544619728885
2015-05-15,-0.004828704819937357
2015-05-18,0.020252881081322727
2015-05-19,0.0035153465279997853
2015-05-20,0.0024729408461530156
2015-05-21,-0.0063722097916455445
2015-05-22,0.002896135392918886
2015-05-26,-0.010107028384580885
2015-05-27,0.0008335420463296828
2015-05-28,-0.0018739426818668026
2015-05-29,-0.010012445923596514
2015-06-01,0.0031604408935321793
2015-06-02,-0.00021022560843586557
2015-06-03,0.0010505708096681943
2015-06-04,-0.00965363801295771
2015-06-05,0.0029663557057708623
2015-06-08,-0.00021090012086200094
2015-06-09,-0.002536174794225854
2015-06-10,0.007627156495769061
2015-06-11,0.011564440010808363
2015-06-12,-0.009977207214982964
2015-06-15,-0.0031491614656726785
2015-06-16,0.002948592522472593
2015-06-17,0.002310015967285306
2015-06-18,0.006285478986336246
2015-06-19,-0.0093693628251309
2015-06-22,0.0008407248891655339
2015-06-23,0.0
2015-06-24,-0.009239780986950552
2015-06-25,-0.00868995418112406
2015-06-26,0.0034437499243940017
2015-06-29,-0.02616903161788442
2015-06-30,0.03303956041866907
2015-07-01,-0.0008528249290798984
2015-07-02,0.0002130312591961392
2015-07-06,0.006187653984727648
2015-07-07,-0.0036048072325128855
2015-07-08,-0.007873877845326338
2015-07-09,0.004075463162890758
2015-07-10,0.003845233565564321
2015-07-13,0.0014895140262927153
2015-07-14,-0.0012748172795074009
2015-07-15,-0.0010638342548223712
2015-07-16,0.0008519880135966496
2015-07-17,0.00021279788856642945
2015-07-20,-0.0038299029672975715
2015-07-21,-0.006193617976911536
2015-07-22,-0.0008598220450923844
2015-07-23,0.0
2015-07-24,-0.0066682579279604415
2015-07-27,-0.003247956073232361
2015-07-28,0.0034758483232093518
2015-07-29,0.014721603215051893
2015-07-30,-0.005333497783562069
2015-07-31,-0.002788614536273104
2015-08-03,0.008388878162946645
2015-08-04,0.0010664860003464227
2015-08-05,0.004474825666141324
2015-08-06,-0.017394966868994
2015-08-07,-0.001079524021413647
2015-08-10,0.003242071958799775
2015-08-11,-0.010986889342900374
2015-08-12,-0.0017426491575422975
2015-08-13,0.00021847601990265808
2015-08-14,0.008944029445273172
2015-08-17,0.004540689788464336
2015-08-18,-0.001076198931044825
2015-08-19,-0.010342741393405186
2015-08-20,-0.009579922935832763
2015-08-21,-0.018905247403038117
2015-08-24,-0.030920918791473517
2015-08-25,-0.009479871728806932
2015-08-26,0.006536398390838638
2015-08-27,0.02110380957841329
2015-08-28,-0.014989901525628624
2015-08-31,-0.006456287845841402
