Date,EVRG
2015-01-05,-0.008258706151581308
2015-01-06,-0.0029389784254109097
2015-01-07,0.01694902394961262
2015-01-08,0.008937506414538499
2015-01-09,-0.01436432561474077
2015-01-12,-0.011659365763971752
2015-01-13,0.014745659126408572
2015-01-14,0.01162541742821288
2015-01-15,0.0002392200108638498
2015-01-16,0.010292059002547926
2015-01-20,0.010897324886246507
2015-01-21,0.017108825679665207
2015-01-22,0.0032255404795102915
2015-01-23,-0.00114837079805985
2015-01-26,0.00045964609298265735
2015-01-27,-0.0006892163257997685
2015-01-28,-0.006669856685308617
2015-01-29,0.017827993388053187
2015-01-30,-0.028207366352878016
2015-02-02,-0.004447168252132427
2015-02-03,0.007524004026323583
2015-02-04,-0.006534469004179755
2015-02-05,0.013859398535361
2015-02-06,-0.047265844101085586
2015-02-09,-0.016537160616735158
2015-02-10,0.015084385129963795
2015-02-11,-0.015103304632499426
2015-02-12,-0.005936659072806716
2015-02-13,-0.019407464816436293
2015-02-17,-0.008373842206875981
2015-02-18,0.027891313300701936
2015-02-19,-0.0014933909881034158
2015-02-20,-0.0027425448746329906
2015-02-23,0.001250279909519092
2015-02-24,0.001997268979404998
2015-02-25,-0.01196097518628092
2015-02-26,-0.0063053176761606045
2015-02-27,-0.01395940860849143
2015-03-02,-0.01364220258066684
2015-03-03,-0.0002609025762332351
2015-03-04,-0.004437663419895266
2015-03-05,0.006617477219591494
2015-03-06,-0.027084086190494183
2015-03-09,-0.0027023751267064577
2015-03-10,0.008129765509856224
2015-03-11,-0.0037632514017907903
2015-03-12,0.017269472250901696
2015-03-13,-0.007427044648905201
2015-03-16,0.010422042216743588
2015-03-17,0.0023802232180054617
2015-03-18,0.023218886142761352
2015-03-19,-0.003867859769098314
2015-03-20,0.010095597475840101
2015-03-23,-0.005125450231376005
2015-03-24,-0.017259167834595357
2015-03-25,-0.00707732087023949
2015-03-26,-0.002112054741990721
2015-03-27,0.009259377413821657
2015-03-30,0.011009414656716343
2015-03-31,0.004926053105356543
2015-04-01,0.002580092780085197
2015-04-02,0.0020583652225081295
2015-04-06,0.01335422673383646
2015-04-07,-0.01849988649262202
2015-04-08,-0.007746131506744414
2015-04-09,-0.007285966268597677
2015-04-10,0.014679171376114297
2015-04-13,-0.008008247706909333
2015-04-14,0.0036455769108054703
2015-04-15,-0.005967545352872694
2015-04-16,-0.010441164038484718
2015-04-17,-0.004748833840110711
2015-04-20,0.007686621878019828
2015-04-21,-0.006575269611935219
2015-04-22,0.013502702196997785
2015-04-23,0.0013060066079413346
2015-04-24,0.010696753034385331
2015-04-27,-0.008776289880034427
2015-04-28,0.008853995107696022
2015-04-29,-0.006195078373376406
2015-04-30,-0.022077890279723067
2015-05-01,0.001859355340024127
2015-05-04,0.008218285592274999
2015-05-05,-0.02603200681169937
2015-05-06,-0.02267822857760704
2015-05-07,-0.006906228473476328
2015-05-08,0.0013907285580616602
2015-05-11,-0.0022222744559868834
2015-05-12,0.00027877707640588945
2015-05-13,-0.00974120695013203
2015-05-14,0.009555590553840698
2015-05-15,0.006125115274666415
2015-05-18,0.009131129811909
2015-05-19,-0.0013710499933302644
2015-05-20,0.006315065005595866
2015-05-21,-0.0016370896775133037
2015-05-22,-0.0002734463482821914
2015-05-26,-0.007107480773083763
2015-05-27,0.006057201148998326
2015-05-28,0.0054735439216786475
2015-05-29,-0.0019054841166769032
2015-06-01,-0.003272469032297165
2015-06-02,-0.01340614615528768
2015-06-03,-0.01691621607842353
2015-06-04,-0.007334269830437612
2015-06-05,-0.01177153042271084
2015-06-08,-0.001452588638659602
2015-06-09,-0.0023275068800081566
2015-06-10,0.009332145025720218
2015-06-11,0.01589138570313664
2015-06-12,-0.011092456431304742
2015-06-15,-0.004313822167271164
2015-06-16,0.0023107780570330583
2015-06-17,0.005475484656456864
2015-06-18,0.016623573869774866
2015-06-19,0.0005638507739045284
2015-06-22,-0.003944731177604965
2015-06-23,-0.016407488346101395
2015-06-24,-0.009778363066903162
2015-06-25,-0.00929419960552913
2015-06-26,0.00791544214240325
2015-06-29,-0.003780950241479175
2015-06-30,-0.0008759426419663319
2015-07-01,0.014026731660867986
2015-07-02,0.017867321329538388
2015-07-06,0.0039637948991417815
2015-07-07,0.023970837979560233
2015-07-08,0.0
2015-07-09,-0.005783355216075647
2015-07-10,0.012742090538360618
2015-07-13,-0.010667244126874476
2015-07-14,-0.006635562530160399
2015-07-15,0.0022265278754092233
2015-07-16,0.014995977910249758
2015-07-17,-0.006839834187556848
2015-07-20,-0.008539889417559565
2015-07-21,-0.0113921180714871
2015-07-22,0.00674498241871202
2015-07-23,-0.00865463479360451
2015-07-24,0.0014086926539320643
2015-07-27,0.017435437518124708
2015-07-28,0.008014975201563912
2015-07-29,0.011790650646881229
2015-07-30,0.011111177650421578
2015-07-31,0.0091128870037549
2015-08-03,0.0031870717807054305
2015-08-04,-0.012708508791064332
2015-08-05,-0.00160884713018572
2015-08-06,-0.0002686343460809315
2015-08-07,0.0206876175178774
2015-08-10,-0.0052642724820239906
2015-08-11,0.013495524208143816
2015-08-12,0.014621609849408967
2015-08-13,0.009778586335799977
2015-08-14,0.012741893063178855
2015-08-17,0.003271400249786227
2015-08-18,-0.00852769217978988
2015-08-19,0.0010120858858913007
2015-08-20,-0.008339801422202808
2015-08-21,-0.014271206668549863
2015-08-24,-0.03955521907906345
2015-08-25,-0.032570710586687146
2015-08-26,0.020590181425478526
2015-08-27,0.013358444643788658
2015-08-28,-0.0024213181688405028
2015-08-31,-0.014293376457310325
2015-09-01,-0.029001503036339416
