Date,DLTR
2015-01-05,-0.010376627482196699
2015-01-06,-0.013645569378885947
2015-01-07,0.03145483791619208
2015-01-08,0.003953109869525795
2015-01-09,-0.02320350881333999
2015-01-12,-0.0004318856851753816
2015-01-13,-0.02059628833199323
2015-01-14,-0.009264665491440671
2015-01-15,-0.014249651852973444
2015-01-16,0.0045173227800083815
2015-01-20,0.008094752255108917
2015-01-21,0.008327101243029711
2015-01-22,0.035982930677705305
2015-01-23,0.02590746896546925
2015-01-26,-0.023726919546462333
2015-01-27,0.013501946276311072
2015-01-28,-0.018931405417758285
2015-01-29,0.0031446715777896372
2015-01-30,0.013109121757548081
2015-02-02,0.015893177314536766
2015-02-03,0.029904415510559446
2015-02-04,0.008200035157366115
2015-02-05,0.012266642252604099
2015-02-06,-0.011195975956553417
2015-02-09,-0.0022645287016970217
2015-02-10,0.010814386409777166
2015-02-11,0.012547940683195202
2015-02-12,-0.010566203356296544
2015-02-13,0.012788414505163992
2015-02-17,-0.0011715222370235479
2015-02-18,0.003779398845896287
2015-02-19,-0.004154761214898439
2015-02-20,0.012907503683893484
2015-02-23,0.0014158914518573873
2015-02-24,-0.004241668613240934
2015-02-25,0.02181492725928358
2015-02-26,-0.0015159517563220204
2015-02-27,0.008097158176053387
2015-03-02,0.00301202137111356
2015-03-03,-0.009509440994097118
2015-03-04,-0.004042538016858721
2015-03-05,0.00748356157649388
2015-03-06,0.0022661501256981964
2015-03-09,0.0011304652330190734
2015-03-10,-0.001129188724424579
2015-03-11,-0.009797748691330321
2015-03-12,0.026132151601476084
2015-03-13,0.012609769812799154
2015-03-16,0.021975281917804956
2015-03-17,-0.004658934343732213
2015-03-18,0.004560696769200456
2015-03-19,-0.003464674990515615
2015-03-20,0.004795514673572532
2015-03-23,-0.009068065015806814
2015-03-24,-0.0026490212235876776
2015-03-25,-0.020041091698817293
2015-03-26,-0.0018479922294281081
2015-03-27,0.008639898872380813
2015-03-30,0.0011012767565625747
2015-03-31,-0.008067425160869113
2015-04-01,0.0018484476039235531
2015-04-02,-0.0022140258108132027
2015-04-06,-0.0017258306818084268
2015-04-07,-0.004939509870305003
2015-04-08,0.036609541836784665
2015-04-09,-0.009337947931231105
2015-04-10,0.0014501842487255612
2015-04-13,-0.012670484095056
2015-04-14,-0.009410860986780456
2015-04-15,0.001974041044917385
2015-04-16,-0.002216479586319764
2015-04-17,-0.023324687376539033
2015-04-20,0.007202422279760201
2015-04-21,0.01342365709589699
2015-04-22,-0.0025996420852444357
2015-04-23,0.005461120057997482
2015-04-24,0.0016047062089858954
2015-04-27,-0.008873566996784876
2015-04-28,-0.0055955851590152594
2015-04-29,-0.03126172266898486
2015-04-30,-0.013682684160207237
2015-05-01,0.017275220933915314
2015-05-04,-0.005403393544333057
2015-05-05,-0.0125469053335302
2015-05-06,0.010610495504913331
2015-05-07,0.01114712369854054
2015-05-08,0.014998053286835233
2015-05-11,-0.002525851824594083
2015-05-12,0.0029120754338238797
2015-05-13,-0.01716955720326674
2015-05-14,-0.011303754279590628
2015-05-15,0.018188924303957688
2015-05-18,0.0006379408014689503
2015-05-19,-0.011094046639904431
2015-05-20,-0.01663444055142571
2015-05-21,0.031733518242266
2015-05-22,-0.019064565253964827
2015-05-26,-0.02176730109526992
2015-05-27,0.011125779309809625
2015-05-28,-0.001964814038246554
2015-05-29,-0.015750158015280014
2015-06-01,0.026536945590786676
2015-06-02,0.009223162555353603
2015-06-03,0.017891612124697476
2015-06-04,-0.0031613555160772133
2015-06-05,-0.015095806339781803
2015-06-08,-0.00682636248664803
2015-06-09,-0.00025942513685117685
2015-06-10,0.01478800198726482
2015-06-11,0.005113049716479745
2015-06-12,0.0017804832066472542
2015-06-15,-0.010917773487460591
2015-06-16,0.008214598377174642
2015-06-17,0.014894947466448594
2015-06-18,0.007400857110591685
2015-06-19,-0.009338812386998296
2015-06-22,0.013574684064806553
2015-06-23,-0.0033481726824152735
2015-06-24,0.002488452673975905
2015-06-25,-0.001365280014499315
2015-06-26,0.014914300165189687
2015-06-29,-0.02828808577509445
2015-06-30,-0.0045368697829146765
2015-07-01,0.01417904515599111
2015-07-02,-0.003744888896169196
2015-07-06,0.0033830883438219495
2015-07-07,0.0032466845765619645
2015-07-08,-0.013940691663428373
2015-07-09,-0.0030295109829765465
2015-07-10,0.018865507729036057
2015-07-13,0.020380258043621202
2015-07-14,0.0035318586453740863
2015-07-15,-0.0072815347452712675
2015-07-16,0.0046454430225086885
2015-07-17,-0.006205915482314084
2015-07-20,-0.0015917381698608013
2015-07-21,-0.021093956357505883
2015-07-22,-0.007642202614429716
2015-07-23,-0.012245944096889505
2015-07-24,0.00370655577000778
2015-07-27,-0.010059861553641247
2015-07-28,0.005145376085292197
2015-07-29,-0.007038687689453371
2015-07-30,0.0
2015-07-31,0.0056708656034745175
2015-08-03,-0.004741703485527493
2015-08-04,0.0018027219037686226
2015-08-05,0.010025690857337954
2015-08-06,-0.01247140918933265
2015-08-07,-0.004381396192991049
2015-08-10,0.011001792009043942
2015-08-11,-0.005377008906202074
2015-08-12,-0.004762552901978467
2015-08-13,0.00012936027250320947
2015-08-14,0.005819176743656396
2015-08-17,0.008999801859382872
2015-08-18,0.011340460647034423
2015-08-19,0.019528730864634136
2015-08-20,-0.006673269003292903
2015-08-21,-0.050136836489198866
2015-08-24,-0.03457759584033615
2015-08-25,-0.007461612117685368
2015-08-26,0.057134943501186974
2015-08-27,-0.007111397057227742
2015-08-28,-0.0007813199359086864
2015-08-31,-0.00612539033156001
2015-09-01,-0.08667716266967174
