Date,CBRE
2015-01-05,-0.021632536475637676
2015-01-06,-0.0076650452702924365
2015-01-07,0.010398053348416925
2015-01-08,0.021758356806453216
2015-01-09,-0.002877653931542268
2015-01-12,-0.004329048175275685
2015-01-13,-0.01188405354817712
2015-01-14,-0.009680311809257547
2015-01-15,-0.015402744932446755
2015-01-16,-0.004512681056092704
2015-01-20,-0.004230866999179739
2015-01-21,-0.009408235693872613
2015-01-22,0.014399547472178753
2015-01-23,-0.004832372227806192
2015-01-26,0.00971167488360547
2015-01-27,-0.0012023118418085232
2015-01-28,-0.015347527191054589
2015-01-29,0.008251847423307312
2015-01-30,-0.019702985535256068
2015-02-02,0.007111921495087659
2015-02-03,0.03408046118366892
2015-02-04,0.0017815134426169
2015-02-05,0.03082386037620788
2015-02-06,-0.024726872930872168
2015-02-09,0.0032429426972160336
2015-02-10,0.016749918168407207
2015-02-11,0.0034682876264224838
2015-02-12,0.011808750950378144
2015-02-13,-0.004839225120231383
2015-02-17,-0.005434743469240333
2015-02-18,0.006614884647922814
2015-02-19,-0.012571389334542382
2015-02-20,0.005786948503906819
2015-02-23,0.003739961863999941
2015-02-24,-0.006305566768464832
2015-02-25,0.00317278962103007
2015-02-26,-0.009200681600216254
2015-02-27,-0.00580385282220075
2015-03-02,0.01605379680979513
2015-03-03,-0.00948008670025191
2015-03-04,-0.007830639830285757
2015-03-05,0.009353981391056587
2015-03-06,0.0037648732322914658
2015-03-09,0.0060588310847420335
2015-03-10,-0.02150846065309764
2015-03-11,0.0005861799059139194
2015-03-12,0.024897548447996964
2015-03-13,-0.012860838563960031
2015-03-16,0.01360733623474153
2015-03-17,-0.0022850048612603757
2015-03-18,0.025193273988744824
2015-03-19,-0.001954752642830848
2015-03-20,0.029378824503334178
2015-03-23,-0.005708047818613227
2015-03-24,-0.014215430063817425
2015-03-25,-0.015806979287760314
2015-03-26,0.004508307687942192
2015-03-27,0.007854102869914836
2015-03-30,0.013359296915095964
2015-03-31,0.06316943825046528
2015-04-01,0.0031000451929787953
2015-04-02,0.0015451340655299184
2015-04-06,0.0007713751547360204
2015-04-07,-0.014645419363843337
2015-04-08,0.002086097372563822
2015-04-09,0.005724725968151878
2015-04-10,-0.0036223337339834627
2015-04-13,0.0018178008977565163
2015-04-14,-0.006739298182748765
2015-04-15,0.0023486470069060683
2015-04-16,0.01223642860115226
2015-04-17,-0.011831349962260207
2015-04-20,0.003123444880302806
2015-04-21,-0.005448860391387589
2015-04-22,0.0
2015-04-23,-0.0026089821038656202
2015-04-24,0.006800997628661154
2015-04-27,-0.0033775282526933292
2015-04-28,0.007820626493410199
