Date,HII
2015-01-05,-0.015011903816269934
2015-01-06,0.0367411775192612
2015-01-07,-0.0017499820337881777
2015-01-08,0.03208264027262908
2015-01-09,-0.015797237089559713
2015-01-12,-0.0032796557673306914
2015-01-13,-0.005021383092172926
2015-01-14,-0.0120954263937052
2015-01-15,-0.006077668881923848
2015-01-16,0.02490251245548669
2015-01-20,-0.007436221881831129
2015-01-21,0.009756842835338952
2015-01-22,0.03010977208686927
2015-01-23,0.0017587070126403592
2015-01-26,-0.0007526518733994569
2015-01-27,-0.003932140199205847
2015-01-28,-0.005123918745150724
2015-01-29,0.00042222699972227495
2015-01-30,-0.01595086303698967
2015-02-02,0.01209239156357933
2015-02-03,0.026777588791662366
2015-02-04,-0.002558139143491567
2015-02-05,-0.00016573913595685497
2015-02-06,0.007199609769598325
2015-02-09,-0.02045831848848667
2015-02-10,0.010652300426811978
2015-02-11,0.012283437937858244
2015-02-12,0.017463110191438647
2015-02-13,0.008219392543852733
2015-02-17,0.003116948888350235
2015-02-18,0.023105847184485828
2015-02-19,0.035744792109934975
2015-02-20,0.035262926287415564
2015-02-23,0.034279927371397845
2015-02-24,-0.019240006967205958
2015-02-25,0.017183251290897372
2015-02-26,0.004011880945741453
2015-02-27,-0.0091837162399927
2015-03-02,0.015707854990006487
2015-03-03,-0.009473996199243384
2015-03-04,0.007969857504124045
2015-03-05,-0.014273900012592211
2015-03-06,-0.027044151634793123
2015-03-09,0.016195992201517573
2015-03-10,-0.01407147421795829
2015-03-11,0.011504954781410559
2015-03-12,0.012526138542509946
2015-03-13,-0.009384911837203469
2015-03-16,0.0007178807094685435
2015-03-17,0.006669824021655391
2015-03-18,0.007979537129026104
2015-03-19,-0.0010601631306662584
2015-03-20,0.012311846480698163
2015-03-23,-0.005871565441746718
2015-03-24,7.03178483725253e-05
2015-03-25,-0.02980870731090446
2015-03-26,0.0021737282638059074
2015-03-27,-0.004844439638227338
2015-03-30,0.031097975038850922
2015-03-31,-0.01240267482056523
2015-04-01,0.003425350947439121
2015-04-02,-0.008461778217659921
2015-04-06,0.013912555014143013
2015-04-07,0.00028283168520348845
2015-04-08,-0.004242648292031914
2015-04-09,-0.003408264970349628
2015-04-10,0.011828247569767525
2015-04-13,-0.01232412163912222
2015-04-14,-0.008912569741182819
2015-04-15,0.005251687177820985
2015-04-16,0.005939944464466329
2015-04-17,-0.021769887958525413
2015-04-20,0.0048001570361575485
2015-04-21,0.007599739344990475
2015-04-22,0.003950850941529138
2015-04-23,-0.005366118046528312
2015-04-24,0.0039564678817674
2015-04-27,-0.010318165741845853
2015-04-28,-0.006516054199822374
2015-04-29,-0.0038625110430834386
2015-04-30,-0.03731071127287977
2015-05-01,0.018010382984139595
2015-05-04,0.012690290532200832
