Date,IR
2017-05-15,0.043601732532644766
2017-05-16,0.003633225640950588
2017-05-17,0.0
2017-05-18,0.018099498471658704
2017-05-19,0.00977764530551406
2017-05-22,0.007482638985524037
2017-05-23,0.02446476396609487
2017-05-24,-0.004264319498753721
2017-05-25,-0.03597424509730629
2017-05-26,0.023100650756006313
2017-05-30,-0.0034736375041694023
2017-05-31,-0.0008714781757669376
2017-06-01,0.0
2017-06-02,-0.012211085682665157
2017-06-05,-0.0008831055537432686
2017-06-06,-0.015024370583585855
2017-06-07,-0.02377729993771116
2017-06-08,-0.005055342394439499
2017-06-09,0.038799022169693886
2017-06-12,0.02401084612540938
2017-06-13,0.019973873253914753
2017-06-14,-0.010216924165088237
2017-06-15,-0.011182785313037402
2017-06-16,0.04045239350780738
2017-06-19,0.0
2017-06-20,-0.05434785394963493
2017-06-21,-0.08399646323191079
2017-06-22,0.01640924400420629
2017-06-23,-0.028015151695740315
2017-06-26,0.0014653095407901606
2017-06-27,0.03853675593559269
2017-06-28,-0.0009395181268317954
2017-06-29,0.007522582611929396
2017-06-30,0.008399259626249211
2017-07-03,0.03378066662239165
2017-07-05,-0.02327678587816895
2017-07-06,-0.038954867982002206
2017-07-07,-0.0143060894218765
2017-07-10,0.03241407024554932
2017-07-11,0.018275297631073162
2017-07-12,0.01840794931928036
2017-07-13,-0.0031631074924918234
2017-07-14,0.0009064638096321076
2017-07-17,0.04030805048481745
2017-07-18,0.0030475180241760214
2017-07-19,0.016492823170638937
2017-07-20,0.005550848442185563
2017-07-21,-0.022929776065739316
2017-07-24,0.005649587664372957
2017-07-25,0.013396836237760112
2017-07-26,-0.026865833843684905
2017-07-27,0.017966828674546687
2017-07-28,-0.006026652910439356
2017-07-31,-0.005630428495616124
2017-08-01,-0.020034606944789646
2017-08-02,0.023111007025761188
2017-08-03,0.010426023031192111
2017-08-04,0.034823477581357176
2017-08-07,-0.0012462321478537985
2017-08-08,0.003743680362436219
2017-08-09,-0.021964350701280444
2017-08-10,-0.03983046264960932
2017-08-11,0.0008824621471852367
2017-08-14,-0.003967916364034818
2017-08-15,0.004426660971190044
2017-08-16,0.002644139196350981
2017-08-17,-0.03296706165903529
2017-08-18,-0.001363665461690533
2017-08-21,0.0191170373223275
2017-08-22,0.017418433676003486
2017-08-23,0.007901500492739855
2017-08-24,-0.011323868360082479
2017-08-25,0.012334896361294145
2017-08-28,-0.001305427404486581
2017-08-29,0.004792879493971558
2017-08-30,0.010407605238726525
2017-08-31,0.008154516320299177
2017-09-01,0.008939920805398849
2017-09-05,-0.024472370523653697
2017-09-06,0.00994814219573703
2017-09-07,0.011134729081239803
2017-09-08,0.006353213443884398
2017-09-11,0.00547149739933106
2017-09-12,0.026789299198599625
2017-09-13,0.0057073412272974355
2017-09-14,0.012160545578337123
2017-09-15,0.004805715967345359
2017-09-18,0.02750120263252609
2017-09-19,0.0015513259444175365
2017-09-20,0.006196805398136274
2017-09-21,-0.005003661125514314
2017-09-22,0.016634337296840718
2017-09-25,0.004566234349526521
2017-09-26,-0.003409090826613448
2017-09-27,0.028886313836597788
2017-09-28,0.00960479155170213
2017-09-29,0.006952074790383955
2017-10-02,0.0010900698024833844
2017-10-03,0.0029038730525072776
2017-10-04,-0.026782565711250594
2017-10-05,-0.003718720053996205
2017-10-06,-0.0070922772067614215
2017-10-09,0.006766989056885331
2017-10-10,0.004480836188070159
2017-10-11,-0.0014868780554136984
2017-10-12,0.0011167834468082116
2017-10-13,0.002603253678744588
2017-10-16,-0.001483782127024491
2017-10-17,0.0026002815239647425
2017-10-18,-0.008892088333056436
2017-10-19,-0.014579391266576702
2017-10-20,0.00834593783292159
2017-10-23,-0.0060196195059518676
2017-10-24,0.0068130931839043285
2017-10-25,0.0007518956768159946
2017-10-26,0.09316299810482964
2017-10-27,0.04536080179801538
2017-10-30,-0.04273507073002658
2017-10-31,-0.009271912492423096
2017-11-01,0.0031195839403526104
2017-11-02,0.012785079450311487
2017-11-03,-0.024906181545084283
2017-11-06,-0.021693617783010155
2017-11-07,0.0014307828145974089
2017-11-08,0.0024997793044361227
2017-11-09,0.0024938873002404716
2017-11-10,0.022032822793318196
2017-11-13,0.022600780331104353
2017-11-14,-0.02550155051684
2017-11-15,-0.039078884100751665
2017-11-16,0.0490196078431373
2017-11-17,0.04015222814058417
2017-11-20,0.01730441580436093
2017-11-21,0.005233938950395478
2017-11-22,0.008135484239455648
2017-11-24,0.005164608521535996
2017-11-27,0.010276267842836528
2017-11-28,-0.007310964997923719
2017-11-29,-0.002561755342026517
2017-11-30,0.04044950441466555
2017-12-01,-0.010182023407485863
2017-12-04,-0.019638404641685314
2017-12-05,-0.009220877691131113
2017-12-06,0.009948555714869745
2017-12-07,0.022561406608672563
2017-12-08,0.004661199919878012
2017-12-11,-0.009279384946188074
2017-12-12,-0.010927248469768891
2017-12-13,0.004734949004263633
2017-12-14,-0.0043985194554737594
2017-12-15,0.02903107198715449
2017-12-18,0.023612601456953985
2017-12-19,-0.0026961103407611153
2017-12-20,0.021627767605304715
2017-12-21,0.012349461430835262
2017-12-22,-0.006680307473567515
2017-12-26,-0.004970810592518249
2017-12-27,0.002351029928362003
2017-12-28,-0.004104230904698025
2017-12-29,-0.001177534474301578
2018-01-02,-0.006484074830305331
2018-01-03,0.005932856678221077
2018-01-04,0.004718473209114338
2018-01-05,0.014088378929262513
2018-01-08,0.010420017329907605
2018-01-09,0.005156115474592493
2018-01-10,-0.018238983476402293
2018-01-11,0.012772407026614863
2018-01-12,-0.009458442571372183
