Date,EPAM
2015-01-05,-0.004303868252328535
2015-01-06,0.0004322554044910998
2015-01-07,0.02160293757230325
2015-01-08,0.029181586523608027
2015-01-09,-0.006780317007860193
2015-01-12,-0.012205216192087809
2015-01-13,0.002513066636330219
2015-01-14,-0.030290386365011024
2015-01-15,-0.0217578276900684
2015-01-16,0.04492404585734877
2015-01-20,-0.019388871840886
2015-01-21,-0.0025789584146337363
2015-01-22,0.008834299693172065
2015-01-23,-0.009184115932903691
2015-01-26,0.019616293584499678
2015-01-27,-0.014587709045211894
2015-01-28,0.019094601544604517
2015-01-29,0.00652634470086344
2015-01-30,0.023426038479690492
2015-02-02,-0.04475778894441018
2015-02-03,0.015404308518404797
2015-02-04,0.06426462907493824
2015-02-05,0.01742231434088315
2015-02-06,-0.007394455587243609
2015-02-09,-0.0001960070939461822
2015-02-10,0.007843167174096166
2015-02-11,0.00019451986841234614
2015-02-12,0.08947672608002644
2015-02-13,-0.034458070850120426
2015-02-17,-0.02274414414363579
2015-02-18,0.007757802445592654
2015-02-19,0.04956821794112498
2015-02-20,0.02540247102297344
2015-02-23,-0.007676179850864773
2015-02-24,0.009317840529963872
2015-02-25,0.010102801473545586
2015-02-26,0.058113447738287194
2015-02-27,0.00521511883378678
2015-03-02,0.00032426163529053476
2015-03-03,-0.019935162512593307
2015-03-04,-0.015379531774465716
2015-03-05,0.004702700285378336
2015-03-06,-0.006185204509734921
2015-03-09,0.024726617109183335
2015-03-10,-0.022488492663532922
2015-03-11,0.013098280503565762
2015-03-12,0.02204538332489836
2015-03-13,-0.0030813919425748404
2015-03-16,0.0035789393466250097
2015-03-17,0.0006484181620654006
2015-03-18,-0.0032399281455138818
2015-03-19,0.0008126613481200806
2015-03-20,-0.003247820022613146
2015-03-23,0.02134241667966097
2015-03-24,-0.011804081671398459
2015-03-25,-0.029378525785475063
2015-03-26,0.014634911654518579
2015-03-27,0.015735173341761888
2015-03-30,0.00419555133793259
2015-03-31,-0.015105232743429342
2015-04-01,0.0017947562197488942
2015-04-02,0.005211721284556381
2015-04-06,0.07047955910703951
2015-04-07,0.006356866518620663
2015-04-08,0.00586553469963258
2015-04-09,0.014204614483416034
2015-04-10,0.013858097989632556
2015-04-13,0.009161042803046637
2015-04-14,-0.030403466339474883
2015-04-15,0.004161075575676909
2015-04-16,0.0035518405335721592
2015-04-17,-0.017696460572871775
2015-04-20,0.017264697723185174
2015-04-21,0.005755598839332299
2015-04-22,-0.0023478159725148773
2015-04-23,-0.006324464166587607
2015-04-24,-0.014061530233453134
2015-04-27,-0.02582196674587367
2015-04-28,0.031129670079534266
2015-04-29,-0.01569276631727967
2015-04-30,-0.017461304512927045
2015-05-01,0.03214343780687501
2015-05-04,0.005839188266244966
2015-05-05,-0.020541786947739116
2015-05-06,0.009270525563224385
2015-05-07,-0.017467303089025776
2015-05-08,0.005363961289212238
2015-05-11,-0.022865854190404322
2015-05-12,0.0001560395704924833
2015-05-13,0.025737038062240813
2015-05-14,0.008667878289349673
2015-05-15,-0.0013569118769873878
2015-05-18,0.022041049691386094
2015-05-19,0.015657389006954903
2015-05-20,-0.0002909289098232959
2015-05-21,-0.012074399584723006
2015-05-22,-0.02046836907797911
2015-05-26,0.01443185150802706
2015-05-27,0.03497321967329947
2015-05-28,0.031071104125510063
2015-05-29,-0.0013886747834268576
2015-06-01,-0.0030593965999065054
2015-06-02,-0.00278985312910518
2015-06-03,-0.000699334506325644
2015-06-04,-0.0026596085514146717
2015-06-05,0.0035087719298245723
2015-06-08,-0.017902080829326872
2015-06-09,-0.0038451191650126226
2015-06-10,0.01200863479531944
2015-06-11,-0.009888466853843147
2015-06-12,-0.004993558173891466
2015-06-15,0.017780406239562785
2015-06-16,0.006198855891836663
2015-06-17,0.010641307136870504
2015-06-18,0.011360483393700216
2015-06-19,-0.0016438732408496914
2015-06-22,0.009467651857984816
2015-06-23,0.006932202505722573
2015-06-24,-0.01876349021721735
2015-06-25,0.008941998550740404
2015-06-26,-0.01704390595059513
2015-06-29,-0.03481751469470784
2015-06-30,0.023713732142250254
2015-07-01,0.03636103068691643
2015-07-02,-0.0009482483759631899
2015-07-06,0.0031186895855401797
2015-07-07,0.004730987540409348
2015-07-08,-0.020583865755505082
2015-07-09,0.006318668477879319
2015-07-10,0.020884503612923266
2015-07-13,0.010161814773727018
2015-07-14,-0.005691598779700824
2015-07-15,-0.010782816272262963
2015-07-16,0.010092854590778577
2015-07-17,-0.0018651664561959436
2015-07-20,-0.004671629507142283
2015-07-21,0.0018774224248543359
2015-07-22,0.0020077838002554582
2015-07-23,-0.012690314460281016
2015-07-24,-0.0012177508162037887
2015-07-27,-0.01937144826723758
2015-07-28,0.004006090868524215
2015-07-29,0.021326404034803348
2015-07-30,-0.01670490956603521
2015-07-31,0.015344605827670277
2015-08-03,-0.0037781510861000234
2015-08-04,-0.01137754227891441
2015-08-05,-0.03904642495592903
2015-08-06,-0.0018533968427315584
2015-08-07,0.01214110053113715
2015-08-10,-0.0014112118721388844
2015-08-11,-0.016676091994796582
2015-08-12,-0.011641350483936885
2015-08-13,-0.0031989763275751537
2015-08-14,0.006856215468783233
2015-08-17,-0.003042583232199414
2015-08-18,0.00595848970580537
2015-08-19,0.004189553747661723
2015-08-20,-0.007624784390858563
2015-08-21,-0.0033343483000929375
2015-08-24,-0.030254572088068143
2015-08-25,0.019049112154505776
2015-08-26,0.024874812353285147
2015-08-27,0.03504240324074526
2015-08-28,-0.0030526047125670752
2015-08-31,-0.0172581473918354
2015-09-01,-0.02152675625721634
